Zkm	TOTALNumden	N2Numdencm3	CH4Ndencm3	ArNdencm3	rhogcm3	Pergscm3	TempK	Fc
2200.0	1.30907E+03	9.70094E+01	1.21207E+03	1.61317E-04	3.67134E-20	2.62069E-11	145.00	1.00000
2190.0	1.38355E+03	1.06320E+02	1.27723E+03	1.81727E-04	3.88775E-20	2.76978E-11	145.00	1.00000
2180.0	1.46276E+03	1.16568E+02	1.34619E+03	2.04821E-04	4.11863E-20	2.92836E-11	145.00	1.00000
2170.0	1.54705E+03	1.27854E+02	1.41919E+03	2.30968E-04	4.36506E-20	3.09710E-11	145.00	1.00000
2160.0	1.63677E+03	1.40288E+02	1.49648E+03	2.60584E-04	4.62822E-20	3.27673E-11	145.00	1.00000
2150.0	1.73233E+03	1.53991E+02	1.57834E+03	2.94148E-04	4.90942E-20	3.46803E-11	145.00	1.00000
2140.0	1.83415E+03	1.69100E+02	1.66505E+03	3.32205E-04	5.21005E-20	3.67187E-11	145.00	1.00000
2130.0	1.94269E+03	1.85764E+02	1.75693E+03	3.75381E-04	5.53163E-20	3.88916E-11	145.00	1.00000
2120.0	2.05845E+03	2.04153E+02	1.85429E+03	4.24389E-04	5.87582E-20	4.12089E-11	145.00	1.00000
2110.0	2.18196E+03	2.24453E+02	1.95751E+03	4.80047E-04	6.24443E-20	4.36816E-11	145.00	1.00000
2100.0	2.31382E+03	2.46871E+02	2.06695E+03	5.43290E-04	6.63942E-20	4.63213E-11	145.00	1.00000
2090.0	2.45465E+03	2.71639E+02	2.18301E+03	6.15192E-04	7.06295E-20	4.91407E-11	145.00	1.00000
2080.0	2.60515E+03	2.99015E+02	2.30614E+03	6.96982E-04	7.51737E-20	5.21537E-11	145.00	1.00000
2070.0	2.76607E+03	3.29285E+02	2.43678E+03	7.90069E-04	8.00521E-20	5.53751E-11	145.00	1.00000
2060.0	2.93821E+03	3.62772E+02	2.57544E+03	8.96075E-04	8.52930E-20	5.88213E-11	145.00	1.00000
2050.0	3.12247E+03	3.99831E+02	2.72264E+03	1.01686E-03	9.09270E-20	6.25101E-11	145.00	1.00000
2040.0	3.31981E+03	4.40861E+02	2.87895E+03	1.15455E-03	9.69876E-20	6.64606E-11	145.00	1.00000
2030.0	3.53127E+03	4.86308E+02	3.04496E+03	1.31161E-03	1.03511E-19	7.06940E-11	145.00	1.00000
2020.0	3.75801E+03	5.36670E+02	3.22134E+03	1.49087E-03	1.10539E-19	7.52332E-11	145.00	1.00000
2010.0	4.00127E+03	5.92501E+02	3.40877E+03	1.69558E-03	1.18115E-19	8.01032E-11	145.00	1.00000
2000.0	4.26242E+03	6.54424E+02	3.60800E+03	1.92947E-03	1.26287E-19	8.53313E-11	145.00	1.00000
1990.0	4.54296E+03	7.23134E+02	3.81982E+03	2.19687E-03	1.35110E-19	9.09474E-11	145.00	1.00000
1980.0	4.84450E+03	7.99407E+02	4.04509E+03	2.50276E-03	1.44641E-19	9.69841E-11	145.00	1.00000
1970.0	5.16885E+03	8.84116E+02	4.28473E+03	2.85288E-03	1.54947E-19	1.03477E-10	145.00	1.00000
1960.0	5.51795E+03	9.78235E+02	4.53971E+03	3.25385E-03	1.66097E-19	1.10466E-10	145.00	1.00000
1950.0	5.89396E+03	1.08286E+03	4.81110E+03	3.71333E-03	1.78172E-19	1.17994E-10	145.00	1.00000
1940.0	6.29924E+03	1.19921E+03	5.10003E+03	4.24019E-03	1.91258E-19	1.26107E-10	145.00	1.00000
1930.0	6.73637E+03	1.32867E+03	5.40770E+03	4.84464E-03	2.05452E-19	1.34858E-10	145.00	1.00000
1920.0	7.20821E+03	1.47277E+03	5.73544E+03	5.53855E-03	2.20859E-19	1.44304E-10	145.00	1.00000
1910.0	7.71788E+03	1.63325E+03	6.08463E+03	6.33562E-03	2.37599E-19	1.54508E-10	145.00	1.00000
1900.0	8.26884E+03	1.81205E+03	6.45678E+03	7.25177E-03	2.55800E-19	1.65537E-10	145.00	1.00000
1890.0	8.86490E+03	2.01137E+03	6.85352E+03	8.30541E-03	2.75608E-19	1.77470E-10	145.00	1.00000
1880.0	9.51025E+03	2.23366E+03	7.27658E+03	9.51793E-03	2.97183E-19	1.90390E-10	145.00	1.00000
1870.0	1.02095E+04	2.48168E+03	7.72785E+03	1.09142E-02	3.20705E-19	2.04389E-10	145.00	1.00000
1860.0	1.09679E+04	2.75855E+03	8.20932E+03	1.25229E-02	3.46370E-19	2.19571E-10	145.00	1.00000
1850.0	1.17910E+04	3.06778E+03	8.72318E+03	1.43778E-02	3.74400E-19	2.36048E-10	145.00	1.00000
1840.0	1.26851E+04	3.41331E+03	9.27175E+03	1.65177E-02	4.05041E-19	2.53948E-10	145.00	1.00000
1830.0	1.36572E+04	3.79961E+03	9.85754E+03	1.89881E-02	4.38565E-19	2.73409E-10	145.00	1.00000
1820.0	1.47150E+04	4.23168E+03	1.04833E+04	2.18418E-02	4.75280E-19	2.94585E-10	145.00	1.00000
1810.0	1.58671E+04	4.71521E+03	1.11519E+04	2.51404E-02	5.15525E-19	3.17650E-10	145.00	1.00000
