ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun_deg,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,O3nd_m3,O3mass_pct,O3mole_pct,O3amw,N2Ond_m3,N2Omass_pct,N2Omole_pct,N2Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperaturePerturbation_pct,TemperatureStandardDeviation_pct,PerturbedTemperature_K,PressurePerturbation_pct,PressureStandardDeviation_pct,PerturbedPressure_Pa,PresPertSmall_pct,DensPertSmall_pct,TempPertSmall_pct,EWWindPertSmall_ms,NSWindPertSmall_ms,PresSDSmall_pct,DensSDSmall_pct,TempSDSmall_pct,EWWindSDSmall_ms,NSWindSDSmall_ms,PresPertLarge_pct,DensPertLarge_pct,TempPertLarge_pct,EWWindPertLarge_ms,NSWindPertLarge_ms,PresSDLarge_pct,DensSDLarge_pct,TempSDLarge_pct,EWWindSDLarge_ms,NSWindSDLarge_ms,DewPoint_K,DewPointSD_pct,VaporPressure_Pa,VaporPressureSD_pct,VaporDensity_kgm3,VaporDensitySD_pct,RelativeHumidity_pct,RelativeHumiditySD_pct,WindSpeed_ms,WindSpeedStandardDeviation_pct,WindCorrelation,WindSpeedAtSurface_ms,WindSpeedSDAtSurface_pct,TemperatureAtSurface_K,TemperatureSDAtSurface_pct,PressureSDAtSurface_Pa,DensitySDAtSurface_pct,DensityAtSurface_kgm3,EWWindAtSurface_ms,NSWindAtSurface_ms,EWWindSDAtSurface_pct,NSWindSDAtSurface_pct,WindCorrelationAtSurface_pct,SurfaceHeight_km,GeodeticLatitude_deg,RRAWeight,SurfaceRoughness_m,NetRadiationIndex,Stability,InverseLength_m,FrictionVelocity_ms,BVFrequencySquare_s2,MetersAboveSurface_m,SigmaRatio,SigmaW_ms,BoundaryLayerDepth_m,NeutralBoundaryLayerDepth_m,PerturbedWindSpeedAtSurface_ms,UnstableBLFactor,SolarDays,SolarHourAngle_deg,SolarElevation_deg,ElevationAtMidnight_deg,ElevationAtNoon_deg,LandCode,SeverityLevel
0.0,25.000,47.43,307.27,6391.512,6366.512,9.732,218.0,2.538e+03,4.052e-02,6.434,6.366,296.2,1.008e+05,0.025,23.693,221.6,2.549e+03,4.008e-02,1.0,3.912e-02,4.193e-02,4.133e-02,2.0,3.48,295.3,0.00,1.1,-2.4,4.6,3.1,4.9,0.6,0.000,-6.2,3.0,-0.065,-1.3,3.7,-0.065,13.3,5.6,0.450,5.33,2.10,354.32,8.86,60.91,0.00,1.00,86400.0,8.0680e+23,2.872e+02,1.401e+00,28.966,1.0006,7.5350e+21,1.29,0.93,39.95,3.3156e+20,0.06,0.04,44.01,1.6530e+16,0.00,0.00,28.01,6.2993e+23,75.51,78.08,28.01,1.6899e+23,23.14,20.95,32.00,4.1951e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,9.4578e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.9970e+18,0.00,0.00,48.00,8.6949e+16,0.00,0.00,44.01,4.2929e+18,0.00,0.00,18.02,-0.6,2.81,2.166e+02,1.3,5.60,2.571e+03,0.2,-0.5,0.6,2.2,2.5,0.6,1.8,1.4,7.1,3.0,1.1,2.4,-1.3,-8.4,0.6,5.6,3.0,2.4,11.3,4.8,180.62,0.1,1.202e-02,3.007e-04,1.210e-07,0.0,0.6,0.0,12.3,9.1,0.4,9.06,4.08,272.17,2.56,0.00,0.00,1.292e+00,2.73,-0.34,6.28,7.20,0.1,0.057,47.62,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-47.05,0.0,0.0,0.0,99,0
2.0,25.100,47.44,307.29,6391.608,6366.508,9.732,218.1,2.499e+03,3.989e-02,6.437,6.368,296.3,1.008e+05,0.025,23.802,221.7,2.511e+03,3.946e-02,1.0,3.850e-02,4.128e-02,4.063e-02,1.9,3.49,295.4,0.00,1.1,-2.4,4.6,3.0,4.9,0.6,0.000,-5.4,3.2,0.236,-0.5,3.8,0.236,13.4,5.7,0.452,5.33,2.10,354.32,8.86,60.90,0.00,1.00,86400.0,7.9396e+23,2.872e+02,1.401e+00,28.966,1.0006,7.4151e+21,1.29,0.93,39.95,3.2628e+20,0.06,0.04,44.01,1.6324e+16,0.00,0.00,28.01,6.1990e+23,75.51,78.08,28.01,1.6630e+23,23.14,20.95,32.00,4.1283e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,9.2694e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.9522e+18,0.00,0.00,48.00,8.5187e+16,0.00,0.00,44.01,4.2325e+18,0.00,0.00,18.02,-0.6,2.83,2.168e+02,1.3,5.64,2.531e+03,0.2,-0.6,0.7,3.2,2.7,0.6,1.8,1.4,7.1,3.0,1.0,2.4,-1.3,-8.6,0.5,5.6,3.0,2.4,11.4,4.8,180.54,0.1,1.185e-02,2.953e-04,1.193e-07,0.0,0.6,0.0,12.4,9.1,0.4,9.09,4.09,272.17,263.26,0.00,0.00,1.292e+00,2.73,-0.34,6.30,7.22,0.1,0.057,47.63,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-47.03,0.0,0.0,0.0,99,0
4.0,25.200,47.45,307.31,6391.705,6366.505,9.731,218.2,2.460e+03,3.926e-02,6.440,6.371,296.3,1.008e+05,0.024,23.911,221.8,2.472e+03,3.884e-02,1.0,3.789e-02,4.064e-02,4.018e-02,2.3,3.50,294.7,0.00,1.1,-2.4,4.6,3.4,4.9,0.6,0.000,-6.4,2.4,0.079,-1.5,3.0,0.080,13.5,5.7,0.453,5.33,2.10,354.31,8.87,60.89,0.00,1.00,86400.0,7.8131e+23,2.872e+02,1.401e+00,28.966,1.0006,7.2970e+21,1.29,0.93,39.95,3.2108e+20,0.06,0.04,44.01,1.6120e+16,0.00,0.00,28.01,6.1003e+23,75.51,78.08,28.01,1.6365e+23,23.14,20.95,32.00,4.0626e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,9.0848e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.9079e+18,0.00,0.00,48.00,8.3460e+16,0.00,0.00,44.01,4.1729e+18,0.00,0.00,18.02,-1.1,2.86,2.157e+02,1.2,5.67,2.489e+03,0.1,-0.1,0.2,2.3,2.0,0.7,1.8,1.4,7.2,3.0,1.0,2.4,-1.3,-8.7,0.4,5.6,3.0,2.5,11.4,4.8,180.47,0.1,1.169e-02,2.899e-04,1.176e-07,0.0,0.6,0.0,12.4,9.2,0.4,9.11,4.11,272.16,262.68,0.00,0.00,1.292e+00,2.74,-0.34,6.31,7.25,0.1,0.057,47.64,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-47.00,0.0,0.0,0.0,99,0
6.0,25.300,47.46,307.33,6391.801,6366.501,9.731,218.2,2.423e+03,3.865e-02,6.442,6.373,296.4,1.008e+05,0.024,24.020,221.8,2.435e+03,3.823e-02,1.0,3.729e-02,4.001e-02,3.956e-02,2.4,3.51,294.0,0.00,1.1,-2.5,4.6,3.5,4.9,0.6,0.000,-6.1,0.3,0.359,-1.1,0.8,0.359,13.6,5.7,0.455,5.33,2.10,354.30,8.87,60.88,0.00,1.00,86400.0,7.6887e+23,2.872e+02,1.401e+00,28.966,1.0007,7.1808e+21,1.29,0.93,39.95,3.1597e+20,0.06,0.04,44.01,1.5918e+16,0.00,0.00,28.01,6.0032e+23,75.51,78.08,28.01,1.6105e+23,23.14,20.95,32.00,3.9979e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.9039e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.8641e+18,0.00,0.00,48.00,8.1769e+16,0.00,0.00,44.01,4.1141e+18,0.00,0.00,18.02,-1.6,2.88,2.148e+02,0.7,5.71,2.441e+03,-0.3,-0.0,-0.2,2.8,-0.1,0.7,1.8,1.5,7.2,3.0,1.0,2.4,-1.4,-8.9,0.3,5.7,3.0,2.5,11.5,4.8,180.39,0.1,1.153e-02,2.847e-04,1.160e-07,0.0,0.6,0.0,12.5,9.3,0.4,9.14,4.12,272.15,262.09,0.00,0.00,1.292e+00,2.75,-0.34,6.32,7.27,0.1,0.056,47.65,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-46.97,0.0,0.0,0.0,99,0
8.0,25.400,47.47,307.35,6391.897,6366.497,9.731,218.3,2.385e+03,3.804e-02,6.444,6.376,296.4,1.009e+05,0.024,24.129,221.9,2.398e+03,3.764e-02,1.0,3.670e-02,3.938e-02,3.852e-02,1.3,3.53,295.5,0.00,1.1,-2.5,4.6,2.3,4.9,0.6,0.000,-11.7,2.5,0.343,-6.8,3.0,0.343,13.7,5.7,0.456,5.33,2.10,354.29,8.87,60.87,0.00,1.00,86400.0,7.5663e+23,2.872e+02,1.401e+00,28.966,1.0007,7.0665e+21,1.29,0.93,39.95,3.1094e+20,0.06,0.04,44.01,1.5719e+16,0.00,0.00,28.01,5.9076e+23,75.51,78.08,28.01,1.5848e+23,23.14,20.95,32.00,3.9342e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.7266e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.8208e+18,0.00,0.00,48.00,8.0111e+16,0.00,0.00,44.01,4.0562e+18,0.00,0.00,18.02,-0.6,2.90,2.170e+02,0.7,5.75,2.401e+03,-0.2,-1.1,0.8,-2.7,2.2,0.7,1.8,1.5,7.2,3.0,0.9,2.4,-1.4,-9.1,0.3,5.7,3.0,2.5,11.6,4.9,180.32,0.1,1.137e-02,2.795e-04,1.143e-07,0.0,0.5,0.0,12.6,9.3,0.4,9.16,4.13,272.15,261.49,0.00,0.00,1.292e+00,2.75,-0.34,6.34,7.29,0.1,0.056,47.66,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-46.94,0.0,0.0,0.0,99,0
10.0,25.500,47.48,307.37,6391.993,6366.493,9.730,218.4,2.349e+03,3.744e-02,6.447,6.378,296.5,1.009e+05,0.023,24.238,222.0,2.362e+03,3.705e-02,1.0,3.612e-02,3.877e-02,3.895e-02,4.0,3.54,292.1,0.00,1.1,-2.5,4.6,5.1,4.9,0.6,0.000,-13.7,2.1,0.504,-8.8,2.6,0.505,13.8,5.8,0.458,5.33,2.10,354.28,8.87,60.86,0.00,1.00,86400.0,7.4458e+23,2.872e+02,1.401e+00,28.966,1.0007,6.9539e+21,1.29,0.93,39.95,3.0599e+20,0.06,0.04,44.01,1.5523e+16,0.00,0.00,28.01,5.8135e+23,75.51,78.08,28.01,1.5596e+23,23.14,20.95,32.00,3.8716e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.5529e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.7779e+18,0.00,0.00,48.00,7.8487e+16,0.00,0.00,44.01,3.9991e+18,0.00,0.00,18.02,-3.0,2.93,2.119e+02,1.0,5.79,2.371e+03,0.0,1.7,-1.5,-4.5,1.9,0.7,1.8,1.5,7.3,3.1,0.9,2.4,-1.5,-9.2,0.2,5.7,3.1,2.5,11.7,4.9,180.25,0.1,1.121e-02,2.744e-04,1.127e-07,0.0,0.5,0.0,12.6,9.4,0.4,9.19,4.14,272.14,260.89,0.00,0.00,1.292e+00,2.76,-0.34,6.35,7.31,0.1,0.055,47.67,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-46.91,0.0,0.0,0.0,99,0
12.0,25.600,47.49,307.39,6392.090,6366.490,9.730,218.5,2.313e+03,3.686e-02,6.449,6.381,296.5,1.009e+05,0.023,24.348,222.1,2.326e+03,3.647e-02,1.0,3.555e-02,3.817e-02,3.848e-02,4.4,3.56,291.1,0.00,1.0,-2.5,4.6,5.5,4.9,0.5,0.000,-8.9,1.7,0.229,-4.0,2.2,0.229,13.8,5.8,0.460,5.33,2.10,354.27,8.87,60.85,0.00,1.00,86400.0,7.3273e+23,2.872e+02,1.401e+00,28.966,1.0006,6.8432e+21,1.29,0.93,39.95,3.0112e+20,0.06,0.04,44.01,1.5329e+16,0.00,0.00,28.01,5.7210e+23,75.51,78.08,28.01,1.5347e+23,23.14,20.95,32.00,3.8099e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.3826e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.7356e+18,0.00,0.00,48.00,7.6896e+16,0.00,0.00,44.01,3.9410e+18,0.00,0.00,18.02,-3.7,2.95,2.105e+02,0.6,5.82,2.327e+03,-0.3,2.1,-2.2,0.4,1.6,0.7,1.8,1.5,7.3,3.1,0.9,2.3,-1.5,-9.3,0.1,5.8,3.1,2.5,11.7,4.9,180.17,0.1,1.105e-02,2.696e-04,1.111e-07,0.0,0.5,0.0,12.6,9.4,0.4,9.21,4.15,272.13,260.29,0.00,0.00,1.292e+00,2.77,-0.35,6.37,7.34,0.1,0.055,47.68,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-46.88,0.0,0.0,0.0,99,0
14.0,25.700,47.50,307.41,6392.186,6366.486,9.730,218.6,2.277e+03,3.628e-02,6.452,6.384,296.6,1.009e+05,0.023,24.458,222.2,2.291e+03,3.591e-02,1.0,3.498e-02,3.757e-02,3.726e-02,2.7,3.57,293.4,0.00,1.0,-2.6,4.6,3.8,4.9,0.5,0.000,-12.2,0.8,0.231,-7.3,1.3,0.231,13.8,5.8,0.461,5.33,2.10,354.27,8.88,60.84,0.00,1.00,86400.0,7.2106e+23,2.872e+02,1.401e+00,28.966,1.0006,6.7343e+21,1.29,0.93,39.95,2.9632e+20,0.06,0.04,44.01,1.5138e+16,0.00,0.00,28.01,5.6299e+23,75.51,78.08,28.01,1.5103e+23,23.14,20.95,32.00,3.7493e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.2158e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.6937e+18,0.00,0.00,48.00,7.5338e+16,0.00,0.00,44.01,3.8838e+18,0.00,0.00,18.02,-2.1,2.97,2.140e+02,0.6,5.86,2.290e+03,-0.2,0.4,-0.6,-2.7,0.8,0.7,1.8,1.5,7.3,3.1,0.8,2.3,-1.5,-9.4,0.0,5.8,3.1,2.6,11.7,4.9,180.10,0.1,1.090e-02,2.648e-04,1.096e-07,0.0,0.5,0.0,12.6,9.4,0.4,9.24,4.16,272.12,259.68,0.00,0.00,1.293e+00,2.78,-0.35,6.38,7.36,0.1,0.055,47.69,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-46.86,0.0,0.0,0.0,99,0
16.0,25.800,47.51,307.43,6392.282,6366.482,9.730,218.7,2.243e+03,3.571e-02,6.455,6.387,296.6,1.009e+05,0.022,24.569,222.3,2.256e+03,3.535e-02,1.0,3.443e-02,3.699e-02,3.653e-02,2.3,3.59,294.2,0.00,1.0,-2.6,4.6,3.3,4.8,0.5,0.000,-7.1,2.9,0.102,-2.3,3.4,0.102,13.8,5.8,0.463,5.33,2.10,354.26,8.88,60.83,0.00,1.00,86400.0,7.0958e+23,2.872e+02,1.401e+00,28.966,1.0006,6.6271e+21,1.29,0.93,39.95,2.9161e+20,0.06,0.04,44.01,1.4949e+16,0.00,0.00,28.01,5.5403e+23,75.51,78.08,28.01,1.4863e+23,23.14,20.95,32.00,3.6896e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.0523e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.6522e+18,0.00,0.00,48.00,7.3810e+16,0.00,0.00,44.01,3.8273e+18,0.00,0.00,18.02,-1.6,2.99,2.151e+02,0.6,5.90,2.257e+03,-0.1,-0.0,-0.1,2.4,3.0,0.7,1.8,1.5,7.3,3.1,0.7,2.3,-1.6,-9.5,-0.1,5.9,3.1,2.6,11.7,4.9,180.03,0.1,1.075e-02,2.601e-04,1.080e-07,0.0,0.5,0.0,12.6,9.4,0.4,9.26,4.18,272.12,259.07,0.00,0.00,1.293e+00,2.78,-0.35,6.40,7.38,0.1,0.053,47.70,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-46.83,0.0,0.0,0.0,99,0
18.0,25.900,47.52,307.45,6392.379,6366.479,9.729,218.7,2.208e+03,3.515e-02,6.458,6.390,296.7,1.009e+05,0.022,24.680,222.4,2.222e+03,3.480e-02,1.0,3.388e-02,3.642e-02,3.573e-02,1.6,3.61,294.8,0.00,1.0,-2.6,4.7,2.7,4.7,0.4,0.000,-11.6,2.0,-0.046,-6.9,2.4,-0.046,13.8,5.8,0.464,5.33,2.10,354.25,8.88,60.82,0.00,1.00,86400.0,6.9829e+23,2.872e+02,1.401e+00,28.966,1.0006,6.5216e+21,1.29,0.93,39.95,2.8696e+20,0.06,0.04,44.01,1.4762e+16,0.00,0.00,28.01,5.4521e+23,75.51,78.08,28.01,1.4626e+23,23.14,20.95,32.00,3.6308e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,7.8920e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.6112e+18,0.00,0.00,48.00,7.2314e+16,0.00,0.00,44.01,3.7717e+18,0.00,0.00,18.02,-1.3,3.01,2.159e+02,0.3,5.94,2.216e+03,-0.3,-0.6,0.3,-2.0,2.1,0.7,1.8,1.5,7.3,3.1,0.6,2.3,-1.6,-9.6,-0.1,5.9,3.1,2.6,11.7,4.9,179.95,0.1,1.060e-02,2.554e-04,1.065e-07,0.0,0.5,0.0,12.6,9.4,0.4,9.29,4.19,272.11,258.45,0.00,0.00,1.293e+00,2.79,-0.35,6.41,7.41,0.1,0.051,47.71,0.0,9.99990,0.00,0.00,0.00000,0.000,0.00000,0.0,0.000,0.00,0.0,0.0,0.00,1.000,0.000,-46.80,0.0,0.0,0.0,99,0
