ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun_deg,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,O3nd_m3,O3mass_pct,O3mole_pct,O3amw,N2Ond_m3,N2Omass_pct,N2Omole_pct,N2Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperaturePerturbation_pct,TemperatureStandardDeviation_pct,PerturbedTemperature_K,PressurePerturbation_pct,PressureStandardDeviation_pct,PerturbedPressure_Pa,PresPertSmall_pct,DensPertSmall_pct,TempPertSmall_pct,EWWindPertSmall_ms,NSWindPertSmall_ms,PresSDSmall_pct,DensSDSmall_pct,TempSDSmall_pct,EWWindSDSmall_ms,NSWindSDSmall_ms,PresPertLarge_pct,DensPertLarge_pct,TempPertLarge_pct,EWWindPertLarge_ms,NSWindPertLarge_ms,PresSDLarge_pct,DensSDLarge_pct,TempSDLarge_pct,EWWindSDLarge_ms,NSWindSDLarge_ms,DewPoint_K,DewPointSD_pct,VaporPressure_Pa,VaporPressureSD_pct,VaporDensity_kgm3,VaporDensitySD_pct,RelativeHumidity_pct,RelativeHumiditySD_pct,WindSpeed_ms,WindSpeedStandardDeviation_pct,WindCorrelation,WindSpeedAtSurface_ms,WindSpeedSDAtSurface_pct,TemperatureAtSurface_K,TemperatureSDAtSurface_pct,PressureSDAtSurface_Pa,DensitySDAtSurface_pct,DensityAtSurface_kgm3,EWWindAtSurface_ms,NSWindAtSurface_ms,EWWindSDAtSurface_pct,NSWindSDAtSurface_pct,WindCorrelationAtSurface_pct,SurfaceHeight_km,GeodeticLatitude_deg,RRAWeight,SurfaceRoughness_m,NetRadiationIndex,Stability,InverseLength_m,FrictionVelocity_ms,BVFrequencySquare_s2,MetersAboveSurface_m,SigmaRatio,SigmaW_ms,BoundaryLayerDepth_m,NeutralBoundaryLayerDepth_m,PerturbedWindSpeedAtSurface_ms,UnstableBLFactor,SolarDays,SolarHourAngle_deg,SolarElevation_deg,ElevationAtMidnight_deg,ElevationAtNoon_deg,LandCode,SeverityLevel
0.0,0.000,32.69,242.86,6371.877,6371.877,9.796,289.6,9.988e+04,1.199e+00,8.502,8.502,341.5,9.988e+04,1.000,-0.000,288.1,1.013e+05,1.225e+00,0.0,1.178e+00,1.221e+00,1.223e+00,2.0,1.80,338.6,0.00,-2.1,-3.9,-0.3,-0.2,0.3,-0.4,0.000,0.1,2.1,-0.132,0.4,1.7,-0.132,1.3,1.4,0.080,5.33,2.10,354.32,4.57,106.69,0.00,1.00,86400.0,2.4976e+25,2.875e+02,1.400e+00,28.947,1.0011,2.3285e+23,1.29,0.93,39.95,1.0246e+22,0.06,0.04,44.01,5.0830e+18,0.00,0.00,28.01,1.9466e+25,75.43,77.94,28.01,5.2222e+24,23.11,20.91,32.00,1.2964e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,6.2862e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.8781e+17,0.00,0.00,48.00,9.1016e+18,0.00,0.00,44.01,4.3974e+22,0.11,0.18,18.02,-1.7,1.73,2.848e+02,0.3,0.39,1.001e+05,-0.0,0.3,-0.3,-0.1,0.8,0.0,0.7,0.7,0.8,0.8,0.3,1.7,-1.4,0.3,1.3,0.4,1.7,1.6,1.1,1.1,271.21,6.2,1.725e+02,1.863e+02,1.296e-03,0.0,9.2,9.6,1.9,1.5,0.2,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.87,1.0,0.00001,-3.18,6.85,0.20053,0.022,0.00011,0.0,1.250,0.10,200.0,46.4,1.32,1.000,25.190,-111.46,-16.8,-55.3,59.3,0,0
50.0,0.300,32.67,242.89,6372.184,6371.884,9.795,290.4,9.743e+04,1.167e+00,8.527,8.499,341.7,9.988e+04,0.976,0.211,286.2,9.777e+04,1.190e+00,0.0,1.148e+00,1.186e+00,1.188e+00,1.9,1.62,339.1,0.00,-2.0,-3.6,-0.4,-0.1,0.9,-0.9,-0.004,0.9,3.1,-0.000,1.9,2.2,-0.004,2.2,2.2,0.080,5.33,2.10,354.12,4.58,106.50,0.00,1.00,86400.0,2.4296e+25,2.876e+02,1.398e+00,28.928,1.0004,2.2612e+23,1.29,0.93,39.95,9.9496e+21,0.06,0.04,44.01,4.8860e+18,0.00,0.00,28.01,1.8904e+25,75.35,77.80,28.01,5.0712e+24,23.09,20.87,32.00,1.2589e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,6.1044e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.7718e+17,0.00,0.00,48.00,8.8385e+18,0.00,0.00,44.01,8.5406e+22,0.22,0.35,18.02,-1.5,1.53,2.860e+02,0.3,0.45,9.774e+04,-0.0,0.3,-0.3,0.7,1.1,0.0,0.6,0.6,1.3,1.3,0.3,1.6,-1.2,0.3,2.0,0.4,1.5,1.4,1.8,1.8,270.45,6.1,3.400e+02,2.079e+02,2.554e-03,0.0,17.1,14.3,3.5,2.2,0.2,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.85,1.0,0.00001,-3.18,6.85,0.20081,0.022,0.00011,200.0,3.000,0.10,200.0,46.3,1.32,1.000,25.191,-111.23,-16.6,-55.3,59.3,0,0
100.0,0.600,32.65,242.92,6372.490,6371.890,9.794,290.7,9.409e+04,1.126e+00,8.535,10.341,341.6,9.988e+04,0.942,0.509,284.3,9.432e+04,1.156e+00,0.0,1.110e+00,1.142e+00,1.143e+00,1.6,1.41,339.4,0.00,-2.6,-4.0,-1.2,-1.1,1.5,-1.4,0.033,0.5,2.4,-0.062,2.1,1.0,-0.029,3.2,3.1,0.107,5.33,2.10,353.91,4.60,106.31,0.00,1.00,86400.0,2.3446e+25,2.876e+02,1.396e+00,28.909,0.9998,2.1782e+23,1.28,0.93,39.95,9.5847e+21,0.06,0.04,44.01,4.6592e+18,0.00,0.00,28.01,1.8210e+25,75.26,77.67,28.01,4.8852e+24,23.06,20.84,32.00,1.2127e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.8806e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.6060e+17,0.00,0.00,48.00,8.5143e+18,0.00,0.00,44.01,1.2281e+23,0.33,0.52,18.02,-1.2,1.33,2.871e+02,0.3,0.48,9.438e+04,-0.0,0.2,-0.2,0.4,-0.4,0.0,0.5,0.5,1.9,1.9,0.3,1.4,-1.1,0.1,2.8,0.5,1.3,1.2,2.5,2.5,269.33,5.9,4.932e+02,2.232e+02,3.700e-03,0.0,24.5,12.4,5.1,3.1,0.2,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.83,1.0,0.00001,-3.18,6.85,0.20110,0.022,0.00011,200.0,3.000,0.10,200.0,46.3,1.32,1.000,25.192,-110.99,-16.4,-55.3,59.4,0,0
150.0,0.900,32.63,242.95,6372.797,6371.897,9.793,289.0,9.120e+04,1.098e+00,8.485,9.898,340.6,9.988e+04,0.913,0.771,282.3,9.097e+04,1.123e+00,0.0,1.083e+00,1.112e+00,1.120e+00,2.0,1.30,337.3,0.00,-2.2,-3.5,-1.0,-0.3,1.6,-1.4,-0.009,2.7,1.7,-0.195,4.3,0.3,-0.204,3.5,3.3,0.134,5.33,2.10,353.70,4.62,106.12,0.00,1.00,86400.0,2.2860e+25,2.875e+02,1.396e+00,28.911,0.9998,2.1243e+23,1.28,0.93,39.95,9.3474e+21,0.06,0.04,44.01,4.4979e+18,0.00,0.00,28.01,1.7759e+25,75.27,77.69,28.01,4.7642e+24,23.07,20.84,32.00,1.1827e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.7350e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.5358e+17,0.00,0.00,48.00,8.3035e+18,0.00,0.00,44.01,1.1464e+23,0.31,0.50,18.02,-1.9,1.33,2.834e+02,0.1,0.39,9.125e+04,-0.0,0.7,-0.7,2.9,-1.1,0.0,0.5,0.5,2.1,2.0,0.1,1.3,-1.2,-0.2,2.8,0.4,1.2,1.2,2.8,2.7,268.25,5.9,4.556e+02,2.050e+02,3.437e-03,0.0,25.2,12.6,5.5,3.3,0.2,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.80,1.0,0.00001,-3.19,6.86,0.20138,0.022,0.00011,200.0,3.000,0.10,200.0,46.2,1.32,1.000,25.192,-110.75,-16.2,-55.4,59.4,0,0
200.0,1.200,32.61,242.98,6373.104,6371.904,9.792,287.0,8.815e+04,1.068e+00,8.427,9.999,339.5,9.988e+04,0.883,1.052,280.4,8.772e+04,1.090e+00,0.0,1.055e+00,1.081e+00,1.089e+00,2.0,1.23,336.1,0.00,-2.0,-3.2,-0.8,-0.1,1.7,-1.2,-0.007,-2.1,2.9,-0.217,-0.4,1.7,-0.225,3.7,3.6,0.161,5.33,2.10,353.49,4.63,105.93,0.00,1.00,86400.0,2.2246e+25,2.875e+02,1.397e+00,28.914,0.9998,2.0678e+23,1.28,0.93,39.95,9.0988e+21,0.06,0.04,44.01,4.3329e+18,0.00,0.00,28.01,1.7287e+25,75.29,77.71,28.01,4.6375e+24,23.07,20.85,32.00,1.1512e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.5825e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.4387e+17,0.00,0.00,48.00,8.0827e+18,0.00,0.00,44.01,1.0548e+23,0.30,0.47,18.02,-2.0,1.33,2.812e+02,-0.1,0.36,8.809e+04,0.0,0.7,-0.7,-1.6,0.2,0.0,0.5,0.5,2.2,2.1,-0.1,1.3,-1.3,-0.5,2.8,0.4,1.1,1.2,2.9,2.9,266.87,6.2,4.157e+02,1.894e+02,3.153e-03,0.0,26.2,13.0,5.8,3.5,0.3,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.78,1.0,0.00001,-3.19,6.86,0.20166,0.022,0.00011,200.0,3.000,0.10,200.0,46.2,1.32,1.000,25.193,-110.51,-16.0,-55.4,59.4,0,0
250.0,1.500,32.59,243.01,6373.411,6371.911,9.791,284.9,8.506e+04,1.039e+00,8.365,10.034,338.3,9.988e+04,0.852,1.343,278.4,8.456e+04,1.058e+00,0.0,1.026e+00,1.051e+00,1.057e+00,1.8,1.19,335.0,0.00,-1.8,-3.0,-0.7,-0.1,1.8,-0.9,-0.005,-2.2,3.8,-0.105,-0.4,2.9,-0.110,3.8,3.8,0.230,5.33,2.10,353.28,4.65,105.73,0.00,1.00,86400.0,2.1625e+25,2.875e+02,1.397e+00,28.918,0.9998,2.0107e+23,1.28,0.93,39.95,8.8476e+21,0.06,0.04,44.01,4.1692e+18,0.00,0.00,28.01,1.6810e+25,75.30,77.73,28.01,4.5095e+24,23.07,20.85,32.00,1.1195e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.4283e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.3285e+17,0.00,0.00,48.00,7.8595e+18,0.00,0.00,44.01,9.5788e+22,0.28,0.44,18.02,-1.9,1.32,2.794e+02,-0.2,0.37,8.493e+04,-0.0,0.6,-0.6,-1.4,1.2,0.0,0.5,0.5,2.3,2.3,-0.2,1.2,-1.3,-0.8,2.6,0.4,1.1,1.2,3.0,3.1,265.33,6.6,3.748e+02,1.751e+02,2.859e-03,0.0,27.1,13.4,6.0,3.6,0.3,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.76,1.0,0.04600,-3.20,6.86,0.07867,0.057,0.00011,200.0,3.000,0.17,200.0,118.3,1.32,1.000,25.194,-110.27,-15.8,-55.4,59.4,7,0
300.0,1.800,32.57,243.04,6373.718,6371.918,9.790,283.0,8.205e+04,1.009e+00,8.307,9.918,337.2,9.988e+04,0.822,1.633,276.5,8.149e+04,1.027e+00,0.0,9.977e-01,1.020e+00,1.031e+00,2.2,1.12,332.9,0.00,-1.7,-2.8,-0.6,0.4,2.2,-0.7,-0.003,-0.2,2.1,0.134,2.0,1.5,0.131,3.9,4.0,0.253,5.33,2.10,353.07,4.66,105.54,0.00,1.00,86400.0,2.1004e+25,2.874e+02,1.398e+00,28.923,0.9998,1.9539e+23,1.28,0.93,39.95,8.5976e+21,0.06,0.04,44.01,4.0089e+18,0.00,0.00,28.01,1.6335e+25,75.32,77.77,28.01,4.3821e+24,23.08,20.86,32.00,1.0878e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.2749e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.2152e+17,0.00,0.00,48.00,7.6375e+18,0.00,0.00,44.01,8.2957e+22,0.25,0.39,18.02,-2.5,1.30,2.758e+02,-0.4,0.40,8.176e+04,-0.0,1.0,-1.2,0.9,-0.3,0.0,0.4,0.5,2.3,2.4,-0.3,1.2,-1.3,-1.1,2.4,0.4,1.0,1.2,3.1,3.2,262.89,7.4,3.225e+02,1.655e+02,2.475e-03,0.0,26.5,13.6,6.4,3.8,0.3,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.74,1.0,0.04600,-3.20,6.87,0.07878,0.057,0.00011,200.0,3.000,0.17,200.0,118.2,1.32,1.000,25.194,-110.03,-15.6,-55.4,59.4,7,0
350.0,2.100,32.55,243.07,6374.024,6371.924,9.789,281.0,7.913e+04,9.798e-01,8.250,9.735,336.1,9.988e+04,0.792,1.921,274.5,7.852e+04,9.965e-01,0.0,9.695e-01,9.901e-01,9.968e-01,1.7,1.05,332.5,0.00,-1.7,-2.7,-0.6,0.0,2.6,-0.5,-0.002,-0.7,3.5,-0.014,2.0,3.0,-0.016,4.1,4.3,0.277,5.33,2.10,352.87,4.68,105.35,0.00,1.00,86400.0,2.0393e+25,2.874e+02,1.399e+00,28.928,0.9998,1.8980e+23,1.29,0.93,39.95,8.3517e+21,0.06,0.04,44.01,3.8530e+18,0.00,0.00,28.01,1.5868e+25,75.35,77.81,28.01,4.2567e+24,23.09,20.87,32.00,1.0567e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,5.1241e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.1300e+17,0.00,0.00,48.00,7.4190e+18,0.00,0.00,44.01,7.0574e+22,0.22,0.35,18.02,-2.1,1.28,2.751e+02,-0.4,0.43,7.879e+04,-0.0,0.6,-0.8,0.8,1.2,0.0,0.4,0.5,2.5,2.6,-0.4,1.1,-1.3,-1.5,2.3,0.4,1.0,1.2,3.3,3.4,260.34,8.2,2.726e+02,1.558e+02,2.104e-03,0.0,25.5,13.8,6.9,3.9,0.3,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.72,1.0,0.04600,-3.20,6.87,0.07889,0.056,0.00011,200.0,3.000,0.17,200.0,118.1,1.32,1.000,25.195,-109.80,-15.5,-55.4,59.5,7,0
400.0,2.400,32.53,243.10,6374.331,6371.931,9.788,279.2,7.629e+04,9.510e-01,8.196,9.623,335.1,9.988e+04,0.764,2.208,272.6,7.563e+04,9.667e-01,0.0,9.416e-01,9.603e-01,9.643e-01,1.4,0.99,331.9,0.00,-1.6,-2.6,-0.7,-0.2,3.2,-0.5,-0.002,0.2,2.1,-0.152,3.5,1.6,-0.154,4.4,4.5,0.300,5.34,2.11,352.66,4.70,105.16,0.00,1.00,86400.0,1.9790e+25,2.873e+02,1.399e+00,28.933,0.9998,1.8427e+23,1.29,0.93,39.95,8.1085e+21,0.06,0.04,44.01,3.7002e+18,0.00,0.00,28.01,1.5405e+25,75.37,77.84,28.01,4.1328e+24,23.10,20.88,32.00,1.0259e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,4.9748e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.0993e+17,0.00,0.00,48.00,7.2029e+18,0.00,0.00,44.01,5.9283e+22,0.19,0.30,18.02,-1.9,1.26,2.740e+02,-0.5,0.47,7.591e+04,-0.1,0.4,-0.6,2.1,-0.1,0.0,0.4,0.5,2.6,2.7,-0.4,1.0,-1.3,-1.9,2.2,0.5,0.9,1.2,3.5,3.6,257.58,9.0,2.276e+02,1.459e+02,1.766e-03,0.0,24.1,14.0,7.5,4.2,0.3,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.70,1.0,0.04600,-3.21,6.87,0.07900,0.056,0.00011,200.0,3.000,0.17,200.0,117.9,1.32,1.000,25.196,-109.56,-15.3,-55.5,59.5,7,0
450.0,2.700,32.51,243.13,6374.638,6371.938,9.787,277.4,7.354e+04,9.227e-01,8.144,9.607,334.0,9.988e+04,0.736,2.493,270.6,7.284e+04,9.376e-01,0.0,9.141e-01,9.313e-01,9.338e-01,1.2,0.93,331.1,0.00,-1.6,-2.5,-0.7,-0.4,3.9,-0.5,-0.002,-2.7,2.4,-0.238,1.2,1.9,-0.240,4.7,4.9,0.324,5.34,2.11,352.45,4.71,104.97,0.00,1.00,86400.0,1.9199e+25,2.873e+02,1.400e+00,28.937,0.9999,1.7884e+23,1.29,0.93,39.95,7.8694e+21,0.06,0.04,44.01,3.5521e+18,0.00,0.00,28.01,1.4951e+25,75.39,77.87,28.01,4.0109e+24,23.10,20.89,32.00,9.9569e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,4.8281e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.0659e+17,0.00,0.00,48.00,6.9905e+18,0.00,0.00,44.01,5.0295e+22,0.16,0.26,18.02,-1.7,1.25,2.726e+02,-0.6,0.50,7.313e+04,-0.1,0.3,-0.4,-0.4,0.3,0.0,0.4,0.5,2.8,2.9,-0.5,0.9,-1.3,-2.4,2.1,0.5,0.9,1.1,3.8,3.9,255.04,9.6,1.919e+02,1.354e+02,1.497e-03,0.0,23.1,14.3,8.2,4.5,0.3,1.93,1.47,289.64,625.00,0.49,2.25,1.199e+00,0.29,-0.38,1.64,1.72,0.2,0.098,32.68,1.0,0.04600,-3.21,6.88,0.07911,0.056,0.00011,200.0,3.000,0.17,200.0,117.8,1.32,1.000,25.196,-109.32,-15.1,-55.5,59.5,7,0
