ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun_deg,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,O3nd_m3,O3mass_pct,O3mole_pct,O3amw,N2Ond_m3,N2Omass_pct,N2Omole_pct,N2Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperaturePerturbation_pct,TemperatureStandardDeviation_pct,PerturbedTemperature_K,PressurePerturbation_pct,PressureStandardDeviation_pct,PerturbedPressure_Pa,PresPertSmall_pct,DensPertSmall_pct,TempPertSmall_pct,EWWindPertSmall_ms,NSWindPertSmall_ms,PresSDSmall_pct,DensSDSmall_pct,TempSDSmall_pct,EWWindSDSmall_ms,NSWindSDSmall_ms,PresPertLarge_pct,DensPertLarge_pct,TempPertLarge_pct,EWWindPertLarge_ms,NSWindPertLarge_ms,PresSDLarge_pct,DensSDLarge_pct,TempSDLarge_pct,EWWindSDLarge_ms,NSWindSDLarge_ms,DewPoint_K,DewPointSD_pct,VaporPressure_Pa,VaporPressureSD_pct,VaporDensity_kgm3,VaporDensitySD_pct,RelativeHumidity_pct,RelativeHumiditySD_pct,WindSpeed_ms,WindSpeedStandardDeviation_pct,WindCorrelation,WindSpeedAtSurface_ms,WindSpeedSDAtSurface_pct,TemperatureAtSurface_K,TemperatureSDAtSurface_pct,PressureSDAtSurface_Pa,DensitySDAtSurface_pct,DensityAtSurface_kgm3,EWWindAtSurface_ms,NSWindAtSurface_ms,EWWindSDAtSurface_pct,NSWindSDAtSurface_pct,WindCorrelationAtSurface_pct,SurfaceHeight_km,GeodeticLatitude_deg,RRAWeight,SurfaceRoughness_m,NetRadiationIndex,Stability,InverseLength_m,FrictionVelocity_ms,BVFrequencySquare_s2,MetersAboveSurface_m,SigmaRatio,SigmaW_ms,BoundaryLayerDepth_m,NeutralBoundaryLayerDepth_m,PerturbedWindSpeedAtSurface_ms,UnstableBLFactor,SolarDays,SolarHourAngle_deg,SolarElevation_deg,ElevationAtMidnight_deg,ElevationAtNoon_deg,LandCode,SeverityLevel
10.0,7.000,25.00,25.00,6381.302,6374.302,9.768,253.8,4.260e+04,5.848e-01,7.458,9.337,319.6,9.559e+04,0.446,6.028,242.7,4.111e+04,5.900e-01,0.0,5.794e-01,5.901e-01,5.823e-01,-0.4,0.92,319.0,0.00,-0.9,-1.8,0.0,-1.3,23.3,-0.4,-0.005,-6.4,-1.1,-1.042,16.9,-1.4,-1.046,9.5,8.6,0.630,5.33,2.10,354.28,14.05,37.50,0.00,1.00,86400.0,1.2157e+25,2.870e+02,1.402e+00,28.961,0.9998,1.1349e+23,1.29,0.93,39.95,4.9939e+21,0.06,0.04,44.01,2.0646e+18,0.00,0.00,28.01,9.4881e+24,75.49,78.04,28.01,2.5453e+24,23.13,20.94,32.00,6.3187e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,3.0336e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,6.6571e+17,0.00,0.00,48.00,4.4362e+18,0.00,0.00,44.01,5.3594e+21,0.03,0.04,18.02,-0.4,0.91,2.528e+02,-0.8,0.69,4.226e+04,-0.0,0.2,-0.2,-1.0,6.0,0.1,0.4,0.4,6.5,5.9,-0.8,-0.6,-0.2,-5.5,-7.0,0.7,0.8,0.8,6.9,6.2,233.05,9.1,1.877e+01,2.186e+01,1.603e-04,0.0,19.8,17.3,25.1,8.9,0.3,5.01,1.86,291.80,6.39,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08532,0.157,0.00011,0.0,0.000,0.00,706.8,357.0,2.17,1.000,0.000,30.72,52.5,-63.0,67.0,8,0
20.0,9.000,25.00,25.00,6383.302,6374.302,9.762,240.0,3.229e+04,4.688e-01,7.055,8.839,310.7,9.559e+04,0.338,7.659,229.7,3.080e+04,4.671e-01,0.0,4.636e-01,4.740e-01,4.652e-01,-0.8,1.11,310.7,0.00,0.4,-0.8,1.5,-0.4,33.3,0.2,-0.003,0.6,-0.7,-0.395,33.9,-0.5,-0.398,11.3,11.6,0.630,5.33,2.10,354.24,14.05,37.53,0.00,1.00,86400.0,9.7451e+24,2.870e+02,1.402e+00,28.964,0.9998,9.0993e+22,1.29,0.93,39.95,4.0039e+21,0.06,0.04,44.01,1.4434e+18,0.00,0.00,28.01,7.6071e+24,75.50,78.06,28.01,2.0407e+24,23.14,20.94,32.00,5.0660e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,2.4079e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.2204e+17,0.00,0.00,48.00,3.5419e+18,0.00,0.00,44.01,2.1622e+21,0.01,0.02,18.02,-0.0,1.11,2.399e+02,-0.8,0.92,3.203e+04,-0.0,0.3,-0.3,2.8,8.4,0.1,0.5,0.5,7.8,8.0,-0.8,-1.0,0.3,-2.2,-9.1,0.9,1.0,1.0,8.2,8.4,224.19,7.5,7.162e+00,6.174e+00,6.467e-05,0.0,24.7,17.9,35.4,10.8,0.3,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,30.76,52.5,-63.0,67.0,8,0
30.0,11.000,25.00,25.00,6385.302,6374.302,9.756,227.5,2.410e+04,3.690e-01,6.693,8.039,302.6,9.559e+04,0.252,9.223,216.8,2.270e+04,3.648e-01,0.0,3.647e-01,3.734e-01,3.658e-01,-0.9,1.18,303.2,0.00,1.2,-0.0,2.4,0.3,44.2,0.1,-0.003,4.3,-7.2,-0.543,48.6,-7.1,-0.546,12.3,13.6,0.606,5.33,2.10,354.20,14.05,37.56,0.00,1.00,86400.0,7.6717e+24,2.870e+02,1.402e+00,28.966,0.9999,7.1646e+22,1.29,0.93,39.95,3.1526e+21,0.06,0.04,44.01,9.3423e+17,0.00,0.00,28.01,5.9897e+24,75.51,78.07,28.01,1.6068e+24,23.14,20.94,32.00,3.9889e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.8568e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,8.7303e+17,0.00,0.00,48.00,2.7035e+18,0.00,0.00,44.01,3.5637e+20,0.00,0.00,18.02,0.4,1.17,2.285e+02,-0.4,1.04,2.399e+04,-0.0,0.2,-0.3,1.7,1.1,0.1,0.6,0.6,8.5,9.4,-0.4,-1.1,0.7,2.6,-8.3,1.0,1.0,1.0,8.9,9.8,213.77,5.2,2.047e+00,1.129e+00,1.950e-05,0.0,24.8,16.5,46.4,11.8,0.2,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,30.80,52.5,-63.0,67.0,8,0
40.0,13.000,25.00,25.00,6387.302,6374.302,9.750,216.0,1.769e+04,2.854e-01,6.360,7.668,294.8,9.559e+04,0.185,10.728,216.7,1.658e+04,2.666e-01,0.0,2.822e-01,2.885e-01,2.856e-01,0.1,1.10,294.7,0.00,7.0,5.9,8.2,7.1,46.1,1.6,-0.002,16.6,-5.8,-0.899,62.7,-4.3,-0.901,10.9,12.4,0.558,5.33,2.10,354.16,14.06,37.59,0.00,1.00,86400.0,5.9322e+24,2.870e+02,1.402e+00,28.966,0.9999,5.5402e+22,1.29,0.93,39.95,2.4378e+21,0.06,0.04,44.01,5.1359e+17,0.00,0.00,28.01,4.6317e+24,75.51,78.08,28.01,1.2425e+24,23.14,20.95,32.00,3.0845e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.4000e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,1.0354e+18,0.00,0.00,48.00,2.0203e+18,0.00,0.00,44.01,6.5906e+19,0.00,0.00,18.02,-0.1,1.10,2.159e+02,0.0,1.00,1.770e+04,-0.0,0.9,-1.0,10.6,-3.4,0.1,0.6,0.6,7.5,8.6,0.0,-0.8,0.9,6.1,-2.5,1.0,0.9,0.9,7.8,8.9,202.09,3.2,4.201e-01,1.768e-01,4.214e-06,0.0,18.9,12.3,47.8,10.6,0.3,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,30.84,52.5,-63.0,67.0,8,0
50.0,15.000,25.00,25.00,6389.302,6374.302,9.743,205.8,1.278e+04,2.163e-01,6.062,6.956,287.8,9.559e+04,0.134,12.201,216.7,1.211e+04,1.948e-01,0.0,2.136e-01,2.189e-01,2.172e-01,0.4,1.22,288.1,0.00,11.1,9.7,12.4,11.5,37.5,1.7,-0.002,-2.3,3.4,-0.535,35.2,5.0,-0.537,9.1,9.3,0.510,5.33,2.10,354.12,14.06,37.63,0.00,1.00,86400.0,4.4961e+24,2.870e+02,1.402e+00,28.966,0.9999,4.1991e+22,1.29,0.93,39.95,1.8477e+21,0.06,0.04,44.01,2.4077e+17,0.00,0.00,28.01,3.5105e+24,75.51,78.08,28.01,9.4174e+23,23.14,20.95,32.00,2.3378e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.0296e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,1.0441e+18,0.00,0.00,48.00,1.4694e+18,0.00,0.00,44.01,1.7350e+19,0.00,0.00,18.02,0.3,1.21,2.063e+02,0.7,0.93,1.286e+04,0.1,0.9,-0.8,-9.2,2.7,0.2,0.8,0.8,6.3,6.5,0.6,-0.5,1.0,6.9,0.7,0.9,0.9,0.9,6.5,6.7,192.80,1.9,1.012e-01,2.329e-02,1.066e-06,0.0,16.4,8.5,38.7,8.9,0.2,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,30.88,52.5,-63.0,67.0,8,0
60.0,17.000,25.00,25.00,6391.302,6374.302,9.737,199.4,9.113e+03,1.592e-01,5.878,5.887,283.2,9.559e+04,0.095,13.815,216.7,8.850e+03,1.423e-01,0.0,1.572e-01,1.612e-01,1.598e-01,0.4,1.25,283.9,0.00,11.9,10.5,13.3,12.3,25.1,1.1,-0.000,3.9,5.5,0.195,29.0,6.7,0.195,7.4,6.7,0.474,5.33,2.10,354.07,14.06,37.66,0.00,1.00,86400.0,3.3101e+24,2.870e+02,1.402e+00,28.966,0.9999,3.0914e+22,1.29,0.93,39.95,1.3603e+21,0.06,0.04,44.01,1.1202e+17,0.00,0.00,28.01,2.5844e+24,75.51,78.08,28.01,6.9332e+23,23.14,20.95,32.00,1.7211e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,7.2849e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,1.3980e+18,0.00,0.00,48.00,1.0023e+18,0.00,0.00,44.01,9.6229e+18,0.00,0.00,18.02,0.5,1.24,2.004e+02,0.9,0.83,9.191e+03,0.1,0.4,-0.4,-2.1,3.2,0.1,0.8,0.8,5.1,4.7,0.8,-0.0,0.8,6.0,2.3,0.8,1.0,1.0,5.3,4.8,187.19,0.9,3.952e-02,6.971e-03,4.294e-07,0.0,15.2,2.7,26.1,7.1,0.2,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,30.93,52.5,-63.0,67.0,8,0
70.0,19.000,25.00,25.00,6393.302,6374.302,9.731,201.1,6.470e+03,1.121e-01,5.930,5.344,284.4,9.559e+04,0.068,15.969,216.7,6.468e+03,1.040e-01,0.0,1.107e-01,1.135e-01,1.144e-01,2.1,1.24,282.8,0.00,7.8,6.5,9.1,10.0,12.6,0.5,-0.000,8.2,0.6,0.528,20.8,1.0,0.528,5.5,4.2,0.438,5.33,2.10,354.03,14.06,37.69,0.00,1.00,86400.0,2.3309e+24,2.870e+02,1.402e+00,28.966,0.9999,2.1769e+22,1.29,0.93,39.95,9.5788e+20,0.06,0.04,44.01,4.9104e+16,0.00,0.00,28.01,1.8199e+24,75.51,78.08,28.01,4.8821e+23,23.14,20.95,32.00,1.2120e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,4.8747e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,2.8741e+18,0.00,0.00,48.00,6.0499e+17,0.00,0.00,44.01,8.1811e+18,0.00,0.00,18.02,-1.1,1.21,1.989e+02,0.9,0.79,6.532e+03,0.1,1.6,-1.5,4.2,-1.8,0.1,0.7,0.7,3.9,2.9,0.8,0.4,0.5,4.1,2.4,0.8,1.0,1.0,4.0,3.0,184.97,0.4,2.677e-02,1.922e-03,2.885e-07,0.0,9.0,0.6,13.5,4.9,0.2,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,30.97,52.5,-63.0,67.0,8,0
80.0,21.000,25.00,25.00,6395.302,6374.302,9.725,208.3,4.629e+03,7.742e-02,6.149,5.587,289.5,9.559e+04,0.048,18.617,217.6,4.729e+03,7.571e-02,0.0,7.658e-02,7.825e-02,7.782e-02,0.5,1.08,289.8,0.00,2.3,1.1,3.4,2.8,5.4,0.1,0.000,3.0,3.9,-0.269,8.4,3.9,-0.269,4.8,2.9,0.426,5.33,2.10,353.99,14.07,37.72,0.00,1.00,86400.0,1.6094e+24,2.870e+02,1.401e+00,28.966,0.9999,1.5031e+22,1.29,0.93,39.95,6.6140e+20,0.06,0.04,44.01,2.6906e+16,0.00,0.00,28.01,1.2566e+24,75.51,78.08,28.01,3.3710e+23,23.14,20.95,32.00,8.3684e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,3.0698e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.5071e+18,0.00,0.00,48.00,3.4211e+17,0.00,0.00,44.01,6.7011e+18,0.00,0.00,18.02,0.2,1.07,2.088e+02,0.7,0.77,4.663e+03,-0.1,-0.2,0.1,0.4,1.7,0.1,0.6,0.6,3.3,2.0,0.8,0.7,0.1,2.6,2.2,0.8,0.9,0.9,3.4,2.0,183.47,0.2,2.040e-02,6.974e-04,2.122e-07,0.0,2.3,0.1,6.9,3.6,0.2,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,31.01,52.5,-63.0,67.0,8,0
90.0,23.000,25.00,25.00,6397.302,6374.302,9.719,214.2,3.352e+03,5.452e-02,6.326,5.881,293.5,9.559e+04,0.035,21.197,219.6,3.467e+03,5.500e-02,0.0,5.388e-02,5.516e-02,5.496e-02,0.8,1.18,293.6,0.00,-0.9,-2.0,0.3,-0.1,3.6,0.1,-0.000,4.9,1.2,-0.326,8.5,1.2,-0.326,5.2,2.9,0.438,5.33,2.10,353.95,14.07,37.75,0.00,1.00,86400.0,1.1334e+24,2.870e+02,1.401e+00,28.966,0.9999,1.0585e+22,1.29,0.93,39.95,4.6576e+20,0.06,0.04,44.01,2.0180e+16,0.00,0.00,28.01,8.8491e+23,75.51,78.08,28.01,2.3739e+23,23.14,20.95,32.00,5.8931e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.8705e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,4.0846e+18,0.00,0.00,48.00,2.0960e+17,0.00,0.00,44.01,5.2327e+18,0.00,0.00,18.02,0.0,1.16,2.143e+02,0.8,1.01,3.380e+03,-0.1,-0.2,0.1,3.3,-1.2,0.1,0.7,0.7,3.6,2.0,0.9,1.0,-0.1,1.6,2.3,1.0,1.0,1.0,3.7,2.1,181.89,0.1,1.527e-02,4.051e-04,1.544e-07,0.0,0.8,0.0,6.1,3.4,0.2,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,31.05,52.5,-63.0,67.0,8,0
100.0,25.000,25.00,25.00,6399.302,6374.302,9.713,218.9,2.447e+03,3.895e-02,6.467,6.076,296.7,9.559e+04,0.026,23.705,221.6,2.549e+03,4.008e-02,0.0,3.849e-02,3.941e-02,3.935e-02,1.0,1.18,296.5,0.00,-2.8,-4.0,-1.7,-1.8,3.5,0.2,-0.000,-5.1,3.0,-0.261,-1.5,3.2,-0.261,6.3,3.3,0.450,5.33,2.10,353.91,14.07,37.78,0.00,1.00,86400.0,8.0972e+23,2.870e+02,1.401e+00,28.966,0.9999,7.5622e+21,1.29,0.93,39.95,3.3275e+20,0.06,0.04,44.01,1.6675e+16,0.00,0.00,28.01,6.3221e+23,75.51,78.08,28.01,1.6960e+23,23.14,20.95,32.00,4.2102e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.1551e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,4.2662e+18,0.00,0.00,48.00,1.3221e+17,0.00,0.00,44.01,3.9482e+18,0.00,0.00,18.02,-0.1,1.13,2.186e+02,0.9,1.34,2.469e+03,-0.1,-0.1,-0.0,-5.4,0.5,0.2,0.6,0.6,4.4,2.3,1.0,1.1,-0.1,0.4,2.5,1.3,1.0,0.9,4.5,2.4,180.35,0.1,1.143e-02,2.588e-04,1.132e-07,0.0,0.4,0.0,7.0,3.8,0.3,5.01,1.86,291.80,431.80,0.00,0.00,1.151e+00,-0.89,-2.23,3.00,3.62,-0.1,0.425,25.15,0.0,0.01500,3.33,1.86,-0.08529,0.157,0.00011,0.0,0.000,0.00,706.7,357.0,2.17,1.000,0.000,31.09,52.5,-63.0,67.0,8,0
