ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,
0.0,0.000,22.00,48.00,70782.555,70782.555,23.734,166.1,1.000e+05,1.740e-01,25.331,-38.082,900.2,1.000e+05,1.000,-0.000,166.1,1.000e+05,1.740e-01,0.0,1.740e-01,1.740e-01,1.740e-01,0.0,0.00,900.2,0.00,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.460e+03,1.410e+00,0.000,0.0000,
500.0,5.000,22.30,48.50,70769.349,70764.349,23.746,155.5,8.151e+04,1.481e-01,23.653,35.049,880.9,1.000e+05,0.815,4.837,155.5,8.151e+04,1.481e-01,0.0,1.481e-01,1.481e-01,1.481e-01,0.0,0.00,880.9,188913.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,272.48,21.07,131.63,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
1000.0,10.000,22.60,49.00,70755.963,70745.963,23.758,145.0,6.547e+04,1.276e-01,22.005,31.118,850.6,1.000e+05,0.655,9.320,145.0,6.547e+04,1.276e-01,0.0,1.276e-01,1.276e-01,1.276e-01,0.0,0.00,850.6,188631.81,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,267.44,21.44,136.07,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
1500.0,15.000,22.90,49.50,70742.399,70727.399,23.770,135.9,5.182e+04,1.077e-01,20.702,27.987,823.4,1.000e+05,0.518,13.611,135.9,5.182e+04,1.077e-01,0.0,1.077e-01,1.077e-01,1.077e-01,0.0,0.00,823.4,188346.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,262.40,21.81,140.27,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
2000.0,20.000,23.20,50.00,70728.660,70708.660,23.782,127.4,4.073e+04,8.988e-02,22.193,27.395,799.4,1.000e+05,0.407,19.933,127.4,4.073e+04,8.988e-02,0.0,8.988e-02,8.988e-02,8.988e-02,0.0,0.00,799.4,188057.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,257.37,22.18,144.16,45.08,5.20,35733.2,0.0000e+00,3.558e+03,1.410e+00,0.000,0.0000,
2500.0,25.000,23.50,50.50,70714.748,70689.748,23.795,120.0,3.217e+04,7.446e-02,18.800,21.983,780.5,1.000e+05,0.322,21.324,120.0,3.217e+04,7.446e-02,0.0,7.446e-02,7.446e-02,7.446e-02,0.0,0.00,780.5,187765.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,252.33,22.54,147.62,45.08,5.20,35733.2,0.0000e+00,3.600e+03,1.410e+00,0.000,0.0000,
3000.0,30.000,23.80,51.00,70700.666,70670.666,23.807,110.7,2.427e+04,6.090e-02,17.156,44.157,749.6,1.000e+05,0.243,24.293,110.7,2.427e+04,6.090e-02,0.0,6.090e-02,6.090e-02,6.090e-02,0.0,0.00,749.6,187469.63,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.54,-1.54,247.29,22.91,150.52,45.08,5.20,35733.2,0.0000e+00,3.598e+03,1.410e+00,0.000,0.0000,
3500.0,35.000,24.10,51.50,70686.416,70651.416,23.820,109.0,1.816e+04,4.629e-02,16.952,-24.833,743.7,1.000e+05,0.182,28.922,109.0,1.816e+04,4.629e-02,0.0,4.629e-02,4.629e-02,4.629e-02,0.0,0.00,743.7,187170.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.54,-1.54,242.25,23.28,152.66,45.08,5.20,35733.2,0.0000e+00,3.599e+03,1.410e+00,0.000,0.0000,
4000.0,40.000,24.40,52.00,70672.001,70632.001,23.833,113.2,1.359e+04,3.335e-02,17.445,21.831,757.9,1.000e+05,0.136,34.822,113.2,1.359e+04,3.335e-02,0.0,3.335e-02,3.335e-02,3.335e-02,0.0,0.00,757.9,186867.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.54,-1.54,237.21,23.65,153.87,45.08,5.20,35733.2,0.0000e+00,3.599e+03,1.410e+00,0.000,0.0000,
4500.0,45.000,24.70,52.50,70657.424,70612.424,23.845,112.6,1.021e+04,2.518e-02,17.736,27.665,756.0,1.000e+05,0.102,40.471,112.6,1.021e+04,2.518e-02,0.0,2.518e-02,2.518e-02,2.518e-02,0.0,0.00,756.0,186561.97,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.54,-1.54,232.18,0.02,154.02,45.08,5.20,35733.2,0.0000e+00,3.599e+03,1.410e+00,0.000,0.0000,
