ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
0.0,0.000,22.00,48.00,24703.308,24703.308,10.985,71.2,1.000e+05,4.423e-01,23.805,41.988,608.2,1.000e+05,1.000,-0.000,71.5,1.000e+05,4.402e-01,0.0,4.336e-01,4.512e-01,4.512e-01,2.0,1.98,602.2,68.90,0.5,-1.5,2.5,2.5,-310.8,0.0,-8.4,-25.8,-319.3,-25.8,25.0,25.0,305.67,-21.99,286.85,3.92,126.09,240.92,29.92,57996.0,1.0201e+26,3.177e+03,1.636e+00,2.611,0.9977,8.1332e+25,61.69,79.73,2.02,1.9078e+25,28.65,18.70,4.00,1.6043e+24,9.66,1.57,16.04,-0.089
500.0,20.000,22.30,48.50,24721.732,24701.732,10.968,54.8,3.252e+04,1.866e-01,16.286,19.261,536.7,1.000e+05,0.325,18.297,55.3,3.277e+04,1.865e-01,0.0,1.773e-01,1.964e-01,1.841e-01,-1.4,5.12,540.4,396.66,0.1,-4.9,5.3,-1.3,-295.1,0.0,-42.1,-24.3,-337.2,-24.3,25.0,25.0,305.67,-21.99,289.99,4.10,123.79,240.92,29.92,57996.0,4.3043e+25,3.179e+03,1.653e+00,2.610,0.9979,3.4319e+25,61.71,79.73,2.02,8.0501e+24,28.66,18.70,4.00,6.7446e+23,9.63,1.57,16.04,-0.090
1000.0,40.000,22.60,49.00,24740.140,24700.140,10.951,50.3,8.631e+03,5.383e-02,14.764,15.210,515.2,1.000e+05,0.086,36.171,51.0,8.823e+03,5.432e-02,0.0,4.961e-02,5.841e-02,5.153e-02,-4.3,8.17,526.6,667.23,-0.9,-8.7,7.5,-5.1,-279.4,0.0,8.2,0.4,-271.3,0.4,28.8,25.0,305.67,-21.99,293.12,4.27,121.50,240.92,29.92,57996.0,1.2416e+25,3.185e+03,1.656e+00,2.609,0.9993,9.8999e+24,61.73,79.74,2.02,2.3222e+24,28.67,18.70,4.00,1.9369e+23,9.59,1.56,16.04,-0.090
1500.0,60.000,22.90,49.50,24758.532,24698.532,10.935,54.0,2.283e+03,1.326e-02,15.538,14.390,532.9,1.000e+05,0.023,58.730,55.1,2.387e+03,1.359e-02,0.0,1.187e-02,1.482e-02,1.422e-02,7.2,11.13,514.6,657.80,-2.4,-12.7,9.1,4.7,-263.7,0.0,18.3,15.8,-245.4,15.8,35.2,25.0,305.67,-21.99,296.25,4.45,119.22,240.92,29.92,57996.0,3.0564e+24,3.187e+03,1.650e+00,2.608,0.9998,2.4373e+24,61.77,79.74,2.02,5.7170e+23,28.69,18.71,4.00,4.7425e+22,9.54,1.55,16.04,-0.090
2000.0,80.000,23.20,50.00,24776.907,24696.907,10.919,68.9,7.205e+02,3.280e-03,19.442,13.728,598.2,1.000e+05,0.007,95.910,70.3,7.717e+02,3.443e-03,0.0,2.852e-03,3.772e-03,4.177e-03,27.4,14.02,530.1,648.36,-4.7,-17.2,9.5,21.3,-248.1,0.0,1.1,2.7,-247.0,2.7,41.6,25.0,305.67,-21.99,299.38,4.63,116.96,240.92,29.92,57996.0,7.5644e+23,3.190e+03,1.629e+00,2.607,1.0001,6.0327e+23,61.80,79.75,2.02,1.4151e+23,28.71,18.71,4.00,1.1662e+22,9.49,1.54,16.04,-0.091
2500.0,100.000,23.50,50.50,24795.267,24695.267,10.902,103.1,3.276e+02,9.958e-04,29.083,20.399,722.0,1.000e+05,0.003,166.387,104.7,3.557e+02,1.065e-03,0.0,8.694e-04,1.141e-03,1.021e-03,2.5,13.62,713.1,638.93,-6.5,-18.4,7.1,-4.1,-232.4,0.0,-0.6,-15.9,-233.0,-15.9,48.0,25.0,305.67,-21.99,302.51,4.80,114.72,240.92,29.92,57996.0,2.2998e+23,3.192e+03,1.585e+00,2.605,1.0000,1.8343e+23,61.85,79.76,2.02,4.3028e+22,28.73,18.71,4.00,3.5176e+21,9.42,1.53,16.04,-0.090
3000.0,120.000,23.80,51.00,24813.610,24693.610,10.886,117.0,1.761e+02,4.713e-04,33.644,30.220,763.4,1.000e+05,0.002,213.372,118.7,1.929e+02,5.087e-04,0.0,4.131e-04,5.377e-04,4.352e-04,-7.7,13.22,794.5,408.45,-7.4,-18.8,5.7,-14.5,-216.7,0.0,-17.7,-18.9,-234.4,-18.9,54.4,27.2,305.67,-21.99,305.64,4.98,112.49,240.92,29.92,57996.0,1.0893e+23,3.194e+03,1.560e+00,2.603,1.0000,8.6896e+22,61.91,79.77,2.02,2.0383e+22,28.76,18.71,4.00,1.6503e+21,9.34,1.52,16.04,-0.090
3500.0,140.000,24.10,51.50,24831.938,24691.938,10.870,120.1,9.926e+01,2.584e-04,34.913,33.326,772.7,1.000e+05,0.001,241.433,122.0,1.096e+02,2.811e-04,0.0,2.274e-04,2.937e-04,3.013e-04,16.6,12.82,715.7,297.77,-8.1,-19.1,4.5,7.2,-201.1,0.0,-45.0,41.0,-246.1,41.0,60.8,30.4,305.67,-21.99,308.77,5.15,110.27,240.92,29.92,57996.0,5.9784e+22,3.197e+03,1.555e+00,2.601,1.0000,4.7700e+22,61.98,79.79,2.02,1.1189e+22,28.79,18.72,4.00,8.9532e+20,9.24,1.50,16.04,-0.090
4000.0,160.000,24.40,52.00,24850.251,24690.251,10.854,131.5,5.828e+01,1.384e-04,38.143,31.982,804.3,1.000e+05,0.001,284.083,133.4,6.483e+01,1.518e-04,0.0,1.223e-04,1.567e-04,1.363e-04,-1.5,12.41,810.5,254.22,-8.8,-19.4,3.2,-10.2,-185.5,0.0,-100.9,20.8,-286.3,20.8,67.2,33.6,305.67,-21.99,311.91,5.33,108.08,240.92,29.92,57996.0,3.2061e+22,3.201e+03,1.537e+00,2.598,1.0000,2.5586e+22,62.06,79.80,2.02,6.0017e+21,28.82,18.72,4.00,4.7348e+20,9.12,1.48,16.04,-0.089
4500.0,180.000,24.70,52.50,24868.548,24688.548,10.838,141.3,3.550e+01,7.837e-05,42.747,38.757,830.2,1.000e+05,0.000,339.566,143.3,3.973e+01,8.654e-05,0.0,6.952e-05,8.835e-05,6.611e-05,-15.6,12.01,903.9,240.48,-9.4,-19.7,2.1,-23.6,-169.8,0.0,23.7,40.2,-146.2,40.2,73.6,36.8,305.67,-21.99,315.04,5.50,105.90,240.92,29.92,57996.0,1.8177e+22,3.205e+03,1.522e+00,2.594,1.0000,1.4509e+22,62.15,79.82,2.02,3.4033e+21,28.87,18.72,4.00,2.6392e+20,8.98,1.45,16.04,-0.089
5000.0,200.000,25.00,53.00,24886.831,24686.831,10.822,147.9,2.228e+01,4.694e-05,42.957,39.074,847.3,1.000e+05,0.000,361.230,149.8,2.507e+01,5.214e-05,0.0,4.181e-05,5.270e-05,3.533e-05,-24.7,11.60,976.6,227.77,-10.0,-19.8,1.1,-32.2,-154.2,0.0,51.5,-8.9,-102.7,-8.9,80.0,40.0,305.67,-21.99,318.17,5.68,103.75,240.92,29.92,57996.0,1.0905e+22,3.210e+03,1.512e+00,2.590,1.0000,8.7071e+21,62.27,79.85,2.02,2.0424e+21,28.92,18.73,4.00,1.5512e+20,8.81,1.42,16.04,-0.088
