ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
10.0,500.000,25.00,20.00,25186.831,24686.831,10.556,175.5,6.456e-02,1.073e-07,55.896,48.871,946.4,1.000e+05,0.000,796.694,174.3,5.920e-02,9.910e-08,0.0,9.758e-08,1.181e-07,1.120e-07,4.4,9.55,926.4,0.16,8.3,-1.5,19.1,13.0,43.1,0.0,-88.5,-11.2,-45.3,-11.2,112.0,56.0,305.67,-21.99,73.08,8.46,70.65,240.92,29.92,57996.0,2.6635e+19,3.428e+03,1.489e+00,2.426,1.0000,2.1527e+19,67.30,80.82,2.02,5.0496e+18,31.26,18.96,4.00,5.7711e+16,1.43,0.22,16.04,0.049
20.0,500.000,35.00,50.00,25122.412,24622.412,10.633,170.2,4.432e-02,7.596e-08,54.199,47.474,933.6,1.000e+05,0.000,792.893,174.3,5.920e-02,9.910e-08,0.0,6.905e-08,8.355e-08,7.309e-08,-3.8,9.55,951.7,5499.34,-23.4,-30.3,-15.7,-26.2,124.3,0.0,-185.2,-46.9,-60.9,-46.9,112.0,56.0,305.67,-21.99,73.02,10.47,62.53,240.92,29.92,57996.0,1.8823e+19,3.428e+03,1.494e+00,2.426,1.0000,1.5214e+19,67.30,80.82,2.02,3.5687e+18,31.26,18.96,4.00,4.0785e+16,1.43,0.22,16.04,-0.122
30.0,500.000,45.00,80.00,25049.767,24549.767,10.719,168.0,3.757e-02,6.524e-08,53.480,46.880,928.1,1.000e+05,0.000,791.208,174.3,5.920e-02,9.910e-08,0.0,5.931e-08,7.177e-08,6.206e-08,-4.9,9.55,951.6,4950.72,-34.2,-40.1,-27.6,-37.4,219.4,0.0,38.4,2.8,257.8,2.8,112.0,56.0,305.67,-21.99,72.96,12.47,68.97,240.92,29.92,57996.0,1.6156e+19,3.428e+03,1.496e+00,2.426,1.0000,1.3058e+19,67.30,80.82,2.02,3.0630e+18,31.26,18.96,4.00,3.5006e+16,1.43,0.22,16.04,-0.191
40.0,500.000,50.00,110.00,25013.130,24513.130,10.762,167.6,3.655e-02,6.361e-08,53.362,46.783,927.2,1.000e+05,0.000,790.932,174.3,5.920e-02,9.910e-08,0.0,5.783e-08,6.998e-08,6.765e-08,6.4,9.55,899.1,3846.35,-35.8,-41.6,-29.4,-31.7,268.5,0.0,57.1,35.4,325.7,35.4,112.0,56.0,305.67,-21.99,72.90,14.47,80.57,240.92,29.92,57996.0,1.5751e+19,3.428e+03,1.496e+00,2.426,1.0000,1.2730e+19,67.30,80.82,2.02,2.9861e+18,31.26,18.96,4.00,3.4128e+16,1.43,0.22,16.04,-0.202
50.0,500.000,60.00,140.00,24944.715,24444.715,10.842,170.6,4.540e-02,7.766e-08,54.305,47.562,934.4,1.000e+05,0.000,793.143,174.3,5.920e-02,9.910e-08,0.0,7.060e-08,8.543e-08,9.165e-08,18.0,9.55,860.1,3949.29,-21.6,-28.8,-13.8,-7.5,359.9,0.0,0.6,4.7,360.5,4.7,112.0,56.0,305.67,-21.99,72.83,16.48,99.35,240.92,29.92,57996.0,1.9249e+19,3.428e+03,1.494e+00,2.426,1.0000,1.5558e+19,67.30,80.82,2.02,3.6493e+18,31.26,18.96,4.00,4.1707e+16,1.43,0.22,16.04,-0.111
60.0,500.000,70.00,170.00,24889.365,24389.365,10.907,175.2,6.350e-02,1.057e-07,55.821,48.810,945.8,1.000e+05,0.000,796.552,174.3,5.920e-02,9.910e-08,0.0,9.610e-08,1.163e-07,1.067e-07,1.0,9.55,941.2,3193.97,6.7,-3.0,17.3,7.7,421.7,0.0,-1.5,-36.0,420.3,-36.0,112.0,56.0,305.67,-21.99,72.77,18.48,113.73,240.92,29.92,57996.0,2.6232e+19,3.428e+03,1.489e+00,2.426,1.0000,2.1202e+19,67.30,80.82,2.02,4.9733e+18,31.26,18.96,4.00,5.6838e+16,1.43,0.22,16.04,0.040
70.0,500.000,75.00,200.00,24868.661,24368.661,10.932,175.9,6.634e-02,1.101e-07,56.019,48.970,947.3,1.000e+05,0.000,796.927,174.3,5.920e-02,9.910e-08,0.0,1.001e-07,1.211e-07,1.036e-07,-5.9,9.55,976.5,2011.18,11.1,1.0,22.2,4.5,429.3,0.0,-36.6,-34.6,392.7,-34.6,112.0,56.0,305.67,-21.99,72.71,20.49,120.90,240.92,29.92,57996.0,2.7304e+19,3.428e+03,1.489e+00,2.426,1.0000,2.2069e+19,67.30,80.82,2.02,5.1766e+18,31.26,18.96,4.00,5.9162e+16,1.43,0.22,16.04,0.064
80.0,500.000,85.00,230.00,24844.132,24344.132,10.960,178.3,7.888e-02,1.290e-07,56.816,49.616,953.3,1.000e+05,0.000,798.436,174.3,5.920e-02,9.910e-08,0.0,1.173e-07,1.419e-07,1.470e-07,13.9,9.55,893.2,1985.27,30.2,18.4,43.2,48.3,332.2,0.0,-76.7,86.5,255.5,86.5,112.0,56.0,305.67,-21.99,72.65,22.49,117.13,240.92,29.92,57996.0,3.1986e+19,3.428e+03,1.487e+00,2.426,1.0000,2.5853e+19,67.30,80.82,2.02,6.0643e+18,31.26,18.96,4.00,6.9307e+16,1.43,0.22,16.04,0.162
90.0,500.000,85.00,80.00,24844.132,24344.132,10.960,188.7,1.555e-01,2.403e-07,60.174,52.331,977.7,1.000e+05,0.000,804.792,174.3,5.920e-02,9.910e-08,0.0,2.185e-07,2.643e-07,2.296e-07,-4.5,9.55,1000.3,1985.27,142.5,120.4,166.7,131.7,332.2,0.0,-150.9,14.2,181.3,14.2,112.0,56.0,305.67,-21.99,72.58,12.49,107.90,240.92,29.92,57996.0,5.9490e+19,3.428e+03,1.478e+00,2.426,1.0000,4.8082e+19,67.30,80.82,2.02,1.1279e+19,31.26,18.96,4.00,1.2890e+17,1.43,0.22,16.04,0.545
100.0,450.000,75.00,50.00,24818.661,24368.661,10.975,171.5,2.756e-01,4.750e-07,54.843,53.784,930.4,1.000e+05,0.000,702.084,162.5,1.503e-01,2.734e-07,0.0,4.319e-07,5.226e-07,4.141e-07,-12.8,9.55,996.6,2883.38,73.8,58.0,91.2,51.5,414.3,0.0,90.6,53.2,504.9,53.2,112.0,56.0,305.67,-21.99,72.52,10.50,99.20,240.92,29.92,57996.0,1.1607e+20,3.383e+03,1.492e+00,2.458,1.0000,9.3594e+19,66.26,80.63,2.02,2.1954e+19,30.78,18.91,4.00,5.2589e+17,2.96,0.45,16.04,0.370
