T_K	p_atm	Z_T_p
100	0.01	0.99982
110	0.01	0.99986
120	0.01	0.99989
130	0.01	0.99991
140	0.01	0.99993
150	0.01	0.99994
160	0.01	0.99995
170	0.01	0.99996
180	0.01	0.99997
190	0.01	0.99997
200	0.01	0.99998
210	0.01	0.99998
220	0.01	0.99999
230	0.01	0.99999
240	0.01	0.99999
250	0.01	0.99999
100	0.10	0.99820
110	0.10	0.99862
120	0.10	0.99892
130	0.10	0.99914
140	0.10	0.99931
150	0.10	0.99944
160	0.10	0.99954
170	0.10	0.99962
180	0.10	0.99969
190	0.10	0.99974
200	0.10	0.99979
210	0.10	0.99982
220	0.10	0.99985
230	0.10	0.99988
240	0.10	0.99990
250	0.10	0.99992
100	0.40	0.99270
110	0.40	0.99440
120	0.40	0.99570
130	0.40	0.99660
140	0.40	0.99720
150	0.40	0.99776
160	0.40	0.99817
170	0.40	0.99850
180	0.40	0.99876
190	0.40	0.99897
200	0.40	0.99915
210	0.40	0.99930
220	0.40	0.99942
230	0.40	0.99952
240	0.40	0.99961
250	0.40	0.99968
100	0.70	0.98700
110	0.70	0.99000
120	0.70	0.99200
130	0.70	0.99400
140	0.70	0.99500
150	0.70	0.99610
160	0.70	0.99680
170	0.70	0.99740
180	0.70	0.99780
190	0.70	0.99820
200	0.70	0.99851
210	0.70	0.99877
220	0.70	0.99898
230	0.70	0.99916
240	0.70	0.99932
250	0.70	0.99945
100	1.00	0.98100
110	1.00	0.98600
120	1.00	0.98900
130	1.00	0.99100
140	1.00	0.99300
150	1.00	0.99440
160	1.00	0.99540
170	1.00	0.99620
180	1.00	0.99690
190	1.00	0.99740
200	1.00	0.99788
210	1.00	0.99824
220	1.00	0.99855
230	1.00	0.99881
240	1.00	0.99902
250	1.00	0.99921
100	4.00	0.90900
110	4.00	0.93900
120	4.00	0.95400
130	4.00	0.96400
140	4.00	0.97200
150	4.00	0.97730
160	4.00	0.98150
170	4.00	0.98480
180	4.00	0.98750
190	4.00	0.98970
200	4.00	0.99150
210	4.00	0.99298
220	4.00	0.99422
230	4.00	0.99525
240	4.00	0.99613
250	4.00	0.99688
