ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
0.0,0.000,22.00,48.00,2575.500,2575.500,1.353,95.7,1.465e+05,5.243e+00,19.956,24.828,203.2,1.465e+05,1.000,0.000,93.3,1.465e+05,5.435e+00,0.0,5.090e+00,5.400e+00,5.305e+00,1.2,2.96,202.0,0.00,-3.5,-6.3,-0.6,-2.4,0.0,0.0,-5.6,-1.0,-5.6,-1.0,7.0,7.0,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1354e+26,2.919e+02,1.478e+00,27.808,0.9763,2.2709e+24,2.62,2.00,36.40,1.0787e+26,95.66,95.00,28.00,3.4063e+24,1.73,3.00,16.00,-999.900
500.0,2.000,22.30,48.50,2577.500,2575.500,1.351,93.7,1.325e+05,4.833e+00,19.961,24.848,200.0,1.465e+05,0.905,2.000,90.5,1.323e+05,5.053e+00,0.0,4.674e+00,4.997e+00,4.985e+00,3.1,3.34,196.9,43.87,-4.4,-7.5,-1.1,-1.4,-0.2,0.0,-3.3,-6.6,-3.5,-6.6,7.3,7.3,137.02,17.73,139.31,18.05,84.07,74.92,9.94,1377648.0,1.0466e+26,2.926e+02,1.459e+00,27.808,0.9787,2.0931e+24,2.62,2.00,36.40,9.9424e+25,95.66,95.00,28.00,3.1397e+24,1.73,3.00,16.00,-999.900
1000.0,4.000,22.60,49.00,2579.500,2575.500,1.349,91.7,1.199e+05,4.457e+00,19.966,24.868,197.0,1.465e+05,0.818,4.000,88.2,1.192e+05,4.667e+00,0.0,4.294e+00,4.626e+00,4.541e+00,1.9,3.73,195.2,43.53,-4.5,-8.0,-0.9,-2.7,-0.4,0.0,-10.2,-9.2,-10.6,-9.2,7.6,7.6,137.02,17.73,139.44,18.03,83.65,74.92,9.94,1377648.0,9.6524e+25,2.933e+02,1.443e+00,27.808,0.9810,1.9305e+24,2.62,2.00,36.40,9.1698e+25,95.66,95.00,28.00,2.8957e+24,1.73,3.00,16.00,-999.900
1500.0,6.000,22.90,49.50,2581.500,2575.500,1.347,89.7,1.085e+05,4.113e+00,19.971,24.888,194.2,1.465e+05,0.740,6.000,86.5,1.071e+05,4.272e+00,0.0,3.948e+00,4.286e+00,4.127e+00,0.3,4.12,193.8,43.20,-3.7,-7.6,0.3,-3.4,-0.7,0.0,-6.9,-7.5,-7.6,-7.5,7.8,7.8,137.02,17.73,139.57,18.00,83.24,74.92,9.94,1377648.0,8.9078e+25,2.940e+02,1.429e+00,27.808,0.9833,1.7816e+24,2.62,2.00,36.40,8.4624e+25,95.66,95.00,28.00,2.6724e+24,1.73,3.00,16.00,-999.900
2000.0,8.000,23.20,50.00,2583.500,2575.500,1.345,87.8,9.805e+04,3.793e+00,18.941,22.957,191.4,1.465e+05,0.669,7.605,84.7,9.610e+04,3.905e+00,0.0,3.626e+00,3.967e+00,3.870e+00,2.0,4.50,189.5,42.76,-2.9,-7.2,1.6,-0.9,-0.7,0.0,-3.3,-3.2,-4.0,-3.2,8.1,8.1,137.02,17.73,139.70,17.98,82.83,74.92,9.94,1377648.0,8.2135e+25,2.946e+02,1.418e+00,27.808,0.9854,1.6427e+24,2.62,2.00,36.40,7.8029e+25,95.66,95.00,28.00,2.4641e+24,1.73,3.00,16.00,-999.900
2500.0,10.000,23.50,50.50,2585.500,2575.500,1.343,86.1,8.824e+04,3.476e+00,18.944,22.961,189.1,1.465e+05,0.602,9.604,83.0,8.607e+04,3.564e+00,0.0,3.310e+00,3.649e+00,3.722e+00,7.1,4.88,182.7,42.25,-2.5,-7.1,2.4,4.4,0.5,0.0,-2.8,-2.3,-2.3,-2.3,8.4,8.4,137.02,17.73,139.83,17.96,82.42,74.92,9.94,1377648.0,7.5268e+25,2.949e+02,1.408e+00,27.808,0.9861,1.5054e+24,2.62,2.00,36.40,7.1505e+25,95.66,95.00,28.00,2.2580e+24,1.73,3.00,16.00,-999.900
3000.0,12.000,23.80,51.00,2587.500,2575.500,1.341,84.5,7.939e+04,3.184e+00,18.352,20.647,187.8,1.465e+05,0.542,11.244,81.6,7.694e+04,3.237e+00,0.0,3.021e+00,3.356e+00,3.391e+00,6.5,5.26,182.0,42.40,-1.6,-6.7,3.7,4.8,1.7,0.0,-2.4,-5.2,-0.7,-5.2,8.7,8.7,137.02,17.73,139.97,17.93,82.01,74.92,9.94,1377648.0,6.8952e+25,2.951e+02,1.414e+00,27.808,0.9869,1.3790e+24,2.62,2.00,36.40,6.5504e+25,95.66,95.00,28.00,2.0686e+24,1.73,3.00,16.00,-999.900
3500.0,14.000,24.10,51.50,2589.500,2575.500,1.339,83.4,7.120e+04,2.890e+00,18.356,20.647,186.6,1.465e+05,0.486,13.243,80.2,6.868e+04,2.933e+00,0.0,2.731e+00,3.057e+00,2.988e+00,3.4,5.64,183.5,42.71,-1.5,-6.9,4.2,1.9,3.3,0.0,-3.7,-7.6,-0.4,-7.6,9.0,9.0,137.02,17.73,140.10,17.91,81.61,74.92,9.94,1377648.0,6.2576e+25,2.954e+02,1.413e+00,27.808,0.9879,1.2515e+24,2.62,2.00,36.40,5.9447e+25,95.66,95.00,28.00,1.8773e+24,1.73,3.00,16.00,-999.900
4000.0,16.000,24.40,52.00,2591.500,2575.500,1.337,82.3,6.386e+04,2.623e+00,18.359,20.647,185.4,1.465e+05,0.436,15.243,78.9,6.120e+04,2.653e+00,0.0,2.470e+00,2.785e+00,2.834e+00,8.0,6.02,178.3,43.03,-1.1,-6.9,5.0,6.8,4.9,0.0,-6.8,2.1,-2.0,2.1,9.2,9.2,137.02,17.73,140.23,17.88,81.20,74.92,9.94,1377648.0,5.6799e+25,2.957e+02,1.411e+00,27.808,0.9889,1.1360e+24,2.62,2.00,36.40,5.3959e+25,95.66,95.00,28.00,1.7040e+24,1.73,3.00,16.00,-999.900
4500.0,18.000,24.70,52.50,2593.500,2575.500,1.335,80.9,5.720e+04,2.388e+00,17.791,22.489,183.7,1.465e+05,0.390,16.732,77.6,5.446e+04,2.396e+00,0.0,2.241e+00,2.546e+00,2.507e+00,5.0,6.40,179.3,43.32,-0.3,-6.5,6.3,4.6,6.4,0.0,-13.3,3.2,-6.9,3.2,9.5,9.5,137.02,17.73,140.36,17.86,80.80,74.92,9.94,1377648.0,5.1725e+25,2.961e+02,1.409e+00,27.808,0.9903,1.0345e+24,2.62,2.00,36.40,4.9139e+25,95.66,95.00,28.00,1.5518e+24,1.73,3.00,16.00,-999.900
