ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
0.0,0.000,22.00,48.00,2575.500,2575.500,1.353,93.9,1.481e+05,5.475e+00,19.903,28.098,199.9,1.481e+05,1.000,-0.000,93.3,1.465e+05,5.435e+00,0.0,5.315e+00,5.639e+00,5.547e+00,1.3,2.96,198.6,0.21,0.7,-2.2,3.8,2.1,0.4,0.0,-5.5,-1.5,-5.1,-1.5,7.0,7.0,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1738e+26,2.880e+02,1.478e+00,27.883,0.9657,2.8359e+24,3.15,2.42,36.40,1.1142e+26,95.32,94.92,28.00,3.1295e+24,1.53,2.67,16.00,0.113
500.0,2.000,22.30,48.50,2577.500,2575.500,1.351,91.2,1.338e+05,5.093e+00,19.495,27.215,195.7,1.481e+05,0.903,1.979,90.5,1.323e+05,5.053e+00,0.0,4.925e+00,5.266e+00,5.110e+00,0.3,3.34,195.4,45.54,0.8,-2.5,4.2,1.1,3.6,0.0,-11.9,-4.9,-8.2,-4.9,7.3,7.3,137.02,17.73,139.31,18.05,84.07,74.92,9.94,1377648.0,1.0916e+26,2.882e+02,1.458e+00,27.885,0.9664,2.6497e+24,3.17,2.43,36.40,1.0361e+26,95.31,94.91,28.00,2.9018e+24,1.53,2.66,16.00,0.116
1000.0,4.000,22.60,49.00,2579.500,2575.500,1.349,88.8,1.206e+05,4.706e+00,19.088,24.293,192.2,1.481e+05,0.814,3.926,88.2,1.192e+05,4.667e+00,0.0,4.533e+00,4.884e+00,4.663e+00,-0.9,3.73,193.1,46.24,0.8,-2.9,4.7,-0.1,6.0,0.0,-8.2,-3.8,-2.2,-3.8,7.6,7.6,137.02,17.73,139.44,18.03,83.65,74.92,9.94,1377648.0,1.0084e+26,2.885e+02,1.442e+00,27.887,0.9675,2.4592e+24,3.18,2.44,36.40,9.5710e+25,95.30,94.91,28.00,2.6728e+24,1.52,2.65,16.00,0.119
1500.0,6.000,22.90,49.50,2581.500,2575.500,1.347,87.1,1.085e+05,4.309e+00,18.765,23.030,189.6,1.482e+05,0.732,5.851,86.5,1.071e+05,4.272e+00,0.0,4.136e+00,4.490e+00,4.344e+00,0.8,4.12,188.9,46.80,0.9,-3.2,5.1,1.7,8.1,0.0,-4.3,-0.1,3.8,-0.1,7.8,7.8,137.02,17.73,139.57,18.00,83.24,74.92,9.94,1377648.0,9.2329e+25,2.889e+02,1.428e+00,27.889,0.9692,2.2621e+24,3.20,2.45,36.40,8.7627e+25,95.29,94.91,28.00,2.4400e+24,1.52,2.64,16.00,0.122
2000.0,8.000,23.20,50.00,2583.500,2575.500,1.345,85.4,9.741e+04,3.942e+00,18.523,22.408,187.1,1.482e+05,0.657,7.775,84.7,9.610e+04,3.905e+00,0.0,3.769e+00,4.124e+00,4.171e+00,5.8,4.50,181.9,47.28,0.9,-3.5,5.6,6.8,10.1,0.0,-3.5,0.3,6.6,0.3,8.1,8.1,137.02,17.73,139.70,17.98,82.83,74.92,9.94,1377648.0,8.4442e+25,2.894e+02,1.417e+00,27.891,0.9707,2.0785e+24,3.21,2.46,36.40,8.0138e+25,95.28,94.90,28.00,2.2250e+24,1.51,2.63,16.00,0.125
2500.0,10.000,23.50,50.50,2585.500,2575.500,1.343,83.7,8.731e+04,3.600e+00,18.209,21.947,184.8,1.483e+05,0.589,9.643,83.0,8.607e+04,3.564e+00,0.0,3.428e+00,3.780e+00,3.789e+00,5.3,4.88,180.1,47.71,1.0,-3.8,6.1,6.3,12.0,0.0,-2.9,-3.0,9.1,-3.0,8.4,8.4,137.02,17.73,139.83,17.96,82.42,74.92,9.94,1377648.0,7.7085e+25,2.898e+02,1.408e+00,27.892,0.9723,1.9062e+24,3.23,2.47,36.40,7.3153e+25,95.27,94.90,28.00,2.0252e+24,1.51,2.63,16.00,0.127
3000.0,12.000,23.80,51.00,2587.500,2575.500,1.341,82.2,7.812e+04,3.272e+00,17.928,20.883,183.8,1.483e+05,0.527,11.493,81.6,7.694e+04,3.237e+00,0.0,3.104e+00,3.448e+00,3.347e+00,2.3,5.26,181.7,48.08,1.1,-4.1,6.5,3.4,13.8,0.0,-4.1,-5.8,9.7,-5.8,8.7,8.7,137.02,17.73,139.97,17.93,82.01,74.92,9.94,1377648.0,7.0043e+25,2.903e+02,1.414e+00,27.894,0.9740,1.7401e+24,3.24,2.48,36.40,6.6468e+25,95.26,94.90,28.00,1.8348e+24,1.50,2.62,16.00,0.130
3500.0,14.000,24.10,51.50,2589.500,2575.500,1.339,80.9,6.978e+04,2.967e+00,17.681,20.410,182.3,1.483e+05,0.470,13.333,80.2,6.868e+04,2.933e+00,0.0,2.804e+00,3.139e+00,3.173e+00,6.9,5.64,176.3,48.42,1.1,-4.4,7.0,8.2,15.5,0.0,-7.1,3.9,8.4,3.9,9.0,9.0,137.02,17.73,140.10,17.91,81.61,74.92,9.94,1377648.0,6.3505e+25,2.908e+02,1.413e+00,27.896,0.9756,1.5850e+24,3.26,2.50,36.40,6.0261e+25,95.25,94.89,28.00,1.6587e+24,1.50,2.61,16.00,0.133
4000.0,16.000,24.40,52.00,2591.500,2575.500,1.337,79.6,6.225e+04,2.686e+00,17.449,20.023,180.8,1.484e+05,0.420,15.157,78.9,6.120e+04,2.653e+00,0.0,2.529e+00,2.852e+00,2.791e+00,3.9,6.02,177.4,48.73,1.2,-4.7,7.5,5.2,17.2,0.0,-13.5,4.6,3.7,4.6,9.2,9.2,137.02,17.73,140.23,17.88,81.20,74.92,9.94,1377648.0,5.7468e+25,2.912e+02,1.411e+00,27.898,0.9772,1.4410e+24,3.27,2.51,36.40,5.4530e+25,95.23,94.89,28.00,1.4967e+24,1.49,2.60,16.00,0.136
4500.0,18.000,24.70,52.50,2593.500,2575.500,1.335,78.3,5.544e+04,2.427e+00,17.220,19.740,179.4,1.484e+05,0.374,16.957,77.6,5.446e+04,2.396e+00,0.0,2.277e+00,2.588e+00,2.370e+00,-2.4,6.40,181.6,49.02,1.3,-5.0,8.0,-1.1,18.8,0.0,-6.1,9.3,12.8,9.3,9.5,9.5,137.02,17.73,140.36,17.86,80.80,74.92,9.94,1377648.0,5.1931e+25,2.917e+02,1.410e+00,27.900,0.9787,1.3082e+24,3.29,2.52,36.40,4.9275e+25,95.22,94.88,28.00,1.3485e+24,1.49,2.60,16.00,0.139
5000.0,20.000,25.00,53.00,2595.500,2575.500,1.333,77.2,4.931e+04,2.188e+00,17.008,19.203,178.2,1.485e+05,0.332,18.746,76.4,4.839e+04,2.158e+00,0.0,2.045e+00,2.341e+00,1.973e+00,-9.8,6.77,187.6,49.27,1.4,-5.3,8.5,-8.6,20.4,0.0,-1.4,3.8,19.0,3.8,9.8,9.8,137.02,17.73,140.49,17.83,80.40,74.92,9.94,1377648.0,4.6796e+25,2.921e+02,1.408e+00,27.902,0.9802,1.1843e+24,3.30,2.53,36.40,4.4400e+25,95.21,94.88,28.00,1.2116e+24,1.48,2.59,16.00,0.141
5500.0,22.000,25.30,53.50,2597.500,2575.500,1.331,76.4,4.380e+04,1.961e+00,16.847,18.194,177.3,1.485e+05,0.295,20.567,75.6,4.295e+04,1.932e+00,0.0,1.826e+00,2.106e+00,1.873e+00,-4.5,7.15,181.4,49.51,1.5,-5.5,9.0,-3.0,22.0,0.0,-3.0,5.5,19.0,5.5,10.1,10.1,137.02,17.73,140.62,17.81,79.99,74.92,9.94,1377648.0,4.1926e+25,2.926e+02,1.408e+00,27.904,0.9819,1.0659e+24,3.32,2.54,36.40,3.9778e+25,95.20,94.88,28.00,1.0824e+24,1.48,2.58,16.00,0.144
6000.0,24.000,25.60,54.00,2599.500,2575.500,1.329,75.3,3.887e+04,1.762e+00,16.692,18.713,176.1,1.485e+05,0.262,22.377,74.5,3.807e+04,1.735e+00,0.0,1.635e+00,1.900e+00,1.670e+00,-5.2,7.52,180.9,49.73,1.6,-5.8,9.5,-3.7,23.5,0.0,-3.7,8.6,19.9,8.6,10.4,10.4,137.02,17.73,140.75,17.78,79.60,74.92,9.94,1377648.0,3.7678e+25,2.929e+02,1.407e+00,27.906,0.9832,9.6233e+23,3.33,2.55,36.40,3.5746e+25,95.19,94.87,28.00,9.6989e+23,1.48,2.57,16.00,0.147
