ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
10.0,500.000,25.00,25.00,3075.500,2575.500,0.949,140.5,1.243e-01,2.955e-06,44.414,47.624,242.6,1.458e+05,0.000,620.667,142.8,1.386e-01,3.245e-06,0.0,2.687e-06,3.251e-06,3.092e-06,4.6,9.55,237.2,0.45,-8.9,-17.2,0.2,-4.7,124.3,0.0,-35.1,-10.6,89.2,-10.6,45.0,45.0,137.02,17.73,220.82,22.95,134.56,74.92,9.94,1377648.0,6.3668e+19,2.994e+02,1.399e+00,27.726,0.9984,8.4287e+17,1.74,1.32,36.40,6.0780e+19,96.41,95.46,28.00,2.0456e+18,1.85,3.21,16.00,-0.060
20.0,500.000,25.00,50.00,3075.500,2575.500,0.949,140.3,1.232e-01,2.932e-06,44.360,47.566,242.5,1.457e+05,0.000,620.289,142.8,1.386e-01,3.245e-06,0.0,2.666e-06,3.226e-06,2.836e-06,-3.3,9.55,246.6,441.60,-9.6,-17.8,-0.6,-12.6,124.3,0.0,-77.8,-38.6,46.5,-38.6,45.0,45.0,137.02,17.73,220.81,0.61,136.33,74.92,9.94,1377648.0,6.3148e+19,2.994e+02,1.399e+00,27.721,0.9983,8.0960e+17,1.68,1.28,36.40,6.0304e+19,96.46,95.50,28.00,2.0344e+18,1.86,3.22,16.00,-0.065
30.0,500.000,25.00,75.00,3075.500,2575.500,0.949,141.5,1.306e-01,3.082e-06,44.711,47.935,243.5,1.461e+05,0.000,622.724,142.8,1.386e-01,3.245e-06,0.0,2.802e-06,3.391e-06,2.922e-06,-5.2,9.55,250.1,441.60,-5.0,-13.6,4.5,-9.9,124.3,0.0,6.8,-2.0,131.1,-2.0,45.0,45.0,137.02,17.73,220.81,2.28,125.82,74.92,9.94,1377648.0,6.6569e+19,2.993e+02,1.400e+00,27.752,0.9990,1.0473e+18,2.06,1.57,36.40,6.3415e+19,96.11,95.26,28.00,2.1070e+18,1.82,3.17,16.00,-0.033
40.0,500.000,50.00,25.00,3075.500,2575.500,0.949,144.0,1.474e-01,3.427e-06,45.394,48.664,245.4,1.471e+05,0.000,627.066,142.8,1.386e-01,3.245e-06,0.0,3.116e-06,3.770e-06,3.644e-06,6.3,9.55,238.0,1112.91,5.6,-4.0,16.2,12.3,106.1,0.0,23.0,28.4,129.1,28.4,45.0,45.0,137.02,17.73,220.81,22.95,110.83,74.92,9.94,1377648.0,7.3921e+19,2.987e+02,1.401e+00,27.822,0.9995,1.5529e+18,2.75,2.10,36.40,7.0182e+19,95.55,94.94,28.00,2.1859e+18,1.70,2.96,16.00,0.048
50.0,500.000,50.00,50.00,3075.500,2575.500,0.949,143.8,1.464e-01,3.408e-06,45.361,48.628,245.3,1.471e+05,0.000,626.877,142.8,1.386e-01,3.245e-06,0.0,3.098e-06,3.749e-06,4.053e-06,18.9,9.55,224.9,313.27,5.0,-4.5,15.5,24.9,106.1,0.0,5.0,9.6,111.1,9.6,45.0,45.0,137.02,17.73,220.81,0.61,111.77,74.92,9.94,1377648.0,7.3537e+19,2.987e+02,1.401e+00,27.818,0.9995,1.5321e+18,2.73,2.08,36.40,6.9819e+19,95.56,94.94,28.00,2.1858e+18,1.71,2.97,16.00,0.043
60.0,500.000,50.00,75.00,3075.500,2575.500,0.949,144.7,1.526e-01,3.535e-06,45.575,48.861,245.9,1.475e+05,0.000,628.093,142.8,1.386e-01,3.245e-06,0.0,3.214e-06,3.889e-06,3.709e-06,4.9,9.55,240.1,313.27,9.0,-0.9,19.9,14.3,106.1,0.0,0.5,-26.3,106.6,-26.3,45.0,45.0,137.02,17.73,220.80,2.28,105.84,74.92,9.94,1377648.0,7.6038e+19,2.984e+02,1.401e+00,27.839,0.9993,1.6706e+18,2.87,2.20,36.40,7.2181e+19,95.47,94.93,28.00,2.1868e+18,1.65,2.88,16.00,0.075
70.0,500.000,75.00,25.00,3075.500,2575.500,0.949,145.6,1.598e-01,3.683e-06,45.816,49.123,246.6,1.480e+05,0.000,629.462,142.8,1.386e-01,3.245e-06,0.0,3.348e-06,4.051e-06,3.470e-06,-5.8,9.55,254.0,738.97,13.5,3.2,24.9,6.9,69.1,0.0,-14.7,-28.5,54.4,-28.5,45.0,45.0,137.02,17.73,220.80,22.95,86.72,74.92,9.94,1377648.0,7.8933e+19,2.981e+02,1.401e+00,27.863,0.9990,1.8397e+18,3.04,2.33,36.40,7.4906e+19,95.36,94.90,28.00,2.1879e+18,1.59,2.77,16.00,0.110
80.0,500.000,75.00,50.00,3075.500,2575.500,0.949,145.4,1.588e-01,3.662e-06,45.782,49.086,246.5,1.480e+05,0.000,629.270,142.8,1.386e-01,3.245e-06,0.0,3.329e-06,4.028e-06,3.970e-06,8.4,9.55,236.7,126.23,12.9,2.6,24.1,22.4,69.1,0.0,-33.9,43.7,35.1,43.7,45.0,45.0,137.02,17.73,220.80,0.61,87.08,74.92,9.94,1377648.0,7.8522e+19,2.982e+02,1.401e+00,27.860,0.9991,1.8151e+18,3.02,2.31,36.40,7.4519e+19,95.38,94.90,28.00,2.1877e+18,1.60,2.79,16.00,0.105
90.0,500.000,75.00,75.00,3075.500,2575.500,0.949,146.3,1.655e-01,3.799e-06,46.001,49.323,247.1,1.484e+05,0.000,630.510,142.8,1.386e-01,3.245e-06,0.0,3.453e-06,4.178e-06,3.810e-06,0.3,9.55,246.7,126.23,17.1,6.4,28.8,17.4,69.1,0.0,-69.4,32.9,-0.3,32.9,45.0,45.0,137.02,17.73,220.79,2.28,84.81,74.92,9.94,1377648.0,8.1208e+19,2.979e+02,1.401e+00,27.881,0.9988,1.9793e+18,3.18,2.44,36.40,7.7040e+19,95.27,94.87,28.00,2.1887e+18,1.55,2.70,16.00,0.137
100.0,450.000,25.00,25.00,3025.500,2575.500,0.981,152.5,3.742e-01,8.199e-06,46.639,50.492,252.7,1.458e+05,0.000,600.364,154.7,4.107e-01,8.876e-06,0.0,7.453e-06,9.019e-06,7.147e-06,-12.8,9.55,270.7,1916.78,-7.6,-16.0,1.6,-19.5,124.3,0.0,36.4,42.8,160.7,42.8,45.0,45.0,137.02,17.73,220.79,22.95,134.57,74.92,9.94,1377648.0,1.7664e+20,2.993e+02,1.399e+00,27.730,0.9984,2.3579e+18,1.75,1.33,36.40,1.6866e+20,96.41,95.48,28.00,5.6212e+18,1.84,3.18,16.00,-0.060
