ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,
0.0,-200.000,22.00,48.00,25274.273,25474.273,8.874,238.9,3.959e+06,5.036e+00,90.698,118.810,1072.7,1.000e+05,39.593,-333.645,238.9,3.959e+06,5.036e+00,0.0,4.937e+00,5.137e+00,5.076e+00,0.8,1.98,1068.5,0.00,0.0,-2.0,2.0,0.8,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,1.1619e+27,3.292e+03,1.464e+00,2.611,1.0336,9.5995e+26,63.92,82.62,2.02,1.7812e+26,23.49,15.33,4.00,2.3819e+25,12.59,2.05,16.04,
500.0,-160.000,22.30,48.50,25312.076,25472.076,8.847,206.1,2.468e+06,3.520e+00,81.355,107.584,1016.9,1.000e+05,24.681,-260.827,206.1,2.468e+06,3.520e+00,0.0,3.451e+00,3.591e+00,3.596e+00,2.2,1.98,1006.1,132.62,0.0,-2.0,2.0,2.2,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,315.14,18.22,75.14,171.92,19.81,62064.0,8.1226e+26,3.402e+03,1.475e+00,2.611,1.0684,6.7109e+26,63.92,82.62,2.02,1.2452e+26,23.49,15.33,4.00,1.6651e+25,12.59,2.05,16.04,
1000.0,-120.000,22.60,49.00,25349.856,25469.856,8.820,173.5,1.438e+06,2.353e+00,67.463,92.049,957.0,1.000e+05,14.383,-179.859,173.5,1.438e+06,2.353e+00,0.0,2.307e+00,2.400e+00,2.360e+00,0.3,1.98,955.6,149.15,0.0,-2.0,2.0,0.3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,312.24,18.45,77.06,171.92,19.81,62064.0,5.4290e+26,3.524e+03,1.498e+00,2.611,1.1066,4.4855e+26,63.92,82.62,2.02,8.3228e+25,23.49,15.33,4.00,1.1129e+25,12.59,2.05,16.04,
1500.0,-80.000,22.90,49.50,25387.614,25467.614,8.794,141.1,7.599e+05,1.488e+00,55.980,80.258,884.5,1.000e+05,7.599,-113.526,141.1,7.599e+05,1.488e+00,0.0,1.459e+00,1.518e+00,1.475e+00,-0.8,1.98,888.2,170.37,0.0,-2.0,2.0,-0.8,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,309.34,18.68,78.95,171.92,19.81,62064.0,3.4333e+26,3.620e+03,1.532e+00,2.611,1.1367,2.8366e+26,63.92,82.62,2.02,5.2632e+25,23.49,15.33,4.00,7.0382e+24,12.59,2.05,16.04,
2000.0,-40.000,23.20,50.00,25425.350,25465.350,8.767,108.9,3.384e+05,8.517e-01,42.339,61.834,791.9,1.000e+05,3.384,-51.609,108.9,3.384e+05,8.517e-01,0.0,8.350e-01,8.687e-01,8.591e-01,0.9,1.98,788.5,198.63,0.0,-2.0,2.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,306.44,18.90,80.79,171.92,19.81,62064.0,1.9657e+26,3.648e+03,1.578e+00,2.611,1.1455,1.6240e+26,63.92,82.62,2.02,3.0134e+25,23.49,15.33,4.00,4.0297e+24,12.59,2.05,16.04,
2500.0,0.000,23.50,50.50,25463.063,25463.063,8.740,76.4,1.000e+05,3.788e-01,31.846,40.061,656.3,1.000e+05,1.000,-0.000,76.4,1.000e+05,3.788e-01,0.0,3.713e-01,3.863e-01,3.928e-01,3.7,1.98,644.5,238.11,0.0,-2.0,2.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,303.54,19.13,82.58,171.92,19.81,62064.0,9.4226e+25,3.456e+03,1.632e+00,2.421,1.0061,7.8998e+25,69.96,83.84,2.02,1.4597e+25,25.60,15.49,4.00,6.3138e+23,4.44,0.67,16.04,
3000.0,40.000,23.80,51.00,25500.755,25460.755,8.714,54.3,2.000e+04,1.031e-01,22.013,23.749,567.7,1.000e+05,0.200,35.429,54.3,2.000e+04,1.031e-01,0.0,9.502e-02,1.119e-01,1.046e-01,1.5,8.17,563.5,630.34,0.0,-7.8,8.5,1.5,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.43,46.51,300.64,19.36,84.33,171.92,19.81,62064.0,2.6644e+25,3.572e+03,1.661e+00,2.330,1.0013,2.2485e+25,73.15,84.39,2.02,4.1564e+24,26.78,15.60,4.00,2.6644e+21,0.07,0.01,16.04,
3500.0,80.000,24.10,51.50,25538.425,25458.425,8.688,55.2,3.170e+03,1.607e-02,22.471,21.418,571.7,1.000e+05,0.032,77.556,55.2,3.170e+03,1.607e-02,0.0,1.398e-02,1.848e-02,1.473e-02,-8.3,14.02,597.2,630.37,0.0,-13.0,15.0,-8.3,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.43,46.51,297.74,19.58,86.01,171.92,19.81,62064.0,4.1541e+24,3.573e+03,1.657e+00,2.330,1.0013,3.5065e+24,73.18,84.41,2.02,6.4721e+23,26.75,15.58,4.00,4.1541e+20,0.07,0.01,16.04,
4000.0,120.000,24.40,52.00,25576.074,25456.074,8.662,64.8,6.320e+02,2.729e-03,26.002,23.507,616.8,1.000e+05,0.006,131.675,64.8,6.320e+02,2.729e-03,0.0,2.392e-03,3.113e-03,3.228e-03,18.3,13.22,567.1,409.03,0.0,-12.4,14.1,18.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,294.84,19.81,87.63,171.92,19.81,62064.0,7.0546e+23,3.574e+03,1.643e+00,2.329,1.0013,5.9562e+23,73.21,84.43,2.02,1.0977e+23,26.72,15.56,4.00,7.0546e+19,0.07,0.01,16.04,
4500.0,160.000,24.70,52.50,25613.701,25453.701,8.636,70.9,1.741e+02,6.837e-04,48.410,38.770,644.9,1.000e+05,0.002,307.571,70.9,1.741e+02,6.837e-04,0.0,6.041e-04,7.738e-04,6.738e-04,-1.5,12.41,649.6,262.45,0.0,-11.6,13.2,-1.5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,291.94,20.04,89.18,171.92,19.81,62064.0,1.7759e+23,3.591e+03,1.634e+00,2.318,1.0013,1.5093e+23,74.05,84.99,2.02,2.6638e+22,25.88,15.00,4.00,1.7759e+19,0.07,0.01,16.04,
5000.0,200.000,25.00,53.00,25651.308,25451.308,8.610,123.5,7.667e+01,1.729e-04,51.475,35.034,829.0,1.000e+05,0.001,369.250,123.5,7.667e+01,1.729e-04,0.0,1.540e-04,1.942e-04,1.468e-04,-15.1,11.60,899.9,242.65,0.0,-10.9,12.3,-15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,289.04,20.26,90.66,171.92,19.81,62064.0,4.4975e+22,3.591e+03,1.550e+00,2.318,1.0013,3.8225e+22,74.05,84.99,2.02,6.7463e+21,25.88,15.00,4.00,4.4975e+18,0.07,0.01,16.04,
5500.0,240.000,25.30,53.50,25688.895,25448.895,8.584,132.3,3.741e+01,7.874e-05,57.205,60.802,854.0,1.000e+05,0.000,451.402,132.3,3.741e+01,7.874e-05,0.0,7.071e-05,8.769e-05,6.055e-05,-23.1,10.78,973.9,225.62,0.0,-10.2,11.4,-23.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,48.43,46.51,286.14,20.49,92.07,171.92,19.81,62064.0,2.0454e+22,3.591e+03,1.535e+00,2.318,1.0013,1.7384e+22,74.05,84.99,2.02,3.0681e+21,25.88,15.00,4.00,2.0454e+18,0.07,0.01,16.04,
6000.0,280.000,25.60,54.00,25726.462,25446.462,8.559,124.6,1.801e+01,4.025e-05,52.536,59.427,832.4,1.000e+05,0.000,452.958,124.6,1.801e+01,4.025e-05,0.0,3.644e-05,4.446e-05,4.024e-05,-0.0,9.96,832.5,210.82,0.0,-9.5,10.5,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,283.24,20.72,93.39,171.92,19.81,62064.0,1.0456e+22,3.591e+03,1.548e+00,2.318,1.0013,8.8865e+21,74.05,84.99,2.02,1.5684e+21,25.88,15.00,4.00,1.0456e+18,0.07,0.01,16.04,
6500.0,320.000,25.90,54.50,25764.008,25444.008,8.533,119.3,8.360e+00,1.951e-05,52.232,55.550,816.9,1.000e+05,0.000,490.427,119.3,8.360e+00,1.951e-05,0.0,1.774e-05,2.146e-05,1.894e-05,-2.9,9.55,829.2,197.84,0.0,-9.1,10.0,-2.9,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,280.34,20.94,94.63,171.92,19.81,62064.0,5.0682e+21,3.591e+03,1.558e+00,2.318,1.0014,4.3075e+21,74.05,84.99,2.02,7.6023e+20,25.88,15.00,4.00,5.0682e+17,0.07,0.01,16.04,
7000.0,360.000,26.20,55.00,25801.535,25441.535,8.508,126.7,3.831e+00,8.423e-06,67.459,52.338,838.2,1.000e+05,0.000,686.042,126.7,3.831e+00,8.423e-06,0.0,7.657e-06,9.265e-06,8.752e-06,3.9,9.55,822.3,194.83,0.0,-9.1,10.0,3.9,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,277.44,21.17,95.78,171.92,19.81,62064.0,2.1881e+21,3.591e+03,1.545e+00,2.318,1.0014,1.8597e+21,74.05,84.99,2.02,3.2822e+20,25.88,15.00,4.00,2.1881e+17,0.07,0.01,16.04,
7500.0,400.000,26.50,55.50,25839.043,25439.043,8.483,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.909e-06,21.6,9.55,810.8,194.82,0.0,-9.1,10.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.43,46.51,274.54,21.40,96.83,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
