ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,HeightAboveSurface_km,SurfaceHeight_km
0.0,0.000,22.00,48.00,6051.800,6051.800,8.870,735.3,9.209e+06,6.479e+01,15.819,19.555,419.0,9.209e+06,1.000,-0.000,735.3,9.209e+06,6.479e+01,0.0,6.352e+01,6.609e+01,6.533e+01,0.8,1.98,417.3,0.05,0.0,-2.0,2.0,0.8,-1.0,-0.1,-0.8,-0.1,-1.8,-0.2,1.0,0.5,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.9819e+26,1.914e+02,1.235e+00,43.440,1.0100,8.6675e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,3.1437e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,0.451,-0.451
500.0,2.000,22.30,48.50,6053.800,6051.800,8.864,720.2,8.109e+06,5.845e+01,15.628,19.290,413.9,9.209e+06,0.881,1.988,720.2,8.109e+06,5.845e+01,0.0,5.730e+01,5.962e+01,5.868e+01,0.4,1.98,413.1,21.48,-0.0,-2.0,2.0,0.4,-3.5,-0.2,-2.1,-0.4,-5.6,-0.6,1.5,0.7,262.54,-2.62,56.57,11.46,26.14,5.86,0.72,10087200.0,8.1030e+26,1.914e+02,1.235e+00,43.440,1.0065,7.8193e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.8360e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,2.442,-0.442
1000.0,4.000,22.60,49.00,6055.800,6051.800,8.858,704.6,7.120e+06,5.262e+01,15.303,18.959,408.6,9.209e+06,0.773,3.937,704.6,7.120e+06,5.262e+01,0.0,5.159e+01,5.367e+01,5.255e+01,-0.1,1.98,408.9,22.08,0.0,-2.0,2.0,-0.1,-5.9,-0.4,-2.2,-0.4,-8.1,-0.9,1.9,1.0,262.55,-2.62,56.55,11.50,26.27,5.86,0.72,10087200.0,7.2947e+26,1.914e+02,1.234e+00,43.440,1.0034,7.0394e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.5532e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,4.419,-0.419
1500.0,6.000,22.90,49.50,6057.800,6051.800,8.853,688.8,6.234e+06,4.724e+01,14.942,18.457,403.5,9.209e+06,0.677,5.830,688.8,6.234e+06,4.724e+01,0.0,4.631e+01,4.818e+01,4.746e+01,0.5,1.98,402.6,22.70,0.0,-2.0,2.0,0.5,-8.4,-0.6,-1.9,-0.1,-10.3,-0.7,2.4,1.2,262.56,-2.62,56.54,11.53,26.42,5.85,0.72,10087200.0,6.5489e+26,1.914e+02,1.234e+00,43.440,1.0010,6.3197e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.2921e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,6.422,-0.422
2000.0,8.000,23.20,50.00,6059.800,6051.800,8.847,673.6,5.443e+06,4.226e+01,14.614,17.744,398.6,9.209e+06,0.591,7.685,673.6,5.443e+06,4.226e+01,0.0,4.143e+01,4.311e+01,4.313e+01,2.1,1.98,394.6,23.36,-0.0,-2.0,2.0,2.1,-10.9,-0.8,-2.0,-0.1,-12.8,-0.8,2.9,1.4,262.57,-2.62,56.52,11.57,26.59,5.85,0.72,10087200.0,5.8585e+26,1.914e+02,1.234e+00,43.440,0.9990,5.6535e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.0505e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,8.426,-0.426
2500.0,10.000,23.50,50.50,6061.800,6051.800,8.841,658.2,4.739e+06,3.772e+01,14.343,17.410,393.7,9.209e+06,0.515,9.529,658.2,4.739e+06,3.772e+01,0.0,3.698e+01,3.847e+01,3.844e+01,1.9,1.98,390.0,24.04,-0.0,-2.0,2.0,1.9,-13.3,-0.9,-2.1,-0.6,-15.4,-1.5,3.3,1.7,262.58,-2.62,56.50,11.60,26.76,5.85,0.72,10087200.0,5.2291e+26,1.914e+02,1.234e+00,43.440,0.9973,5.0461e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,1.8302e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,10.440,-0.440
3000.0,12.000,23.80,51.00,6063.800,6051.800,8.835,643.2,4.112e+06,3.354e+01,14.028,16.936,388.9,9.209e+06,0.446,11.312,643.2,4.112e+06,3.354e+01,0.0,3.288e+01,3.421e+01,3.390e+01,1.1,1.98,386.8,24.76,-0.0,-2.0,2.0,1.1,-15.8,-1.0,-2.7,-1.1,-18.4,-2.2,3.8,1.9,262.59,-2.62,56.48,11.63,26.95,5.85,0.72,10087200.0,4.6497e+26,1.914e+02,1.234e+00,43.440,0.9958,4.4869e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,1.6274e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,12.403,-0.403
3500.0,14.000,24.10,51.50,6065.800,6051.800,8.829,628.1,3.557e+06,2.974e+01,13.721,16.484,384.2,9.209e+06,0.386,13.053,628.1,3.557e+06,2.974e+01,0.0,2.916e+01,3.033e+01,3.042e+01,2.3,1.98,379.9,25.52,0.0,-2.0,2.0,2.3,-18.2,-1.2,-4.0,0.4,-22.3,-0.7,4.3,2.1,262.60,-2.62,56.46,11.67,27.15,5.85,0.72,10087200.0,4.1229e+26,1.914e+02,1.234e+00,43.440,0.9949,3.9786e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,1.4430e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,14.329,-0.329
4000.0,16.000,24.40,52.00,6067.800,6051.800,8.823,613.3,3.066e+06,2.627e+01,13.433,16.132,379.6,9.209e+06,0.333,14.772,613.3,3.066e+06,2.627e+01,0.0,2.575e+01,2.680e+01,2.667e+01,1.5,1.98,376.7,26.31,-0.0,-2.0,2.0,1.5,-20.7,-1.3,-7.0,0.7,-27.7,-0.6,4.7,2.4,262.61,-2.62,56.45,11.70,27.36,5.85,0.72,10087200.0,3.6418e+26,1.914e+02,1.234e+00,43.440,0.9944,3.5144e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,1.2746e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,16.380,-0.380
4500.0,18.000,24.70,52.50,6069.800,6051.800,8.818,597.1,2.633e+06,2.318e+01,13.075,15.948,374.6,9.209e+06,0.286,16.372,597.1,2.633e+06,2.318e+01,0.0,2.273e+01,2.364e+01,2.317e+01,-0.1,1.98,374.7,27.14,0.0,-2.0,2.0,-0.1,-23.1,-1.3,-4.7,1.9,-27.8,0.5,5.2,2.6,262.62,-2.62,56.43,11.74,27.58,5.85,0.72,10087200.0,3.2135e+26,1.914e+02,1.235e+00,43.440,0.9939,3.1010e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,1.1247e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,18.288,-0.288
