degree,order,C,S
0,0,0,0
1,0,0,0
1,1,0,0
2,0,-4.8416945732000E-04,0.0000000000000E+00
2,1,-3.1034310672386E-10,1.4107575094423E-09
2,2,2.4393734159398E-06,-1.4002940118364E-06
3,0,9.5716475834116E-07,0.0000000000000E+00
3,1,2.0304466371688E-06,2.4824063468478E-07
3,2,9.0476467441002E-07,-6.1900662463325E-07
3,3,7.2128525517036E-07,1.4144000651650E-06
4,0,5.3998153921365E-07,0.0000000000000E+00
4,1,-5.3618081337028E-07,-4.7357697696907E-07
4,2,3.5049214427031E-07,6.6250516574391E-07
4,3,9.9086103111508E-07,-2.0095089980582E-07
4,4,-1.8849242252755E-07,3.0881857855702E-07
5,0,6.8650323458391E-08,0.0000000000000E+00
5,1,-6.2914579409678E-08,-9.4342598600045E-08
5,2,6.5205860316915E-07,-3.2334307981429E-07
5,3,-4.5183137844644E-07,-2.1494236736021E-07
5,4,-2.9532340917041E-07,4.9810578844048E-08
5,5,1.7481435046942E-07,-6.6935467701596E-07
6,0,-1.4997605610883E-07,0.0000000000000E+00
6,1,-7.5943265879397E-08,2.6525683249700E-08
6,2,4.8635603179946E-08,-3.7376947326560E-07
6,3,5.7251326495652E-08,8.9731654074799E-09
6,4,-8.5996937469007E-08,-4.7142652438675E-07
6,5,-2.6716319362048E-07,-5.3649603802896E-07
6,6,9.4799107163032E-09,-2.3738360514414E-07
7,0,9.0500819789642E-08,0.0000000000000E+00
7,1,2.8088622262423E-07,9.5159759814302E-08
7,2,3.3039550420017E-07,9.3020287728326E-08
7,3,2.5046335396041E-07,-2.1709707579017E-07
7,4,-2.7498638931989E-07,-1.2405070527179E-07
7,5,1.6469638664557E-09,1.7930957773652E-08
7,6,-3.5879864059130E-07,1.5179288962731E-07
7,7,1.5230586682001E-09,2.4103042687242E-08
8,0,4.9478326949545E-08,0.0000000000000E+00
8,1,2.3140759375679E-08,5.8905000941228E-08
8,2,8.0020451775005E-08,6.5300088951785E-08
8,3,-1.9359078476200E-08,-8.5941592936614E-08
8,4,-2.4434458705958E-07,6.9812156090700E-08
8,5,-2.5701616796151E-08,8.9205635687968E-08
8,6,-6.5971100477032E-08,3.0894511043496E-07
8,7,6.7256526485194E-08,7.4864353638378E-08
8,8,-1.2403256812475E-07,1.2054023904735E-07
9,0,2.8022721711668E-08,0.0000000000000E+00
9,1,1.4214925632662E-07,2.1415689169158E-08
9,2,2.1411871093739E-08,-3.1680177946272E-08
9,3,-1.6060220449404E-07,-7.4250161337509E-08
9,4,-9.3492553818025E-09,1.9898624014305E-08
9,5,-1.6315077786051E-08,-5.4043600040799E-08
9,6,6.2784132964798E-08,2.2296366358079E-07
9,7,-1.1798115451725E-07,-9.6920684034663E-08
9,8,1.8813248989960E-07,-3.0019794719453E-09
9,9,-4.7558362699944E-08,9.6876870006845E-08
10,0,5.3345275002101E-08,0.0000000000000E+00
10,1,8.3753701278788E-08,-1.3109438169724E-07
10,2,-9.3977781512067E-08,-5.1264999905428E-08
10,3,-6.9910538916696E-09,-1.5412815968052E-07
10,4,-8.4459158980573E-08,-7.9023911359757E-08
10,5,-4.9285509081565E-08,-5.0617431292160E-08
10,6,-3.7586959404344E-08,-7.9771481050624E-08
10,7,8.2571270822778E-09,-3.0490009250716E-09
10,8,4.0589757557591E-08,-9.1710645675513E-08
10,9,1.2538547435906E-07,-3.7942358311393E-08
10,10,1.0042327725658E-07,-2.3863826960514E-08
11,0,-5.0764958681880E-08,0.0000000000000E+00
11,1,1.5614437030145E-08,-2.7121105832504E-08
11,2,2.0113728808692E-08,-9.8987849076262E-08
11,3,-3.0570914506599E-08,-1.4883199571509E-07
11,4,-3.7940760802265E-08,-6.3766548911161E-08
