degree,order,C,S
0, 0, 0.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
2,0,-0.000875919760273,0.0
2,1,1.32033468405e-8,6.75285290457e-10
2,2,-8.43122022711e-5,4.9678532969e-5
3,0,-1.19340679166e-5,0.0
3,1,3.86567700057e-6,2.5277424765e-5
3,2,-1.59257903505e-5,8.46687289437e-6
3,3,3.54141266874e-5,2.51996626619e-5
4,0,5.15052493229e-6,0.0
4,1,4.23920765688e-6,3.74755584188e-6
4,2,-1.11646822443e-6,-8.9633909683e-6
4,3,6.51418723273e-6,-2.72352421181e-7
4,4,1.13002982991e-7,-1.28953895406e-5
5,0,-1.82402897065e-6,0.0
5,1,4.83319737757e-7,2.09711155235e-6
5,2,-4.24950879878e-6,-1.22480912838e-6
5,3,3.30314698123e-6,2.54191256762e-7
5,4,-4.68758582735e-6,-3.32592263843e-6
5,5,-4.42180487607e-6,3.83605422433e-6
6,0,1.45665966143e-6,0.0
6,1,1.89292146731e-6,-1.62575855711e-6
6,2,9.52881708647e-7,1.61247203944e-6
6,3,9.51313518098e-7,2.44050571795e-7
6,4,1.03496966548e-6,2.65185330216e-6
6,5,1.78175240614e-6,1.62897120977e-6
6,6,2.78529844665e-6,7.85346403849e-7
7,0,8.40128810448e-7,0.0
7,1,1.14392658047e-6,-1.2142471513e-7
7,2,2.79913674214e-6,-7.31916050571e-7
7,3,8.40389648008e-7,-4.23723215581e-7
7,4,2.39819519371e-6,-5.25983697776e-7
7,5,-3.08772049354e-7,-1.33474272819e-6
7,6,-5.72301952896e-7,-1.93627126643e-6
7,7,4.1919854805e-7,-1.77122313587e-6
8,0,4.98316049196e-7,0.0
8,1,2.02856025184e-7,6.26151101085e-7
8,2,1.6675997281e-6,6.59128506006e-7
8,3,-1.08712385793e-6,-1.32729727828e-6
8,4,1.6265110142e-6,4.15430115159e-8
8,5,-2.79554256497e-6,-1.62629432881e-6
8,6,-1.00692473264e-6,-1.76741453509e-6
8,7,-4.937090632e-7,1.65618103486e-6
8,8,-3.06068555105e-7,-2.63871691654e-7
9,0,-7.38627001499e-7,0.0
9,1,1.40363590542e-8,-2.07516804135e-7
9,2,1.19844490144e-6,1.54699271725e-7
9,3,-1.1677324749e-6,-8.94217268137e-7
9,4,4.03772948857e-7,1.69654071153e-6
9,5,-2.37146990403e-6,-1.50668977275e-6
9,6,8.90911573225e-7,5.67620690171e-7
9,7,-5.44184128735e-7,9.27288769489e-7
9,8,1.19623090937e-6,-1.76326258378e-7
9,9,-1.22398213822e-6,-6.21796126516e-7
10,0,1.37778585004e-6,0.0
10,1,1.587864451e-6,-2.55763576813e-7
10,2,-4.9183652397e-8,-9.79693910877e-7
10,3,-2.79738766054e-8,3.21517077932e-7
10,4,-1.21444932529e-6,-3.39009651008e-8
10,5,4.88010771436e-7,-8.16604192291e-7
10,6,5.24197094579e-7,1.13698897944e-6
10,7,2.41893048541e-7,-7.11182999553e-7
10,8,5.42076876382e-7,8.10443071435e-7
10,9,-1.57547419097e-6,-1.4585346112e-6
10,10,-2.14668677035e-7,8.04047386684e-7
11,0,-8.99843993543e-7,0.0
11,1,-1.70391788843e-6,2.35974580489e-7
11,2,-3.17420358984e-7,-1.11161454012e-6
11,3,-1.78089770929e-6,8.74697152544e-7
11,4,-1.6842800346e-6,-5.26974890309e-7
11,5,9.84946718174e-7,4.99118792403e-7
11,6,-3.95888790094e-8,1.35573601986e-8
11,7,8.65932712067e-7,-8.8352192459e-7
11,8,-1.10468186687e-6,8.2847043161e-7
11,9,-3.53118514737e-7,-3.90369703823e-7
11,10,4.02555992455e-7,1.91273007238e-6
11,11,-1.98478684681e-9,-3.51770949067e-7
12,0,9.6560412465e-7,0.0
12,1,-3.20515084591e-7,-5.43883615163e-7
12,2,-2.29519671147e-7,8.03027109797e-7
12,3,-9.34916884252e-7,1.59409607358e-7
12,4,-2.08603920375e-7,-8.80100786557e-8
12,5,1.30881403739e-6,1.40562434295e-6
12,6,-6.73178251723e-7,-1.57083494651e-6
12,7,2.94517324548e-7,-1.58228247144e-7
12,8,-1.70226706506e-6,-3.96452890201e-7
12,9,8.03475989972e-7,4.89987802063e-7
12,10,5.38936243709e-7,1.4378981366e-6
12,11,7.50453836744e-7,-1.56253193668e-6
12,12,-1.08426942456e-8,-1.27625689215e-7
13,0,-8.79642981649e-7,0.0
13,1,-1.16157654916e-6,7.27165007562e-7
13,2,1.99407129798e-7,6.30766606326e-7
13,3,-1.70311035197e-7,5.28329437565e-7
13,4,3.57488299225e-7,8.34269150794e-7
13,5,-6.71824456273e-7,-9.08788212065e-7
13,6,3.29946959489e-7,-9.36227671576e-7
13,7,-5.45945058714e-7,5.40894350996e-7
13,8,-1.21383633822e-8,9.0094561744e-8
13,9,1.01806453979e-6,9.2504709717e-7
13,10,-8.32276152927e-8,-7.40625789546e-7
13,11,8.18834052946e-7,-9.31654872731e-7
13,12,-1.48613779707e-6,-3.37593775696e-7
13,13,4.90423074112e-7,8.54388138909e-7
14,0,6.98734778005e-7,0.0
14,1,1.13989065748e-6,8.36423389669e-8
14,2,3.96567859225e-7,-3.59163227676e-7
14,3,7.38029261652e-7,-5.89776024107e-7
14,4,-6.47584810251e-8,-9.53646259357e-7
14,5,3.77631492911e-7,-4.60961663349e-7
14,6,-3.91009963432e-7,-6.16404002178e-9
14,7,-8.80650788852e-7,2.35999415324e-7
14,8,5.66476205161e-7,3.68440967706e-7
14,9,2.15580122913e-7,9.18463769687e-7
14,10,-2.46156756021e-7,-1.44208991596e-6
14,11,-8.89384049227e-7,1.86652043336e-7
14,12,-4.93568496043e-7,-3.61271637182e-7
14,13,9.43509653845e-7,1.98378324659e-6
14,14,-2.510350464e-8,-7.69520740452e-7
15,0,5.44256504521e-7,0.0
15,1,4.88368237627e-8,2.75000436214e-7
15,2,-4.19940952223e-7,-8.49436935494e-7
15,3,-8.23808468326e-7,-1.45805804443e-7
15,4,-6.8409278797e-7,-7.93343028438e-7
15,5,-1.63033075959e-6,-6.9843050502e-7
15,6,6.78254672503e-8,5.48702265549e-7
15,7,1.28844302331e-6,2.01934767012e-7
15,8,1.37560156395e-6,4.64014346899e-7
15,9,-3.08309543225e-7,-3.43280470537e-7
15,10,-5.00474142466e-8,-4.14256218027e-7
15,11,-9.15004242739e-7,6.57490101043e-7
15,12,9.98051437998e-7,7.18425107319e-7
15,13,-1.95265947211e-8,6.97130989896e-7
15,14,8.95354479261e-8,-1.37359167723e-6
15,15,-3.91904000704e-7,1.09654629833e-7
16,0,7.92720657847e-7,0.0
16,1,-1.46571435746e-7,-4.77986185031e-7
16,2,-4.33836125172e-7,-9.19322035075e-8
16,3,-5.19790674538e-7,2.42960922398e-7
16,4,-8.95459018679e-7,4.87610238224e-8
16,5,2.07154561401e-7,6.95889305395e-7
16,6,2.31431903769e-7,1.58964017471e-7
16,7,2.12340362835e-7,2.60260981808e-7
16,8,6.97327537499e-8,3.20004929138e-7
16,9,-2.16269107129e-7,-1.06535994156e-6
16,10,-5.9008608326e-7,4.71477806049e-7
16,11,1.03927336356e-8,-4.61287564577e-7
16,12,4.95660177889e-7,7.243102223e-7
16,13,9.73226327861e-8,-6.69496615132e-7
16,14,-1.34954321144e-7,-8.52703354341e-7
16,15,-7.63923621211e-7,3.78793945791e-7
16,16,2.68136244954e-7,6.60883051773e-8
17,0,3.03213778972e-7,0.0
17,1,-1.23950773795e-7,-8.96138796426e-7
17,2,-5.75083834744e-8,1.75431492233e-7
17,3,6.75910579289e-8,1.37156850402e-7
17,4,5.3121315909e-7,4.44608364231e-8
17,5,5.50656672744e-7,3.43988054121e-7
17,6,7.31597068633e-7,-1.71166237196e-7
17,7,5.82069037722e-7,-3.55753253276e-7
17,8,-1.33069952097e-7,-2.47800691498e-7
17,9,-1.8107689019e-7,-1.22229108397e-7
17,10,-3.30881739744e-7,9.29014764021e-8
17,11,3.15594769386e-7,6.65056302759e-8
17,12,1.38703833636e-7,-3.75237631283e-8
17,13,-4.88897282836e-7,-6.25081651348e-7
17,14,-3.57791610917e-7,-4.10466832147e-7
17,15,-3.55862049163e-7,5.27713352294e-7
17,16,1.13093899119e-6,5.51896091938e-7
17,17,1.07900030599e-7,3.37819418165e-7
18,0,-3.03014626246e-7,0.0
18,1,-3.22427941902e-7,-1.44897429561e-7
18,2,-1.65489642279e-7,1.67583953054e-7
18,3,-4.50575862365e-7,-4.19319303612e-7
18,4,7.7040958836e-7,3.04994712822e-7
18,5,2.72471868479e-7,-7.0592927209e-7
18,6,1.12051106108e-7,-6.0305796568e-7
18,7,-2.6728098673e-7,1.94696920755e-8
18,8,-5.32667333492e-8,-2.42325288245e-7
18,9,-3.58834867726e-8,2.27445226011e-7
18,10,5.33629785189e-7,2.02164550127e-7
18,11,3.84435187578e-7,-2.34774677542e-7
18,12,5.71854379548e-8,-4.11966907665e-8
18,13,-3.48626956925e-7,-1.75292734906e-7
18,14,-4.99804087016e-7,2.16699040696e-7
18,15,3.47930744287e-7,7.73084195293e-7
18,16,4.24628349724e-7,1.55954545416e-7
18,17,-1.60225561358e-7,-1.08249638128e-6
