RANK 0
N Nodes 40
Namespace(algo='dqn', batch_size=256, checkpoint_freq=1000, continuetraining=0, data_dir='data/', discount=0.95, ent_coef=0.1, env='Aerobraking', eps_decay=5000, initialrank=0, load='', log='log.txt', lr=0.0001, niter=1000000, nominal=0, nproc=1, ntest=100, output='NN', parallel_env=1, phase='Main', print_freq=200, replay_size=50000, replaycreation=0, save_dir='breakout/', sim=0, target_update=10000, test=0, train_freq=5, train_start=10000, value_coef=0.5)
running on device cuda
-- Start Training --
iter     31 |rank    11 |loss    nan |n_ep     1 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    0.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     1 | num_outdragpassage     0 |no_reached_goal     0 | distance_goal 5914.48 |days_mission   0.39  |deltav   0.00 |time 00:34 rem 310:1480 |heatrate [0.253, 0.288] |actions [6, 6] |ra [10037.124, 9931.396, 9814.477] |hp [108.723, 108.661] |omega [61.29, 61.14] |corridor maneuver     0
iter     37 |rank    34 |loss    nan |n_ep     2 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     1 | num_outdragpassage     1 |no_reached_goal     0 | distance_goal 6118.21 |days_mission   0.39  |deltav   0.20 |time 00:35 rem 265:3248 |heatrate [0.036, 0.023] |actions [6, 9] |ra [10036.358, 10025.121, 10018.211] |hp [114.917, 116.17] |omega [84.72, 84.57] |corridor maneuver     0
iter     42 |rank    35 |loss    nan |n_ep     3 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     1 | num_outdragpassage     2 |no_reached_goal     0 | distance_goal 6113.45 |days_mission   0.39  |deltav   0.05 |time 00:35 rem 236:592 |heatrate [0.035, 0.034] |actions [6, 7] |ra [10037.252, 10025.524, 10013.45] |hp [113.012, 113.298] |omega [75.4, 75.24] |corridor maneuver     0
iter     47 |rank    30 |loss    nan |n_ep     4 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     1 | num_outdragpassage     3 |no_reached_goal     0 | distance_goal 6113.51 |days_mission   0.39  |deltav   0.05 |time 00:36 rem 214:1809 |heatrate [0.049, 0.038] |actions [6, 5] |ra [10040.442, 10024.505, 10013.507] |hp [112.771, 112.428] |omega [75.17, 75.02] |corridor maneuver     0
iter     51 |rank    12 |loss    nan |n_ep     5 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     1 | num_outdragpassage     4 |no_reached_goal     0 | distance_goal 6114.97 |days_mission   0.39  |deltav   0.10 |time 00:37 rem 202:1240 |heatrate [0.036, 0.031] |actions [6, 4] |ra [10036.452, 10024.908, 10014.97] |hp [112.892, 112.244] |omega [83.19, 83.04] |corridor maneuver     0
iter     53 |rank     2 |loss    nan |n_ep     6 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     1 | num_outdragpassage     5 |no_reached_goal     0 | distance_goal 6112.37 |days_mission   0.39  |deltav   0.20 |time 00:37 rem 195:1910 |heatrate [0.026, 0.041] |actions [6, 3] |ra [10039.577, 10029.649, 10012.372] |hp [113.595, 112.309] |omega [79.68, 79.53] |corridor maneuver     0
iter     54 |rank     9 |loss    nan |n_ep     7 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     1 | num_outdragpassage     6 |no_reached_goal     0 | distance_goal 6115.13 |days_mission   0.39  |deltav   0.50 |time 00:37 rem 193:128 |heatrate [0.046, 0.027] |actions [6, 11] |ra [10038.18, 10024.493, 10015.127] |hp [111.805, 114.916] |omega [76.33, 76.19] |corridor maneuver     0
iter     55 |rank    28 |loss    nan |n_ep     8 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage     6 |no_reached_goal     0 | distance_goal 5987.51 |days_mission   0.39  |deltav   1.00 |time 00:37 rem 190:1098 |heatrate [0.123, 0.253] |actions [6, 0] |ra [10036.606, 9981.663, 9887.511] |hp [110.552, 104.254] |omega [65.99, 65.86] |corridor maneuver     0
iter     56 |rank    36 |loss    nan |n_ep     9 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage     7 |no_reached_goal     0 | distance_goal 6117.00 |days_mission   0.39  |deltav   0.05 |time 00:38 rem 189:282 |heatrate [0.025, 0.019] |actions [6, 7] |ra [10036.44, 10024.951, 10017.002] |hp [113.305, 113.601] |omega [80.55, 80.39] |corridor maneuver     0
iter     57 |rank    39 |loss    nan |n_ep    10 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage     8 |no_reached_goal     0 | distance_goal 6119.71 |days_mission   0.39  |deltav   1.00 |time 00:38 rem 186:2599 |heatrate [0.045, 0.012] |actions [6, 12] |ra [10037.553, 10024.371, 10019.706] |hp [114.685, 120.982] |omega [82.41, 82.27] |corridor maneuver     0
iter     58 |rank    31 |loss    nan |n_ep    11 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage     9 |no_reached_goal     0 | distance_goal 6113.90 |days_mission   0.39  |deltav   0.50 |time 00:38 rem 183:2437 |heatrate [0.046, 0.03] |actions [6, 11] |ra [10039.277, 10023.641, 10013.896] |hp [112.904, 116.024] |omega [77.87, 77.73] |corridor maneuver     0
iter     63 |rank    33 |loss    nan |n_ep    12 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    10 |no_reached_goal     0 | distance_goal 6120.02 |days_mission   0.39  |deltav   0.30 |time 00:38 rem 171:941 |heatrate [0.028, 0.025] |actions [6, 2] |ra [10037.47, 10028.175, 10020.019] |hp [113.366, 111.458] |omega [86.65, 86.5] |corridor maneuver     0
iter     72 |rank     4 |loss    nan |n_ep    13 |ep_len    3.0 |ep_rew  -4.10 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    11 |no_reached_goal     0 | distance_goal 6082.62 |days_mission   0.58  |deltav   0.10 |time 00:54 rem 208:2892 |heatrate [0.057, 0.052, 0.038] |actions [6, 6, 8] |ra [10035.828, 10014.814, 9995.514, 9982.625] |hp [113.541, 113.505, 114.103] |omega [69.68, 69.53, 69.38] |corridor maneuver     0
