# gravity_harmonics_source_metadata_v1
# source_model: LP165P (Moon, degree/order 165x165)
# reference_radius_m: 1738000.0
# gm_m3s2: 4.90280105600000e12
# normalization: fully_normalized
# citation: Konopliv, A.S., Asmar, S.W., Carranza, E., Sjogren, W.L., Yuan, D.N. (2001), "Recent gravity models as a result of the lunar prospector mission," Icarus, 150, 1-18, doi:10.1006/icar.2000.6573.
# origin: GMAT R2022a data/gravity/luna/LP165P.cof POTFIELD header line ("POTFIELD165165 0 4.90280105600000e+12 1.73800000000000e+06"); coefficient values below verified byte-for-byte against this file's RECOEF rows.
degree,order,C,S
0, 0, 0.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
2,0,-9.08901807506e-05,0.0
2,1,-2.72203236159e-09,-7.57518292083e-10
2,2,3.46354993722e-05,1.67294905383e-08
3,0,-3.2035914003e-06,0.0
3,1,2.63274401218e-05,5.46436308982e-06
3,2,1.41881793294e-05,4.89203650048e-06
3,3,1.22860589447e-05,-1.78544808164e-06
4,0,3.19730957172e-06,0.0
4,1,-5.99660183015e-06,1.66193451947e-06
4,2,-7.08180692697e-06,-6.78362717269e-06
4,3,-1.36229833813e-06,-1.34434722871e-05
4,4,-6.02577873583e-06,3.93963719538e-06
5,0,-2.15703820682e-07,0.0
5,1,-1.01919565376e-06,-4.10925415073e-06
5,2,4.37660811497e-06,1.08409976988e-06
5,3,4.49776787595e-07,8.70084120862e-06
5,4,2.78342413603e-06,5.9388023933e-08
5,5,3.11962589377e-06,-2.76096627196e-06
6,0,3.76578061866e-06,0.0
6,1,1.53198439389e-06,-2.57660063976e-06
6,2,-4.35221812323e-06,-2.18744801522e-06
6,3,-3.2700516346e-06,-3.46914302843e-06
6,4,3.69782185786e-07,-4.0688106563e-06
6,5,1.40447461835e-06,-1.03317018897e-05
6,6,-4.70430108546e-06,7.23600881351e-06
7,0,5.62221178728e-06,0.0
7,1,7.55225923445e-06,-1.29652220233e-07
7,2,-6.6319483616e-07,2.38478906716e-06
7,3,5.82678799477e-07,2.3557722607e-06
7,4,-9.2662653013e-07,7.91573654661e-07
7,5,-2.7194779737e-07,1.12687787884e-06
7,6,-9.92885724133999e-07,1.10795486684e-06
7,7,-1.78846608865e-06,-1.61650710716e-06
8,0,2.34649968012e-06,0.0
8,1,-6.08898121792e-08,1.11254486148e-06
8,2,2.99477787799e-06,1.92583247584e-06
8,3,-1.88001218115e-06,9.5358255051e-07
8,4,3.37351972159e-06,-4.56056539569e-07
8,5,-1.12527271732e-06,2.92571495319e-06
8,6,-1.54330144128e-06,-2.24818427111e-06
8,7,-1.59146518001e-06,3.22209097255e-06
8,8,-2.53069725912e-06,2.14062002356e-06
9,0,-3.55503382956e-06,0.0
9,1,1.98042567346e-06,7.89637203083e-08
9,2,1.99102832482e-06,-1.44922114413e-06
9,3,-2.01862123989e-06,2.23405735036e-06
9,4,-1.89593435883e-06,-1.38506450205e-06
9,5,-1.48456905375e-06,-3.69932430318e-06
9,6,-2.27819988888e-06,-3.07152733434e-06
9,7,-4.06670100794e-06,1.11243801533e-07
9,8,-1.24179221195e-06,-2.12897536378e-06
9,9,-8.97292665136e-07,2.4579732741e-06
10,0,-9.31140733266e-07,0.0
10,1,8.16065299107e-07,-9.87254265405999e-07
10,2,2.41161683223e-07,-2.69373105755e-07
10,3,3.96561395009e-07,7.64482048093e-07
10,4,-3.57128958148e-06,1.54513294724e-06
10,5,7.25895150091e-07,-3.68651602993e-07
10,6,-1.95949635729e-07,-1.81904041042e-06
10,7,-3.83846607353e-06,-8.05290237315e-07
10,8,-3.4110179729e-06,2.58253419811e-06
10,9,-4.78578313807e-06,-1.2252439468e-07
10,10,9.23892901638e-07,-1.70212857405e-06
11,0,-9.75331816737999e-07,0.0
11,1,-1.20379965208e-07,6.17326666727e-07
11,2,7.42622610946e-07,-1.94268616733e-06
11,3,4.25722070997e-07,7.90962992176e-07
11,4,-9.53967643443e-07,2.13097112469e-06
11,5,1.52491349291e-07,2.5614920607e-06
11,6,4.86521468167e-07,-1.35911633355e-06
11,7,-7.13997051072e-08,-3.1627003132e-06
11,8,-2.23313453844e-06,-4.71314278416e-07
11,9,-2.43526007803e-06,4.90420954597e-07
11,10,-4.70693285442e-06,-1.47309926788e-07
11,11,-2.88998206386e-06,-1.74075254234e-06
12,0,-1.9373983442e-06,0.0
12,1,-5.84028132897e-07,1.60080341535e-06
12,2,-1.55975690725e-07,1.50749247318e-06
12,3,8.17623297829e-07,-4.01658632274e-06
12,4,9.20010565475e-07,-5.11684036237e-07
12,5,-1.61329157674e-07,8.52711076897e-07
12,6,8.66382695783e-07,6.9623757769e-07
12,7,2.17771987646e-06,-8.59420497801e-07
12,8,4.64482252287e-07,-1.93126686899e-06
12,9,-1.27569970906e-06,1.09926456992e-06
12,10,-3.05183260909e-06,-1.40786733381e-06
12,11,-8.82018595378e-07,-2.93868359732e-07
12,12,3.241211015e-07,1.22066277171e-06
13,0,2.72114156142e-07,0.0
13,1,1.12437462763e-06,-1.05212081549e-07
13,2,-3.52502306947e-06,5.10279404379e-07
13,3,-3.150182721e-07,-1.47972366033e-06
13,4,8.32667697523e-07,-6.89240300405e-07
13,5,-1.33754758346e-06,1.31429866575e-06
13,6,1.32637762687e-07,1.55264919856e-06
13,7,1.35506059654e-07,-9.77691426617999e-07
13,8,-3.35033677886e-07,-1.48514665643e-06
13,9,-2.9075861709e-07,3.89981589897e-07
13,10,-6.12186343054e-07,5.60035571398e-07
13,11,-1.25845435638e-06,4.40101250028e-07
13,12,-7.41975051652e-07,-1.59831273326e-06
13,13,2.4732661543e-06,-2.64562544123e-06
14,0,3.24072670095e-07,0.0
14,1,6.60588615393e-07,-6.10208011556e-07
14,2,5.23712914179e-07,3.89359953542e-07
14,3,6.76155598302e-07,2.69900237041e-08
14,4,-4.05580584034e-07,-2.58797414556e-06
14,5,-8.82015919992e-07,-1.15268406689e-07
14,6,-5.16893525878e-07,1.49386489943e-06
14,7,-6.69806257125e-07,8.74940607147e-07
14,8,2.05641663316e-08,8.92016320759e-07
14,9,1.74165382686e-07,-1.21328025301e-06
14,10,-6.611552322e-07,5.55823027433e-07
14,11,-2.18045321911e-06,1.76562602461e-06
14,12,-1.52871232261e-06,-4.68688574451e-07
14,13,-1.16187131926e-07,-9.51251855155e-07
14,14,-5.99334242215e-07,1.08540565906e-06
15,0,-5.30006861622e-08,0.0
15,1,-7.72023788677e-07,3.4168252171e-07
15,2,-1.7340876923e-07,7.1075318758e-07
15,3,-1.32802473008e-06,-7.07222488385e-07
15,4,-1.12288025473e-06,-1.28753069079e-06
15,5,-1.57820229134e-07,-7.71738098158e-07
15,6,5.01670230912e-08,-3.32297540798e-07
15,7,1.15540072818e-06,1.85223540819e-06
15,8,1.49503052999e-06,2.24359493226e-06
15,9,1.0206019451e-07,-1.55145928892e-06
15,10,-2.73373096839e-07,-5.14611263466e-08
15,11,-1.47052707093e-06,-1.34784596597e-06
15,12,-1.31595804446e-06,-3.39781742833e-07
15,13,-3.41572478222e-07,3.0402555126e-07
15,14,6.41252970941e-07,5.48151825372e-07
15,15,5.484614417e-07,7.0101269955e-07
16,0,4.0911715382e-07,0.0
16,1,-9.73073633424e-08,8.76017497692e-07
16,2,1.64980309415e-06,3.44792381494e-08
16,3,-1.02854375736e-07,4.27905445951e-07
16,4,4.75988626569e-07,4.78459472411e-07
16,5,9.32781590622999e-07,-5.27812582153e-07
16,6,1.0388155659e-06,-1.02339121782e-06
16,7,-3.50981864627e-07,-7.32958567915e-07
16,8,-1.20964772421e-07,3.06178135622e-08
16,9,-1.02487869272e-06,-1.17531355142e-06
16,10,2.04106898231e-07,5.73883276816e-07
16,11,4.35358821412e-08,1.14269750615e-06
16,12,-1.37042753675e-06,7.98112357649e-07
16,13,-7.51545543878e-07,-1.58298777304e-07
16,14,-6.98553003473e-07,-3.95160797297e-08
16,15,-2.72591696202e-07,-1.05594492888e-06
16,16,-9.0909196696e-07,-7.86256659406e-07
17,0,-1.05460917691e-06,0.0
17,1,8.00165510323e-07,8.78256613537999e-08
17,2,-1.71200793803e-07,-1.04462539533e-06
17,3,-2.17100377277e-07,-5.31872889925e-07
17,4,1.1602943018e-06,2.2080469942e-06
17,5,3.98713522171e-07,-8.54656030397e-07
17,6,6.10024936718e-07,-1.49504662231e-06
17,7,-1.62534193685e-06,-1.10751629798e-06
17,8,-2.11835167266e-07,-1.51897482266e-07
17,9,5.29462922597e-07,1.56093133917e-06
17,10,7.20773779902e-07,8.85894439852e-07
17,11,9.7788838976e-07,-6.31705673923e-07
17,12,4.57842314765e-07,5.00476191736e-08
17,13,1.52658005947e-07,-3.42210873715e-07
17,14,9.39002987952e-07,1.43145821466e-07
17,15,-7.39852370693e-08,1.44297235386e-08
17,16,-2.77965858433e-07,-2.12479214722e-07
17,17,-4.02697392548e-07,1.35232727247e-06
18,0,-3.84556072466e-07,0.0
18,1,1.92698545018e-07,-5.71666798928e-08
18,2,-4.15180399759e-07,-7.26405832363e-07
18,3,8.78823406659e-07,5.81045803447e-07
18,4,-8.00249351927e-07,1.14686463271e-06
