degree,order,C,S
0,0,0.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
2,0,-1.621406104318365e-05,0.000000000000000e+00
2,1,-5.718571260833901e-07,-8.380793506101136e-07
2,2,1.744824590132205e-05,7.984399168113193e-07
3,0,-2.374233618312415e-07,0.000000000000000e+00
3,1,9.676549162056039e-07,-3.113367905367299e-06
3,2,2.108839914765341e-06,-9.856662106869293e-07
3,3,-8.074029648395310e-07,-7.117974413731605e-07
4,0,1.024792842936969e-06,0.000000000000000e+00
4,1,-3.001318609703301e-07,-4.076777197797027e-06
4,2,5.062752901251764e-06,-9.218331926300100e-07
4,3,5.144002959267267e-07,-7.748627828386559e-07
4,4,-1.533266330607222e-07,7.443020110007615e-08
5,0,1.435848533794831e-06,0.000000000000000e+00
5,1,3.971325753031326e-07,-1.853601488155633e-06
5,2,2.145804089866221e-06,-9.817198730174997e-07
5,3,1.849198579889090e-06,2.021543076231534e-06
5,4,4.095981505139606e-07,-2.404653001313439e-06
5,5,-2.133878410772355e-07,1.623876891197824e-07
