ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun_deg,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,O3nd_m3,O3mass_pct,O3mole_pct,O3amw,N2Ond_m3,N2Omass_pct,N2Omole_pct,N2Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperaturePerturbation_pct,TemperatureStandardDeviation_pct,PerturbedTemperature_K,PressurePerturbation_pct,PressureStandardDeviation_pct,PerturbedPressure_Pa,PresPertSmall_pct,DensPertSmall_pct,TempPertSmall_pct,EWWindPertSmall_ms,NSWindPertSmall_ms,PresSDSmall_pct,DensSDSmall_pct,TempSDSmall_pct,EWWindSDSmall_ms,NSWindSDSmall_ms,PresPertLarge_pct,DensPertLarge_pct,TempPertLarge_pct,EWWindPertLarge_ms,NSWindPertLarge_ms,PresSDLarge_pct,DensSDLarge_pct,TempSDLarge_pct,EWWindSDLarge_ms,NSWindSDLarge_ms,DewPoint_K,DewPointSD_pct,VaporPressure_Pa,VaporPressureSD_pct,VaporDensity_kgm3,VaporDensitySD_pct,RelativeHumidity_pct,RelativeHumiditySD_pct,WindSpeed_ms,WindSpeedStandardDeviation_pct,WindCorrelation,WindSpeedAtSurface_ms,WindSpeedSDAtSurface_pct,TemperatureAtSurface_K,TemperatureSDAtSurface_pct,PressureSDAtSurface_Pa,DensitySDAtSurface_pct,DensityAtSurface_kgm3,EWWindAtSurface_ms,NSWindAtSurface_ms,EWWindSDAtSurface_pct,NSWindSDAtSurface_pct,WindCorrelationAtSurface_pct,SurfaceHeight_km,GeodeticLatitude_deg,RRAWeight,SurfaceRoughness_m,NetRadiationIndex,Stability,InverseLength_m,FrictionVelocity_ms,BVFrequencySquare_s2,MetersAboveSurface_m,SigmaRatio,SigmaW_ms,BoundaryLayerDepth_m,NeutralBoundaryLayerDepth_m,PerturbedWindSpeedAtSurface_ms,UnstableBLFactor,SolarDays,SolarHourAngle_deg,SolarElevation_deg,ElevationAtMidnight_deg,ElevationAtNoon_deg,LandCode,SeverityLevel
0.0,0.000,22.00,48.00,6375.123,6375.123,9.788,294.2,9.817e+04,1.158e+00,8.662,8.662,343.7,9.817e+04,1.000,-0.000,288.1,1.013e+05,1.225e+00,0.0,1.141e+00,1.175e+00,1.165e+00,0.6,1.47,342.8,0.00,-5.5,-6.9,-4.1,-4.9,-3.7,-0.6,0.000,-2.4,5.1,-1.626,-6.1,4.4,-1.626,2.8,5.4,0.983,5.33,2.10,354.32,15.58,55.79,0.00,1.00,86400.0,2.4167e+25,2.882e+02,1.393e+00,28.889,1.0012,2.2412e+23,1.28,0.93,39.95,9.8617e+21,0.06,0.04,44.01,4.8924e+18,0.00,0.00,28.01,1.8737e+25,75.18,77.53,28.01,5.0264e+24,23.04,20.80,32.00,1.2478e+20,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,6.0505e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,7.6048e+17,0.00,0.00,48.00,8.7604e+18,0.00,0.00,44.01,1.6979e+23,0.44,0.70,18.02,-0.5,1.15,2.927e+02,0.1,0.33,9.824e+04,0.0,0.2,-0.2,-0.3,3.9,0.0,0.6,0.5,2.0,3.8,0.1,0.4,-0.3,-2.1,1.1,0.3,1.3,1.1,1.9,3.8,274.74,7.1,6.849e+02,4.106e+02,5.044e-03,0.0,33.5,15.5,5.9,2.2,-0.0,5.92,2.17,294.21,3.89,0.00,0.00,1.158e+00,-3.70,-0.62,2.76,5.38,-0.0,0.662,22.13,0.0,0.01500,2.49,3.70,-0.01898,0.393,0.00011,0.0,1.250,0.49,1505.6,932.4,5.91,1.000,25.649,53.68,34.2,-66.0,70.0,8,0
50.0,4.000,22.30,48.50,6379.045,6375.045,9.775,275.2,6.298e+04,7.974e-01,8.080,9.960,332.5,9.860e+04,0.639,3.622,262.2,6.166e+04,8.193e-01,0.0,7.878e-01,8.070e-01,7.913e-01,-0.8,1.20,333.0,0.00,-2.7,-3.9,-1.5,-3.4,8.8,0.6,-0.001,-0.3,-3.1,0.504,8.5,-2.5,0.504,10.7,10.1,1.518,5.33,2.10,354.12,15.63,56.50,0.00,1.00,86400.0,1.6578e+25,2.870e+02,1.399e+00,28.930,0.9988,1.5432e+23,1.29,0.93,39.95,6.7906e+21,0.06,0.04,44.01,2.9421e+18,0.00,0.00,28.01,1.2902e+25,75.36,77.82,28.01,3.4611e+24,23.09,20.88,32.00,8.5919e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,4.1663e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,6.4841e+17,0.00,0.00,48.00,6.0322e+18,0.00,0.00,44.01,5.3847e+22,0.20,0.32,18.02,0.3,1.20,2.760e+02,-0.5,0.54,6.269e+04,0.0,0.2,-0.2,4.4,4.9,0.1,0.6,0.6,7.6,7.2,-0.5,-1.0,0.5,-4.7,-8.1,0.5,1.1,1.1,7.5,7.1,258.91,11.8,2.039e+02,1.809e+02,1.606e-03,0.0,40.6,26.7,11.1,5.1,0.3,5.87,2.14,294.08,344.22,0.00,0.00,1.164e+00,-3.27,-0.90,2.72,5.51,-0.1,0.540,22.44,0.0,0.01500,2.45,3.56,-0.02403,0.367,0.00011,1478.5,2.766,1.01,1478.5,865.3,5.46,1.000,25.651,54.38,33.5,-65.7,69.7,8,0
100.0,8.000,22.60,49.00,6382.965,6374.965,9.763,249.1,3.738e+04,5.230e-01,7.322,9.138,316.6,9.905e+04,0.377,7.134,236.2,3.565e+04,5.258e-01,0.0,5.144e-01,5.315e-01,5.169e-01,-1.2,1.63,318.7,0.00,-0.5,-2.2,1.1,-1.7,22.8,-0.7,-0.002,9.9,-9.7,-0.585,32.7,-10.3,-0.586,17.0,16.1,1.260,5.33,2.10,353.91,15.67,57.20,0.00,1.00,86400.0,1.0872e+25,2.870e+02,1.402e+00,28.962,0.9998,1.0150e+23,1.29,0.93,39.95,4.4660e+21,0.06,0.04,44.01,1.7577e+18,0.00,0.00,28.01,8.4851e+24,75.49,78.05,28.01,2.2763e+24,23.13,20.94,32.00,5.6507e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,2.7110e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,6.2520e+17,0.00,0.00,48.00,3.9673e+18,0.00,0.00,44.01,4.5243e+21,0.03,0.04,18.02,1.4,1.63,2.524e+02,0.2,1.18,3.745e+04,0.0,0.2,-0.2,2.5,-3.6,0.1,0.8,0.8,12.1,11.4,0.1,-1.4,1.5,7.4,-6.0,1.2,1.4,1.4,11.9,11.3,231.26,7.5,1.555e+01,1.174e+01,1.353e-04,0.0,23.3,17.3,25.1,8.2,0.2,5.80,2.12,293.95,351.42,0.00,0.00,1.170e+00,-2.88,-1.20,2.69,5.60,-0.1,0.500,22.74,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,55.09,32.8,-65.4,69.4,8,0
150.0,12.000,22.90,49.50,6386.885,6374.885,9.751,222.4,2.089e+04,3.274e-01,6.546,8.069,299.1,9.952e+04,0.210,10.217,216.7,1.940e+04,3.119e-01,0.0,3.216e-01,3.331e-01,3.321e-01,1.5,1.76,299.2,0.00,4.9,3.1,6.8,6.5,36.3,-1.4,0.001,38.9,-0.1,-1.654,75.2,-1.5,-1.653,20.9,23.9,1.164,5.33,2.10,353.70,15.72,57.91,0.00,1.00,86400.0,6.8054e+24,2.870e+02,1.402e+00,28.966,0.9999,6.3557e+22,1.29,0.93,39.95,2.7966e+21,0.06,0.04,44.01,7.2238e+17,0.00,0.00,28.01,5.3134e+24,75.51,78.08,28.01,1.4254e+24,23.14,20.95,32.00,3.5385e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.6342e+19,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,8.5563e+17,0.00,0.00,48.00,2.3733e+18,0.00,0.00,44.01,1.6654e+20,0.00,0.00,18.02,0.0,1.76,2.224e+02,1.5,1.60,2.120e+04,0.1,1.4,-1.5,22.2,-9.6,0.2,1.0,1.0,14.9,17.0,1.4,0.1,1.5,16.7,9.5,1.6,1.4,1.4,14.7,16.8,208.98,4.0,1.097e+00,4.687e-01,1.068e-05,0.0,23.2,15.1,39.2,10.9,0.2,5.70,2.11,293.83,359.85,0.00,0.00,1.176e+00,-2.52,-1.52,2.66,5.67,-0.2,0.500,23.04,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,55.80,32.8,-65.4,69.4,8,0
200.0,16.000,23.20,50.00,6390.804,6374.804,9.739,199.9,1.087e+04,1.896e-01,5.890,6.883,283.6,1.000e+05,0.109,13.069,216.7,1.035e+04,1.665e-01,0.0,1.853e-01,1.938e-01,1.950e-01,2.9,2.25,281.7,0.00,13.9,11.3,16.4,17.1,25.1,2.1,-0.002,-13.5,15.4,-0.634,11.6,17.5,-0.636,14.3,13.8,0.984,5.33,2.10,353.49,15.77,58.61,0.00,1.00,86400.0,3.9408e+24,2.870e+02,1.402e+00,28.966,0.9999,3.6805e+22,1.29,0.93,39.95,1.6195e+21,0.06,0.04,44.01,1.6443e+17,0.00,0.00,28.01,3.0769e+24,75.51,78.08,28.01,8.2543e+23,23.14,20.95,32.00,2.0491e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.9169e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,9.5336e+17,0.00,0.00,48.00,1.2604e+18,0.00,0.00,44.01,1.2239e+19,0.00,0.00,18.02,-1.3,2.24,1.972e+02,1.5,1.38,1.104e+04,0.3,1.2,-1.0,-19.5,5.3,0.2,1.4,1.4,10.2,9.8,1.2,1.7,-0.4,6.0,10.0,1.4,1.8,1.7,10.1,9.7,189.32,1.5,5.696e-02,1.135e-02,6.175e-07,0.0,20.7,8.9,26.5,7.7,0.1,5.58,2.11,293.72,369.51,0.00,0.00,1.183e+00,-2.18,-1.86,2.64,5.70,-0.3,0.465,23.34,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,56.51,32.8,-65.4,69.4,8,0
250.0,20.000,23.50,50.50,6394.722,6374.722,9.727,203.5,5.462e+03,9.350e-02,6.005,5.296,286.1,1.001e+05,0.055,17.465,216.7,5.529e+03,8.891e-02,0.0,9.181e-02,9.518e-02,9.536e-02,2.0,1.80,283.5,0.00,5.2,3.3,7.1,7.3,7.9,0.9,-0.000,-3.0,5.2,0.465,5.0,6.1,0.464,7.4,5.2,0.840,5.33,2.10,353.28,15.81,59.31,0.00,1.00,86400.0,1.9437e+24,2.870e+02,1.401e+00,28.966,0.9999,1.8153e+22,1.29,0.93,39.95,7.9876e+20,0.06,0.04,44.01,3.5135e+16,0.00,0.00,28.01,1.5176e+24,75.51,78.08,28.01,4.0712e+23,23.14,20.95,32.00,1.0106e+19,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,3.9212e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.2602e+18,0.00,0.00,48.00,4.7158e+17,0.00,0.00,44.01,7.3195e+18,0.00,0.00,18.02,-1.8,1.75,1.999e+02,0.2,1.16,5.471e+03,-0.0,0.4,-0.4,-1.1,2.4,0.2,1.1,1.0,5.2,3.7,0.2,1.6,-1.4,-1.8,2.8,1.1,1.4,1.4,5.2,3.6,184.17,0.2,2.320e-02,1.077e-03,2.469e-07,0.0,6.2,0.3,8.7,3.7,0.2,5.57,2.20,293.55,354.95,0.00,0.00,1.184e+00,-1.67,-1.95,2.85,5.66,-0.3,0.400,23.64,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,57.22,32.8,-65.4,69.4,8,0
300.0,24.000,23.80,51.00,6398.640,6374.640,9.715,216.4,2.854e+03,4.595e-02,6.392,6.031,295.0,1.002e+05,0.028,22.747,220.6,2.972e+03,4.694e-02,0.0,4.513e-02,4.677e-02,4.736e-02,3.1,1.79,289.6,0.00,-2.1,-3.8,-0.3,0.9,2.9,-1.3,0.000,0.3,-0.7,1.055,3.3,-2.0,1.055,9.1,4.2,0.888,5.33,2.10,353.07,15.86,60.00,0.00,1.00,86400.0,9.5528e+23,2.870e+02,1.401e+00,28.966,0.9999,8.9217e+21,1.29,0.93,39.95,3.9257e+20,0.06,0.04,44.01,1.8177e+16,0.00,0.00,28.01,7.4586e+23,75.51,78.08,28.01,2.0009e+23,23.14,20.95,32.00,4.9671e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.4785e+18,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,4.1641e+18,0.00,0.00,48.00,1.7151e+17,0.00,0.00,44.01,4.4957e+18,0.00,0.00,18.02,-3.6,1.75,2.085e+02,-0.7,1.81,2.834e+03,0.4,2.2,-2.1,6.7,-2.1,0.2,1.0,1.0,6.4,3.0,-1.0,0.9,-1.6,-6.4,1.4,1.8,1.5,1.4,6.5,3.0,181.08,0.1,1.311e-02,3.175e-04,1.313e-07,0.0,0.5,0.0,5.7,3.4,0.0,5.56,2.35,293.54,331.08,0.00,0.00,1.185e+00,-1.10,-2.06,3.13,5.60,-0.4,0.278,23.94,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,57.93,32.8,-65.4,69.4,8,0
350.0,28.000,24.10,51.50,6402.556,6374.556,9.703,224.7,1.540e+03,2.387e-02,6.648,6.242,300.6,1.004e+05,0.015,27.772,224.5,1.616e+03,2.508e-02,0.0,2.346e-02,2.428e-02,2.376e-02,-0.4,1.72,298.5,0.00,-4.8,-6.5,-3.2,-5.2,1.7,-0.7,-0.000,-10.2,0.3,-0.618,-8.4,-0.4,-0.618,14.6,5.5,0.996,5.33,2.10,352.87,15.91,60.70,0.00,1.00,86400.0,4.9616e+23,2.870e+02,1.401e+00,28.966,1.0000,4.6338e+21,1.29,0.93,39.95,2.0390e+20,0.06,0.04,44.01,1.1726e+16,0.00,0.00,28.01,3.8739e+23,75.51,78.08,28.01,1.0392e+23,23.14,20.95,32.00,2.5798e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,8.1123e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,3.6791e+18,0.00,0.00,48.00,7.9562e+16,0.00,0.00,44.01,2.5157e+18,0.00,0.00,18.02,-1.5,1.65,2.215e+02,-1.9,2.47,1.511e+03,-0.2,-0.3,0.0,1.4,3.3,0.4,1.0,1.0,10.4,3.9,-1.7,-0.2,-1.5,-11.6,-3.0,2.4,1.4,1.3,10.3,3.8,178.21,0.1,7.567e-03,1.483e-04,7.296e-08,0.0,0.1,0.0,7.8,5.0,0.3,5.54,2.53,293.67,302.00,0.00,0.00,1.186e+00,-0.53,-2.22,3.46,5.49,-0.4,0.132,24.24,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,58.63,32.8,-65.4,69.4,8,0
400.0,32.000,24.40,52.00,6406.472,6374.472,9.691,234.0,8.457e+02,1.259e-02,6.931,6.431,306.8,1.006e+05,0.008,33.121,228.5,8.891e+02,1.356e-02,0.0,1.234e-02,1.284e-02,1.240e-02,-1.5,1.95,304.6,0.00,-7.1,-8.9,-5.3,-8.5,1.2,0.8,-0.000,2.0,-8.4,-0.941,3.3,-7.6,-0.941,20.2,7.6,1.140,5.34,2.11,352.66,15.96,61.39,0.00,1.00,86400.0,2.6173e+23,2.870e+02,1.401e+00,28.966,0.9999,2.4444e+21,1.29,0.93,39.95,1.0756e+20,0.06,0.04,44.01,7.5426e+15,0.00,0.00,28.01,2.0435e+23,75.51,78.08,28.01,5.4821e+22,23.14,20.95,32.00,1.3609e+18,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,3.5245e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,2.2447e+18,0.00,0.00,48.00,2.9356e+16,0.00,0.00,44.01,1.3695e+18,0.00,0.00,18.02,-1.4,1.94,2.308e+02,-2.9,2.47,8.215e+02,-0.3,-0.4,0.1,13.5,-2.5,0.4,1.2,1.2,14.5,5.5,-2.5,-1.1,-1.5,-11.4,-5.9,2.4,1.5,1.5,14.1,5.3,175.59,0.1,4.496e-03,1.049e-04,4.162e-08,0.0,0.0,0.0,10.3,7.1,0.3,5.51,2.75,293.93,267.70,0.00,0.00,1.186e+00,0.06,-2.43,3.85,5.35,-0.5,0.039,24.54,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,59.34,32.8,-65.4,69.4,8,0
450.0,36.000,24.70,52.50,6410.387,6374.387,9.679,244.6,4.770e+02,6.795e-03,7.252,6.799,313.6,1.008e+05,0.005,38.821,239.3,4.985e+02,7.258e-03,0.0,6.644e-03,6.946e-03,6.652e-03,-2.1,2.22,312.1,0.00,-6.4,-8.5,-4.3,-8.3,0.7,2.0,-0.000,-21.2,-6.5,-0.910,-20.5,-4.5,-0.910,21.9,9.5,1.308,5.34,2.11,352.45,16.00,62.08,0.00,1.00,86400.0,1.4126e+23,2.870e+02,1.401e+00,28.966,0.9999,1.3192e+21,1.29,0.93,39.95,5.8050e+19,0.06,0.04,44.01,4.7158e+15,0.00,0.00,28.01,1.1029e+23,75.51,78.08,28.01,2.9587e+22,23.14,20.95,32.00,7.3449e+17,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,1.4844e+17,0.00,0.00,16.04,0.0000e+00,0.00,0.00,14.01,0.0000e+00,0.00,0.00,16.00,1.0776e+18,0.00,0.00,48.00,7.1840e+15,0.00,0.00,44.01,7.7857e+17,0.00,0.00,18.02,-1.0,2.21,2.422e+02,-3.0,2.73,4.625e+02,-0.3,-0.2,-0.1,-17.1,1.1,0.4,1.4,1.3,15.7,6.9,-2.7,-1.9,-0.8,-4.1,-7.5,2.7,1.8,1.7,15.2,6.6,173.06,0.1,2.669e-03,7.906e-05,2.365e-08,0.0,0.0,0.0,11.3,8.0,0.2,5.30,2.82,294.12,251.33,0.00,0.00,1.187e+00,0.56,-2.14,4.08,5.02,-0.5,0.000,24.85,0.0,0.01500,2.41,3.44,-0.02844,0.342,0.00011,1478.5,2.766,1.01,1419.1,802.5,5.05,1.000,25.651,60.05,32.8,-65.4,69.4,8,0
