ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,
10.0,500.000,25.00,25.00,71092.686,70592.686,23.520,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,0.00,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.42,19.17,106.32,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
20.0,500.000,25.00,50.00,71092.686,70592.686,23.520,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,5608671.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.32,20.85,127.77,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
30.0,500.000,25.00,75.00,71092.686,70592.686,23.520,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,5608671.49,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.21,22.52,146.20,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
40.0,500.000,50.00,25.00,69158.370,68658.370,25.128,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,13759404.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.11,19.19,101.92,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
50.0,500.000,50.00,50.00,69158.370,68658.370,25.128,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,3869649.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.01,20.87,115.34,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
60.0,500.000,50.00,75.00,69158.370,68658.370,25.128,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,3869649.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,276.91,22.54,124.99,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
70.0,500.000,75.00,25.00,67636.893,67136.893,26.322,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,8935343.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,276.81,19.21,95.81,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
80.0,500.000,75.00,50.00,67636.893,67136.893,26.322,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,1523839.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,276.71,20.89,100.74,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
90.0,500.000,75.00,75.00,67636.893,67136.893,26.322,546.2,4.257e-03,1.936e-09,95.272,73.519,1760.8,1.000e+05,0.000,1616.970,546.2,4.257e-03,1.936e-09,0.0,1.936e-09,1.936e-09,1.936e-09,0.0,0.00,1760.8,1523839.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,276.61,22.56,104.01,45.08,5.20,35733.2,0.0000e+00,4.026e+03,1.410e+00,0.000,0.0000,
100.0,450.000,25.00,25.00,71042.686,70592.686,23.557,522.5,7.269e-03,3.508e-09,90.641,64.248,1709.2,1.000e+05,0.000,1489.876,522.5,7.269e-03,3.508e-09,0.0,3.508e-09,3.508e-09,3.508e-09,0.0,0.00,1709.2,23587692.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,276.51,19.23,107.11,45.08,5.20,35733.2,0.0000e+00,3.966e+03,1.410e+00,0.000,0.0000,
