ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,VerticalWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,VerticalWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,PerturbedVerticalWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,VerticalStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,O2nd_m3,O2mass_pct,O2mole_pct,O2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Ond_m3,Omass_pct,Omole_pct,Oamw,H2Ond_m3,H2Omass_pct,H2Omole_pct,H2Oamw,TemperatureDaily_K,PressureDaily_Pa,DensityDaily_kgm3,EWWindDaily_ms,NSWindDaily_ms,TemperatureMin_K,TemperatureMax_K,DensityMin_kgm3,DensityMax_kgm3,PlanetoGraphicHeight_km,PlanetoGraphicLatitude_deg,ReferenceHeight_km,ReferenceRadius_km,GroundTemperature_K,ThermosphereBaseHeight_km,ThermosphereBaseTemperature_K,ExosphericTemperature_K,F1PeakHeight_km,Albedo,HeightOffset_km,LocalHeightOffset_km,DustOpticalDepth,DustColumnArealDensity_kgm2,DustMixingRatio,DustMassDensity_ugm3,DustNumberDensity_m3,IceIsPresent,WavePerturbation_pct
0.0,0.000,22.00,48.00,3393.766,3393.766,3.710,171.3,5.387e+02,1.664e-02,10.459,10.459,210.8,5.186e+02,1.039,-0.398,214.0,6.360e+02,1.550e-02,0.0,1.631e-02,1.697e-02,1.677e-02,0.8,2.00,210.0,0.00,7.4,5.3,9.5,8.2,0.0,0.0,0.000,-1.6,-0.3,0.407,-1.6,-0.3,0.407,2.0,2.0,0.400,172.16,3.29,194.11,2.26,138.17,12.58,1.48,88774.9,2.3089e+23,1.890e+02,1.373e+00,43.404,0.9865,4.2861e+21,1.71,1.86,39.96,2.1887e+23,96.11,94.79,44.01,2.5977e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,7.1436e+21,2.00,3.09,28.02,3.3770e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,7.9371e+16,0.00,0.00,18.02,210.0,5.205e+02,1.311e-02,0.0,0.0,169.7,273.0,8.917e-03,1.801e-02,0.394,22.24,0.394,3393.372,166.3,999.000,0.0,0.0,999.900,0.274,-0.001,0.000,0.300,0.002,0.000,180.231,917907.367,0,0.0
500.0,2.000,22.30,48.50,3395.705,3393.705,3.706,197.7,4.448e+02,1.191e-02,10.452,7.831,224.8,5.186e+02,0.858,1.604,213.8,5.300e+02,1.300e-02,0.0,1.167e-02,1.214e-02,1.200e-02,0.8,2.00,223.9,365.27,-8.4,-10.2,-6.6,-7.7,3.0,3.9,-0.008,-4.5,-1.4,-2.348,-1.5,2.5,-2.356,3.2,3.2,1.598,172.16,3.29,192.08,2.43,136.03,12.58,1.48,88774.9,1.6519e+23,1.890e+02,1.352e+00,43.402,0.9865,3.0665e+21,1.71,1.86,39.96,1.5657e+23,96.11,94.79,44.01,1.8585e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,5.1108e+21,2.00,3.09,28.02,2.4160e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,8.2851e+18,0.00,0.01,18.02,214.5,4.372e+02,1.079e-02,5.5,2.3,195.4,238.1,9.516e-03,1.215e-02,2.406,22.54,2.406,3393.298,165.6,999.000,0.0,0.0,999.900,0.272,-0.001,0.000,0.300,0.002,0.000,128.707,655500.237,99,0.0
1000.0,4.000,22.60,49.00,3397.642,3393.642,3.702,210.5,3.672e+02,9.232e-03,10.442,7.796,231.1,5.204e+02,0.706,3.641,213.4,4.410e+02,1.080e-02,0.0,9.051e-03,9.417e-03,9.092e-03,-1.5,2.00,232.9,383.65,-14.5,-16.2,-12.8,-15.8,10.9,-2.0,0.000,-2.0,0.7,-0.136,8.9,-1.2,-0.136,2.7,2.7,0.824,172.17,3.29,190.05,2.60,133.87,12.58,1.48,88774.9,1.2812e+23,1.890e+02,1.343e+00,43.393,0.9863,2.3778e+21,1.71,1.86,39.96,1.2140e+23,96.10,94.75,44.01,1.4411e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,3.9630e+21,2.00,3.09,28.02,1.8734e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,5.1302e+19,0.02,0.04,18.02,216.3,3.672e+02,8.981e-03,9.9,0.7,208.1,225.8,8.578e-03,9.436e-03,4.418,22.84,4.418,3393.224,164.8,999.000,0.0,0.0,999.900,0.268,-0.001,0.000,0.300,0.002,0.000,99.274,505598.951,99,0.0
1500.0,6.000,22.90,49.50,3399.580,3393.580,3.697,214.8,3.039e+02,7.486e-03,10.756,12.000,233.3,5.267e+02,0.577,5.916,212.4,3.680e+02,9.060e-03,0.0,7.336e-03,7.639e-03,7.566e-03,1.1,2.05,232.0,396.91,-17.4,-19.0,-15.7,-16.5,15.9,-4.4,0.000,1.1,1.7,0.916,16.9,-2.7,0.916,2.6,2.6,0.520,172.17,3.29,188.03,2.76,131.68,12.58,1.48,88774.9,1.0391e+23,1.890e+02,1.340e+00,43.381,0.9860,1.9277e+21,1.71,1.86,39.96,9.8415e+22,96.08,94.71,44.01,1.1683e+20,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,3.2129e+21,2.00,3.09,28.02,1.5188e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,9.0755e+19,0.04,0.09,18.02,215.2,3.066e+02,7.539e-03,14.0,0.2,212.6,217.5,7.476e-03,7.621e-03,6.431,23.14,6.431,3393.149,164.2,999.000,0.0,0.0,999.900,0.265,-0.001,0.000,0.300,0.002,0.000,79.363,404190.661,99,0.0
2000.0,8.000,23.20,50.00,3401.518,3393.518,3.693,210.6,2.521e+02,6.335e-03,10.748,11.978,231.2,5.128e+02,0.492,7.631,209.2,3.060e+02,7.650e-03,0.0,6.201e-03,6.472e-03,6.345e-03,0.2,2.17,231.0,401.00,-17.2,-18.9,-15.4,-17.1,19.0,-4.8,0.000,0.4,0.5,0.125,19.4,-4.3,0.125,2.8,2.8,0.560,172.17,3.28,186.00,2.93,129.48,12.58,1.48,88774.9,8.7928e+22,1.890e+02,1.343e+00,43.388,0.9862,1.6317e+21,1.71,1.86,39.96,8.3297e+22,96.09,94.73,44.01,9.8894e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,2.7196e+21,2.00,3.09,28.02,1.2856e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,5.2154e+19,0.02,0.06,18.02,210.9,2.545e+02,6.385e-03,15.3,0.2,208.7,212.9,6.331e-03,6.440e-03,8.445,23.45,8.445,3393.073,163.6,999.000,0.0,0.0,999.900,0.266,-0.001,0.000,0.300,0.002,0.000,68.841,350606.558,99,0.0
2500.0,10.000,23.50,50.50,3403.455,3393.455,3.689,206.4,2.091e+02,5.360e-03,10.174,11.273,229.2,5.130e+02,0.408,9.129,205.0,2.540e+02,6.470e-03,0.0,5.240e-03,5.483e-03,5.285e-03,-1.4,2.29,230.8,404.20,-17.2,-19.0,-15.3,-18.3,22.5,-5.4,0.000,-1.9,-0.9,-0.350,20.6,-6.3,-0.350,3.0,3.0,0.600,172.18,3.28,183.97,3.10,127.25,12.58,1.48,88774.9,7.4387e+22,1.890e+02,1.346e+00,43.393,0.9863,1.3808e+21,1.71,1.86,39.96,7.0483e+22,96.10,94.75,44.01,8.3687e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,2.3014e+21,2.00,3.09,28.02,1.0879e+20,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.9616e+19,0.02,0.04,18.02,206.8,2.113e+02,5.407e-03,16.4,0.1,204.8,208.3,5.360e-03,5.442e-03,10.458,23.75,10.458,3392.996,163.2,999.000,0.0,0.0,999.900,0.262,-0.001,0.000,0.300,0.002,0.000,58.085,295826.719,99,0.0
3000.0,12.000,23.80,51.00,3405.391,3393.391,3.684,202.5,1.716e+02,4.485e-03,10.170,11.260,227.2,5.231e+02,0.328,11.332,201.4,2.090e+02,5.440e-03,0.0,4.379e-03,4.594e-03,4.625e-03,3.1,2.43,223.7,394.88,-17.6,-19.5,-15.6,-15.0,22.1,-6.6,0.000,-2.4,4.8,-0.363,19.6,-1.9,-0.363,3.2,3.2,0.640,172.18,3.28,181.94,3.27,125.02,12.58,1.48,88774.9,6.2237e+22,1.890e+02,1.349e+00,43.396,0.9865,1.1555e+21,1.71,1.86,39.96,5.8977e+22,96.10,94.76,44.01,7.0031e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,1.9259e+21,2.00,3.09,28.02,9.1041e+19,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,1.6896e+19,0.01,0.03,18.02,202.9,1.736e+02,4.526e-03,15.9,0.1,201.1,204.6,4.484e-03,4.559e-03,12.472,24.05,12.472,3392.919,162.7,999.000,0.0,0.0,999.900,0.255,-0.001,0.000,0.300,0.002,0.000,47.523,242030.261,99,0.0
3500.0,14.000,24.10,51.50,3407.327,3393.327,3.680,198.6,1.409e+02,3.753e-03,10.166,11.248,225.2,5.267e+02,0.267,13.407,197.8,1.730e+02,4.560e-03,0.0,3.659e-03,3.849e-03,3.645e-03,-2.9,2.57,228.5,383.93,-17.7,-19.8,-15.6,-20.1,21.3,-8.0,0.000,0.5,-4.0,0.488,21.8,-12.0,0.488,3.4,3.4,0.680,172.18,3.28,179.91,3.44,122.77,12.58,1.48,88774.9,5.2073e+22,1.890e+02,1.351e+00,43.399,0.9866,9.6697e+20,1.71,1.86,39.96,4.9350e+22,96.10,94.77,44.01,5.8604e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,1.6116e+21,2.00,3.09,28.02,7.6185e+19,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,9.4978e+18,0.01,0.02,18.02,199.1,1.426e+02,3.790e-03,15.5,0.1,197.4,200.9,3.751e-03,3.820e-03,14.486,24.35,14.486,3392.841,162.4,999.000,0.0,0.0,999.900,0.245,-0.001,0.000,0.300,0.002,0.000,39.360,200460.916,99,0.0
4000.0,16.000,24.40,52.00,3409.262,3393.262,3.676,194.7,1.150e+02,3.125e-03,9.686,10.724,223.2,5.303e+02,0.217,14.801,194.6,1.420e+02,3.810e-03,0.0,3.042e-03,3.210e-03,3.190e-03,2.1,2.72,220.9,370.56,-18.0,-20.1,-15.7,-16.3,19.5,-10.1,0.000,-6.7,1.4,-0.348,12.8,-8.7,-0.348,3.6,3.6,0.720,172.19,3.28,177.89,3.61,120.51,12.58,1.48,88774.9,4.3366e+22,1.890e+02,1.354e+00,43.400,0.9867,8.0540e+20,1.71,1.86,39.96,4.1101e+22,96.11,94.78,44.01,4.8812e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,1.3423e+21,2.00,3.10,28.02,6.3456e+19,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,5.2399e+18,0.01,0.01,18.02,195.4,1.166e+02,3.159e-03,14.5,0.2,193.5,197.2,3.124e-03,3.188e-03,16.500,24.65,16.500,3392.762,162.2,999.000,0.0,0.0,999.900,0.240,-0.001,0.000,0.300,0.002,0.000,32.437,165200.437,99,0.0
4500.0,18.000,24.70,52.50,3411.196,3393.196,3.672,190.9,9.349e+01,2.591e-03,9.684,10.723,221.2,5.381e+02,0.174,16.948,191.5,1.160e+02,3.170e-03,0.0,2.519e-03,2.666e-03,2.663e-03,2.7,2.88,218.2,356.34,-18.3,-20.5,-15.9,-16.0,16.9,-12.6,0.000,-2.3,1.7,-0.322,14.6,-10.9,-0.322,3.8,3.8,0.760,172.19,3.28,175.86,3.78,118.25,12.58,1.48,88774.9,3.5957e+22,1.890e+02,1.356e+00,43.401,0.9867,6.6789e+20,1.71,1.86,39.96,3.4080e+22,96.11,94.78,44.01,4.0478e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,1.1131e+21,2.00,3.10,28.02,5.2621e+19,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,2.8145e+18,0.00,0.01,18.02,191.6,9.492e+01,2.621e-03,13.2,0.3,189.6,193.4,2.591e-03,2.650e-03,18.514,24.96,18.514,3392.682,162.2,999.000,0.0,0.0,999.900,0.240,-0.001,0.000,0.300,0.002,0.000,26.386,134383.893,99,0.0
5000.0,20.000,25.00,53.00,3413.129,3393.129,3.667,187.0,7.597e+01,2.150e-03,9.291,10.296,219.1,5.382e+02,0.141,18.191,188.3,9.470e+01,2.630e-03,0.0,2.086e-03,2.215e-03,2.148e-03,-0.1,3.05,219.2,342.83,-18.3,-20.7,-15.8,-18.3,14.2,-14.7,0.000,2.1,2.5,-0.125,16.3,-12.2,-0.125,4.0,4.0,0.800,172.19,3.28,173.83,3.94,115.98,12.57,1.48,88774.9,2.9828e+22,1.890e+02,1.358e+00,43.402,0.9867,5.5409e+20,1.71,1.86,39.96,2.8271e+22,96.11,94.78,44.01,3.3581e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,9.2348e+20,2.00,3.10,28.02,4.3656e+19,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,1.4690e+18,0.00,0.00,18.02,187.8,7.724e+01,2.176e-03,12.0,0.5,185.7,189.7,2.150e-03,2.203e-03,20.527,25.26,20.528,3392.602,162.2,999.000,0.0,0.0,999.900,0.240,-0.001,0.000,0.300,0.002,0.000,21.768,110865.646,99,0.0
5500.0,22.000,25.30,53.50,3415.062,3393.062,3.663,183.1,6.119e+01,1.768e-03,9.285,10.288,217.0,5.327e+02,0.115,20.092,185.2,7.700e+01,2.180e-03,0.0,1.713e-03,1.825e-03,1.774e-03,0.3,3.23,216.6,330.45,-18.9,-21.4,-16.3,-18.6,10.9,-17.1,0.000,9.4,1.3,0.964,20.3,-15.8,0.964,4.2,4.2,0.840,172.20,3.27,171.80,4.11,113.71,12.57,1.48,88774.9,2.4535e+22,1.890e+02,1.361e+00,43.402,0.9867,4.5581e+20,1.71,1.86,39.96,2.3255e+22,96.11,94.78,44.01,2.7625e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,7.5969e+20,2.00,3.10,28.02,3.5912e+19,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,7.4776e+17,0.00,0.00,18.02,184.2,6.229e+01,1.789e-03,10.0,0.4,182.1,186.2,1.765e-03,1.814e-03,22.541,25.56,22.541,3392.521,162.4,999.000,0.0,0.0,999.900,0.240,-0.001,0.000,0.300,0.002,0.000,17.983,91585.689,99,0.0
6000.0,24.000,25.60,54.00,3416.993,3392.993,3.659,179.2,4.927e+01,1.455e-03,9.278,10.280,214.9,5.193e+02,0.095,21.852,182.5,6.250e+01,1.790e-03,0.0,1.407e-03,1.505e-03,1.427e-03,-1.9,3.42,217.0,319.82,-18.7,-21.4,-15.9,-20.3,7.9,-19.3,0.000,7.1,0.4,0.352,15.0,-18.9,0.352,4.4,4.4,0.880,172.20,3.27,169.78,4.28,111.43,12.57,1.48,88774.9,2.0185e+22,1.890e+02,1.363e+00,43.403,0.9866,3.7503e+20,1.71,1.86,39.96,1.9132e+22,96.11,94.78,44.01,2.2729e+19,0.07,0.11,28.01,0.0000e+00,0.00,0.00,2.02,6.2505e+20,2.00,3.10,28.02,2.9548e+19,0.11,0.15,32.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,16.00,3.6917e+17,0.00,0.00,18.02,180.6,5.023e+01,1.471e-03,8.0,0.3,178.5,182.8,1.450e-03,1.494e-03,24.554,25.86,24.554,3392.439,162.8,999.000,0.0,0.0,999.900,0.243,-0.001,0.000,0.300,0.002,0.000,15.076,76780.276,99,0.0
