ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,HeightAboveSurface_km,SurfaceHeight_km
10.0,500.000,25.00,25.00,6551.800,6051.800,7.568,243.9,1.077e-09,7.751e-16,183.531,119.633,1521.5,9.209e+06,0.000,6732.876,230.0,1.339e-09,9.562e-16,0.0,6.740e-16,8.914e-16,8.234e-16,6.2,14.02,1476.2,0.04,-18.9,-29.5,-6.8,-13.9,233.1,14.6,-19.9,-2.2,213.1,12.5,25.0,12.5,262.53,-2.62,303.41,6.56,83.51,5.86,0.72,10087200.0,3.1973e+11,5.695e+03,1.667e+00,1.460,1.0000,1.0000e-09,0.00,0.00,44.00,4.3010e-03,0.00,0.00,28.00,3.2420e-03,0.00,0.00,28.00,4.8110e+10,41.23,15.05,4.00,2.7162e+11,58.77,84.95,1.01,4.4916e+04,0.00,0.00,14.00,3.0698e+05,0.00,0.00,16.00,500.458,-0.458
20.0,500.000,25.00,50.00,6551.800,6051.800,7.568,180.5,4.448e-09,3.119e-15,188.438,169.482,1541.7,9.209e+06,0.000,6645.586,230.0,1.339e-09,9.562e-16,0.0,2.712e-15,3.587e-15,3.168e-15,1.6,14.02,1529.7,39.19,226.2,183.6,275.1,231.3,225.8,-28.6,-39.9,-7.7,185.8,-36.3,25.0,12.5,262.53,-2.62,303.41,4.89,106.13,5.86,0.72,10087200.0,1.7848e+12,7.901e+03,1.667e+00,1.052,1.0000,1.0000e-09,0.00,0.00,44.00,1.3068e-09,0.00,0.00,28.00,1.1870e-09,0.00,0.00,28.00,2.5272e+10,5.38,1.42,4.00,1.7596e+12,94.62,98.58,1.01,2.2507e+01,0.00,0.00,14.00,6.8094e+01,0.00,0.00,16.00,500.323,-0.323
30.0,500.000,25.00,75.00,6551.800,6051.800,7.568,134.9,7.556e-09,6.824e-15,146.315,144.938,1358.5,9.209e+06,0.000,5082.486,230.0,1.339e-09,9.562e-16,0.0,5.934e-15,7.848e-15,6.629e-15,-2.9,14.02,1378.4,39.19,613.6,520.6,720.7,593.2,176.2,-66.5,-27.9,-6.0,148.3,-72.5,25.0,12.5,262.53,-2.62,303.41,3.23,128.34,5.86,0.72,10087200.0,4.0556e+12,8.205e+03,1.667e+00,1.013,1.0000,1.0000e-09,0.00,0.00,44.00,1.0000e-09,0.00,0.00,28.00,1.0000e-09,0.00,0.00,28.00,4.4765e+09,0.44,0.11,4.00,4.0511e+12,99.56,99.89,1.01,4.4458e-03,0.00,0.00,14.00,4.6946e-03,0.00,0.00,16.00,501.167,-1.167
40.0,500.000,50.00,25.00,6551.800,6051.800,7.568,237.2,1.196e-09,8.570e-16,184.420,121.326,1525.2,9.209e+06,0.000,6746.062,230.0,1.339e-09,9.562e-16,0.0,7.452e-16,9.856e-16,9.046e-16,5.5,14.02,1484.5,98.78,-10.4,-22.1,3.1,-5.4,212.1,26.6,-6.9,2.6,205.2,29.2,25.0,12.5,262.53,-2.62,303.41,6.56,86.62,5.86,0.72,10087200.0,3.6520e+11,5.883e+03,1.667e+00,1.413,1.0000,1.0000e-09,0.00,0.00,44.00,1.3234e-03,0.00,0.00,28.00,1.0027e-03,0.00,0.00,28.00,4.9248e+10,38.17,13.49,4.00,3.1596e+11,61.83,86.51,1.01,2.4271e+04,0.00,0.00,14.00,1.5804e+05,0.00,0.00,16.00,498.664,1.336
50.0,500.000,50.00,50.00,6551.800,6051.800,7.568,191.3,3.433e-09,2.333e-15,194.430,165.327,1566.0,9.209e+06,0.000,6907.195,230.0,1.339e-09,9.562e-16,0.0,2.029e-15,2.683e-15,2.757e-15,18.2,14.02,1440.7,27.80,144.0,112.2,180.6,188.3,205.5,-51.8,-5.9,2.8,199.6,-49.1,25.0,12.5,262.53,-2.62,303.41,4.89,102.61,5.86,0.72,10087200.0,1.3000e+12,7.692e+03,1.667e+00,1.081,1.0000,1.0000e-09,0.00,0.00,44.00,2.8328e-08,0.00,0.00,28.00,2.4762e-08,0.00,0.00,28.00,3.0848e+10,8.78,2.37,4.00,1.2691e+12,91.22,97.63,1.01,1.0573e+02,0.00,0.00,14.00,3.8292e+02,0.00,0.00,16.00,499.401,0.599
60.0,500.000,50.00,75.00,6551.800,6051.800,7.568,145.7,9.423e-09,7.905e-15,157.514,154.725,1409.5,9.209e+06,0.000,5436.746,230.0,1.339e-09,9.562e-16,0.0,6.874e-15,9.091e-15,9.211e-15,16.5,14.02,1305.8,27.80,726.7,618.9,850.7,863.2,160.4,-120.5,-5.3,-1.5,155.0,-122.1,25.0,12.5,262.53,-2.62,303.41,3.23,117.47,5.86,0.72,10087200.0,4.6841e+12,8.181e+03,1.667e+00,1.016,1.0000,1.0000e-09,0.00,0.00,44.00,1.0000e-09,0.00,0.00,28.00,1.0000e-09,0.00,0.00,28.00,9.8690e+09,0.83,0.21,4.00,4.6742e+12,99.17,99.79,1.01,5.4349e-02,0.00,0.00,14.00,7.9354e-02,0.00,0.00,16.00,500.311,-0.311
70.0,500.000,75.00,25.00,6551.800,6051.800,7.568,228.9,1.374e-09,9.759e-16,186.089,124.660,1532.0,9.209e+06,0.000,6781.266,230.0,1.339e-09,9.562e-16,0.0,8.487e-16,1.122e-15,1.026e-15,5.1,14.02,1494.1,65.59,2.1,-11.2,17.4,7.3,121.4,33.5,-9.5,-6.5,111.9,27.0,25.0,12.5,262.53,-2.62,303.41,6.56,90.36,5.86,0.72,10087200.0,4.3492e+11,6.153e+03,1.667e+00,1.351,1.0000,1.0000e-09,0.00,0.00,44.00,2.7515e-04,0.00,0.00,28.00,2.1048e-04,0.00,0.00,28.00,4.9652e+10,33.79,11.42,4.00,3.8527e+11,66.21,88.58,1.01,1.0747e+04,0.00,0.00,14.00,6.5291e+04,0.00,0.00,16.00,498.326,1.674
80.0,500.000,75.00,50.00,6551.800,6051.800,7.568,209.2,2.212e-09,1.484e-15,197.010,148.773,1576.4,9.209e+06,0.000,7085.480,230.0,1.339e-09,9.562e-16,0.0,1.290e-15,1.706e-15,1.657e-15,11.7,14.02,1491.7,11.20,55.2,34.9,78.4,73.3,117.6,-65.4,-14.6,0.2,103.0,-65.2,25.0,12.5,262.53,-2.62,303.41,4.89,96.77,5.86,0.72,10087200.0,7.6586e+11,7.126e+03,1.667e+00,1.167,1.0000,1.0000e-09,0.00,0.00,44.00,2.9051e-06,0.00,0.00,28.00,2.3830e-06,0.00,0.00,28.00,4.0138e+10,17.97,5.24,4.00,7.2573e+11,82.03,94.76,1.01,1.0866e+03,0.00,0.00,14.00,5.1280e+03,0.00,0.00,16.00,499.288,0.712
90.0,500.000,75.00,75.00,6551.800,6051.800,7.568,191.8,3.395e-09,2.305e-15,194.625,165.039,1566.8,9.209e+06,0.000,6916.329,230.0,1.339e-09,9.562e-16,0.0,2.004e-15,2.651e-15,2.504e-15,8.6,14.02,1503.3,11.21,141.0,109.6,177.2,161.8,91.8,-151.9,-24.8,1.2,67.0,-150.8,25.0,12.5,262.53,-2.62,303.41,3.23,102.46,5.86,0.72,10087200.0,1.2823e+12,7.681e+03,1.667e+00,1.082,1.0000,1.0000e-09,0.00,0.00,44.00,3.2179e-08,0.00,0.00,28.00,2.8083e-08,0.00,0.00,28.00,3.1092e+10,8.96,2.42,4.00,1.2512e+12,91.04,97.58,1.01,1.1273e+02,0.00,0.00,14.00,4.1131e+02,0.00,0.00,16.00,500.694,-0.694
100.0,450.000,25.00,25.00,6501.800,6051.800,7.685,243.9,1.449e-09,1.229e-15,153.487,99.249,1402.1,9.209e+06,0.000,5585.046,230.0,1.797e-09,1.502e-15,0.0,1.069e-15,1.413e-15,1.040e-15,-15.3,14.02,1523.8,241.82,-18.2,-28.8,-5.9,-30.7,233.1,14.7,11.9,11.7,245.0,26.4,25.0,12.5,262.53,-2.62,303.41,6.56,83.50,5.86,0.72,10087200.0,4.3046e+11,4.836e+03,1.667e+00,1.719,1.0000,1.2527e-08,0.00,0.00,44.00,8.3300e-01,0.00,0.00,28.00,6.2789e-01,0.00,0.00,28.00,1.0207e+11,55.17,23.71,4.00,3.2839e+11,44.82,76.29,1.01,6.2510e+05,0.00,0.00,14.00,6.2230e+06,0.01,0.00,16.00,450.458,-0.458
